ID,SMILES,y
ZINC000040424027,CC(C)Cc1ccccc1C(=O)N(CCc1ccc(Cl)cc1)C1CCC2(CC1)OCCO2,1
ZINC000001553583,COc1ccc2c(c1)[C@H](C(=O)N(Cc1ccc(N(C)C)cc1)c1ccc(C(C)C)cc1)CCC2,1
ZINC000003988249,COc1ccc2c(c1)[C@@H](C(=O)N(Cc1ccc(N(C)C)cc1)c1ccc(C(C)C)cc1)CCC2,1
ZINC000040875114,CCOC(=O)[C@@H](Cc1ccc(Cl)cc1)N(C(=O)c1cccc2ccccc12)C1CCC2(CC1)OCCO2,1
ZINC000040875115,CCOC(=O)[C@H](Cc1ccc(Cl)cc1)N(C(=O)c1cccc2ccccc12)C1CCC2(CC1)OCCO2,1
ZINC000040395408,CCOC(=O)[C@@H](Cc1ccc(Cl)cc1)N(C(=O)c1csc2ccccc12)C1CCC2(CC1)OCCO2,1
ZINC000040395409,CCOC(=O)[C@H](Cc1ccc(Cl)cc1)N(C(=O)c1csc2ccccc12)C1CCC2(CC1)OCCO2,1
ZINC000042878199,O=C(c1csc2ccccc12)N(CCc1ccc(Cl)cc1)C1CCC2(CCCO2)CC1,1
ZINC000000636919,Cc1ccc(S(=O)(=O)N(C)c2ccccc2N(C)S(=O)(=O)c2ccc(C)cc2)cc1,1
ZINC000040936550,CCc1cccc(CC)c1-c1cc(OC(C)C)c2c(n1)CCC[C@@H]2Nc1ccccc1CCO,1
ZINC000040936551,CCc1cccc(CC)c1-c1cc(OC(C)C)c2c(n1)CCC[C@H]2Nc1ccccc1CCO,1
ZINC000029053609,CCc1cccc(CC)c1-c1cc(OC)c2c(n1)CCC[C@@H]2N(C)c1cccc2ccccc12,1
ZINC000029053614,CCc1cccc(CC)c1-c1cc(OC)c2c(n1)CCC[C@H]2N(C)c1cccc2ccccc12,1
ZINC000040392827,CCc1ccccc1C(=O)N(C1CCC2(CC1)OCCO2)[C@@H](Cc1ccc(Cl)cc1)c1noc(C)n1,1
ZINC000040392828,CCc1ccccc1C(=O)N(C1CCC2(CC1)OCCO2)[C@H](Cc1ccc(Cl)cc1)c1noc(C)n1,1
ZINC000029053618,CCc1cccc(CC)c1-c1cc(OC)c2c(n1)CCC[C@H]2N(CC)c1cccc2ccccc12,1
ZINC000029053623,CCc1cccc(CC)c1-c1cc(OC)c2c(n1)CCC[C@@H]2N(CC)c1cccc2ccccc12,1
ZINC000029053826,CCc1cccc(CC)c1-c1cc(OC)c2c(n1)CCC[C@@H]2N1CCc2cccc(C(F)(F)F)c2C1,1
ZINC000029053829,CCc1cccc(CC)c1-c1cc(OC)c2c(n1)CCC[C@H]2N1CCc2cccc(C(F)(F)F)c2C1,1
ZINC000040919106,CCc1cccc(CC)c1-c1cc(OC)c2c(n1)CCC[C@@H]2Nc1cc(OC)ccc1C,1
