ID,SMILES,y
ZINC000001587358,CCCCN(CCCC)C(=S)S,1
ZINC000001673015,S=C(S)N1CCOCC1,1
ZINC000001841362,CC(C)CN(CC(C)C)C(=S)S,1
ZINC000038223298,CC[C@@H](C)NC(=S)S,1
ZINC000038223299,CC[C@H](C)NC(=S)S,1
ZINC000095587521,S=C(S)NCCN(CCNC(=S)S)CNC(=S)S,1
ZINC000095587175,N#Cc1ccc(C2CCN(C(=S)S)CC2)cc1,1
ZINC000031947196,CCCCCCN(CCCCCC)C(=S)S,1
ZINC000001636706,CCCN(CCC)C(=S)S,1
ZINC000095591174,S=C(S)Nc1cccs1,1
ZINC000000388258,S=C(S)N1CCCC1,1
ZINC000001666211,CN(C(=S)S)c1ccccc1,1
ZINC000033694307,S=C(S)NCCN1CCOCC1,1
ZINC000001606737,CN(Cc1ccccc1)C(=S)S,1
ZINC000004783629,O=C(O)[C@@H]1CCCN1C(=S)S,1
ZINC000059303723,CN1CCN(NC(=S)S)CC1,1
ZINC000005134286,S=C(S)NN1CCOCC1,1
ZINC000001691707,S=C(S)N1CCN(C(=S)S)CC1,1
ZINC000005973400,CCCCN(CC)C(=S)S,1
ZINC000015858186,S=C(S)NCCCn1ccnc1,1
ZINC000038416839,S=C(S)NCCN1CCCCC1,1
ZINC000001652188,S=C(S)Nc1ccccc1,1
ZINC000038219451,S=C(S)NCc1ccncc1,1
ZINC000005828216,O=C(O)CN=C(S)S,1
ZINC000003813042,CC(=O)Nc1nnc(S(N)(=O)=O)s1,1
ZINC000001606735,OCCN(CCO)C(=S)S,1
ZINC000005933472,SC(S)=NCc1ccccc1,1
ZINC000003633221,CCN(CC)C(=S)S,1
ZINC000001693329,CN(C)C(=S)S,1
ZINC000003964325,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,0
ZINC000095598090,Cc1cc(-c2cnc(Nc3cc(Cl)cc(Cl)c3)nc2NC2CCC(N(C)C)CC2)on1,0
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0
ZINC000098050687,Cc1nc([C@](C)(O)CO)sc1-c1cnc(N)c(O[C@H](C)c2cc(F)ccc2-n2nccn2)c1,0
ZINC000043062370,CC1(C)SC[C@H](CCCCC(=O)Nc2ccc3c(c2)CO[C@H](C(=O)O)C3)S1,0
ZINC000072117166,CN(C)c1cccc2c(S(=O)(=O)N(C)CC(=O)N(Cc3ccc(C4CCCCC4)cc3)c3ccc(C(=O)O)c(O)c3)cccc12,0
