ID,SMILES,y
ZINC000045317629,CNCCN1CCC(c2cc(C)c3[nH]c(-c4c(OC)cccc4OC)nc3c2)CC1,1
ZINC000045284264,CNCCN1CCC(c2cc(C)c3[nH]c(-c4c(F)cccc4OC)nc3c2)CC1,1
ZINC000045288480,CNCCN1CCC(c2cc(C)c3[nH]c(-c4ccc(F)cc4OC)nc3c2)CC1,1
ZINC000045283979,CNCCN1CCC(c2cc(C)c3nc(-c4ccccc4OC)[nH]c3c2)CC1,1
ZINC000045284573,CNCCN1CCC(c2cnc3nc(-c4cccnc4OC)[nH]c3c2)CC1,1
ZINC000045283977,CNCCN1CCC(c2cc(C)c3nc(-c4cccnc4OC)[nH]c3c2)CC1,1
ZINC000036475216,CNCCN1CCC(c2ccc3[nH]c(-c4cccnc4OC)nc3c2)CC1,1
ZINC000045288483,CNCCN1CCC(c2ccc3c(c2)nc(-c2cccnc2OC)n3C)CC1,1
ZINC000045253356,CNCCN1CCC(c2cc(C)c3[nH]c(-c4ccccc4)nc3c2)CC1,1
ZINC000045289800,COc1ncccc1-c1nc2c(C)cc(C3CCNCC3)cc2[nH]1,1
ZINC000095493439,C[C@H](N)C(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2-c2nnc(-c3cccc4[nH]ccc34)o2)c1,1
ZINC000064746439,CNCCN1CCC(c2ccc3[nH]c(-c4ccccc4OC)c(F)c3c2)CC1,1
ZINC000040891759,C[C@H](N)C(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2-c2nnc(-c3cccc4ncsc34)o2)c1,1
ZINC000040395822,COc1ccccc1Nc1nnc(-c2cc(C(F)(F)F)nn2-c2cccc(CNC(=O)[C@H](C)N)c2)o1,1
ZINC000040879798,COc1ccccc1-c1nnc(-c2cc(C(F)(F)F)nn2-c2cccc(CNC(=O)[C@H](C)N)c2)o1,1
ZINC000040891758,C[C@H](N)C(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2-c2nnc(-c3ccccc3Cl)o2)c1,1
ZINC000040395132,C[C@H](N)C(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2-c2nnc(-c3ccccc3)o2)c1,1
ZINC000040406065,COc1ccccc1CNC(=O)c1cc(C(F)(F)F)nn1-c1csc(CNC(=O)[C@H](C)N)c1,1
ZINC000040914018,COc1ccccc1CNC(=O)c1cc(C(F)(F)F)nn1-c1cccc(CNC(=O)[C@H](C)N)c1,1
ZINC000040394321,C[C@H](N)C(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2C(=O)NCc2ccccc2)c1,1
ZINC000040395355,Cc1cc(-c2nnc(-c3ccccc3)o2)n(-c2cccc(CNC(=O)[C@H](C)N)c2)n1,1
ZINC000040394726,COc1cccc(-c2nnc(-c3cc(C(F)(F)F)nn3-c3cccc(CNC(=O)[C@H](C)N)c3)o2)c1,1
ZINC000042805240,C[C@H](N)C(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2C(=O)Nc2ccc(-c3ccccc3S(C)(=O)=O)cc2F)c1,1
ZINC000040918639,C[C@H](N)C(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2C(=O)N[C@H](C)c2ccccc2)c1,1
ZINC000049033661,CNCCNCc1cccc(-n2nc(C(F)(F)F)cc2C(=O)NCc2ccccc2OC)c1,1
ZINC000040394676,C[C@H](N)C(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2-c2nc(-c3ccccc3)no2)c1,1
ZINC000040913754,C[C@H](N)C(=O)NCc1cc(-n2nc(C(F)(F)F)cc2C(=O)NCc2ccccc2)cs1,1
ZINC000040915980,CS(=O)(=O)c1cccc(NC(=O)c2cc(C(F)(F)F)nn2-c2cccc(CNC(=O)CN)c2)c1,1
ZINC000040917376,C[C@H](N)C(=O)NCc1ccc(-n2nc(C(F)(F)F)cc2C(=O)NCc2ccccc2)s1,1
ZINC000040914253,Cc1ccccc1CNC(=O)c1cc(C(F)(F)F)nn1-c1csc(CNC(=O)[C@H](C)N)c1,1
ZINC000040913921,COc1ccccc1CNC(=O)c1cc(C(F)(F)F)nn1-c1ccc(CNC(=O)[C@H](C)N)s1,1
ZINC000040892746,C[C@H](N)C(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2-c2nnc(Cc3ccccc3)o2)c1,1
ZINC000049033971,CNCCNCc1cccc(-n2nc(C(F)(F)F)cc2C(=O)NCc2cccc3ccccc23)c1,1
ZINC000040879849,C[C@H](N)C(=O)NCc1cccc(-c2ocnc2-c2nnc(-c3ccccc3)o2)c1,1
ZINC000040891576,COc1cccc(CNC(=O)c2cc(C(F)(F)F)nn2-c2csc(CNC(=O)[C@H](C)N)c2)c1,1
ZINC000004228232,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,1
ZINC000040875425,C[C@H](N)C(=O)NCc1cccc(-c2nn(C)cc2-c2nnc(-c3ccccc3)o2)c1,1
ZINC000040918366,C[C@H](N)C(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2NC(=O)OCc2ccccc2)c1,1
ZINC000049051295,CNCCNCc1cccc(-n2nc(C(F)(F)F)cc2C(=O)NCc2cc(F)ccc2OC)c1,1
ZINC000049113228,CNCCNCc1cccc(-n2nc(C(F)(F)F)cc2C(=O)NCc2cccc3c2OCCO3)c1,1
ZINC000040891577,COC(=O)c1ccccc1CNC(=O)c1cc(C(F)(F)F)nn1-c1csc(CNC(=O)[C@H](C)N)c1,1
ZINC000040914539,C[C@H](N)C(=O)NCc1cc(-n2nc(C(F)(F)F)cc2C(=O)NCc2ccccc2F)cs1,1
ZINC000049111997,CCOc1ccccc1CNC(=O)c1cc(C(F)(F)F)nn1-c1cccc(CNCCNC)c1,1
ZINC000049031227,COc1ccccc1CNC(=O)c1cc(C(F)(F)F)nn1-c1cccc(CNCCN)c1,1
ZINC000040918178,C[C@H](N)C(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2C(=O)NCCc2ccccc2)c1,1
ZINC000040405046,C[C@H](N)C(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2C(=O)Nc2ccccc2)c1,1
ZINC000040915582,NCC(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2C(=O)Nc2ccc(-c3ccccc3)cc2)c1,1
ZINC000040893122,C[C@H](N)C(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2-c2nnc(-c3ccncc3)o2)c1,1
ZINC000049054720,CCc1ccccc1CNC(=O)c1cc(C(F)(F)F)nn1-c1cccc(CNCCNC)c1,1
ZINC000042875838,CS(=O)(=O)c1ccccc1-c1ccc(NC(=O)c2cc(C(F)(F)F)nn2-c2cccc(CNC(=O)CN)c2)cc1,1
ZINC000049051515,CNCCNCc1cccc(-n2nc(C(F)(F)F)cc2C(=O)NCCc2c[nH]c3ccccc23)c1,1
ZINC000040880364,C[C@H](N)C(=O)NCc1cccc(-n2cncc2-c2nnc(-c3ccccc3)o2)c1,1
ZINC000040409200,COc1ccccc1CNC(=O)c1cc(C(F)(F)F)nn1-c1nc(CNC(=O)[C@H](C)N)cs1,1
ZINC000040875423,C[C@H](N)C(=O)NCc1cccc(-c2c(-c3nnc(-c4ccccc4)o3)cnn2C)c1,1
ZINC000040395413,C[C@H](N)C(=O)NCc1ccc(-n2nc(C(F)(F)F)cc2C(=O)NCc2ccccc2F)s1,1
ZINC000299844715,COc1ccc(/N=N/c2c(S(=O)(=O)O)cc3cc(Nc4nc(Cl)nc(Cl)n4)ccc3c2O)cc1,1
ZINC000040405380,CC(C)Oc1ccccc1CNC(=O)c1cc(C(F)(F)F)nn1-c1ccc(CNC(=O)[C@H](C)N)s1,1
ZINC000040900500,COc1ccccc1CNC(=O)c1cc(C(F)(F)F)nn1-c1cccc(CNC(=O)[C@H](C)N)n1,1
ZINC000095921230,CCCN[C@@H](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,1
ZINC000040914489,C[C@H](N)C(=O)NCc1ccc(-n2nc(C(F)(F)F)cc2C(=O)NCc2ccccn2)s1,1
ZINC000040917701,C[C@H](N)C(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2C(=O)N(C)Cc2ccccc2)c1,1
ZINC000049033973,CNCCNCc1cccc(-n2nc(C(F)(F)F)cc2C(=O)NCc2c(OC)ccc3ccccc23)c1,1
ZINC000049067205,CNCCNCc1cccc(-n2nc(C(F)(F)F)cc2C(=O)NCC2CCCCC2)c1,1
ZINC000040404290,COc1ccccc1CNC(=O)c1cc(C(F)(F)F)nn1-c1cc(CNC(=O)[C@H](C)N)ccn1,1
ZINC000040918179,C[C@H](N)C(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2C(=O)NC2CCCCC2)c1,1
ZINC000049051509,CNCCNCc1cccc(-n2nc(C(F)(F)F)cc2C(=O)NCc2nc3ccccc3[nH]2)c1,1
ZINC000044430639,C[C@H](N)C(=O)NCc1ccc(-n2nc(C(F)(F)F)cc2C(=O)NCc2ccccc2C(F)(F)F)s1,1
ZINC000049089738,COc1ccccc1CNC(=O)c1cc(C(F)(F)F)nn1-c1cccc(CNC(=S)[C@H](C)N)c1,1
ZINC000049113073,CNCCNCc1cccc(-n2nc(C(F)(F)F)cc2C(=O)NCc2nc3ccccc3n2C)c1,1
