ID,SMILES,y
ZINC000003976004,CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)CCCc1ccccc1)C(C)C,1
ZINC000028128735,CC[C@@H](C(=O)N[C@@H](CC(=O)O)C(=O)CSCc1ccccc1)n1cccc(NC(=O)[C@H](CC(=O)O)NC(C)=O)c1=O,1
ZINC000028136894,COc1ccc(S(C)(=O)=O)cc1CC(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)CSCc1ccccc1)C(C)C,1
ZINC000001550171,CC[C@@H](C(=O)N[C@H](C=O)CC(=O)O)n1ccnc(NCc2nonc2C)c1=O,1
ZINC000028136898,CC[C@H](C(=O)N[C@H](C=O)CC(=O)O)n1ccnc(NCc2nonc2C)c1=O,1
ZINC000028133607,CC[C@@H](C(=O)N[C@@H](CC(=O)O)C(=O)CSCc1ccccc1)n1ccnc(NCCn2nc(C)cc2C)c1=O,1
ZINC000028133613,CC[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)CSCc1ccccc1)n1ccnc(NCCn2nc(C)cc2C)c1=O,1
ZINC000028137469,CC[C@@H](C(=O)N[C@@H](CC(=O)O)C(=O)CSCc1ccccc1)n1ccnc(NCc2nccs2)c1=O,1
ZINC000028137475,CC[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)CSCc1ccccc1)n1ccnc(NCc2nccs2)c1=O,1
ZINC000003979930,CCCCCCN(C)CC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](CC)n1cc(C(C)(C)C)nc(NCc2nonc2C)c1=O,1
ZINC000014164650,CCCCCCN(C)CC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC)n1cc(C(C)(C)C)nc(NCc2nonc2C)c1=O,1
ZINC000014947378,CCCCCCN(C)CC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](CC)n1cc(C(C)(C)C)nc(NCc2nonc2C)c1=O,1
ZINC000028136084,CCCCCCN(C)CC(=O)[C@@H](CC(=O)O)NC(=O)[C@@H](CC)n1cc(C(C)(C)C)nc(NCc2nonc2C)c1=O,1
ZINC000028136327,CC[C@@H](C(=O)N[C@@H](CC(=O)O)C(=O)CSCc1ccccc1)n1ccnc(NCc2cccs2)c1=O,1
ZINC000028136335,CC[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)CSCc1ccccc1)n1ccnc(NCc2cccs2)c1=O,1
ZINC000028122899,CC[C@@H](C(=O)N[C@@H](CC(=O)O)C(=O)CSCc1ccccc1)n1ccnc(NCCn2cccn2)c1=O,1
