ID,SMILES,y
ZINC000028564706,CC(C)(Cc1ccc2ccccc2c1)NC[C@@H](O)COc1ccccc1C#N,1
ZINC000045261420,CC(C)(Cc1ccc2ccccc2c1)NC[C@@H](O)COc1ccc(CCC(=O)O)cc1C#N,1
ZINC000045315721,CCOC(=O)CCc1ccc(OC[C@H](O)CNC(C)(C)Cc2ccc3ccccc3c2)c(C#N)c1,1
ZINC000003975668,CC(C)(Cc1ccc2ccccc2c1)NC[C@@H](O)COc1cccc(Cl)c1C#N,1
ZINC000003961465,C#CCOc1ccc2c(c1)c(-c1ccc(C(C)C)cc1)nc(=S)n2Cc1cccc(OCCO)c1,1
ZINC000066114224,CCc1ccc(C(CC)(CC)NC(=O)c2c(C)nn3c2N[C@@H](c2ccccc2)CC3(C)C)cc1,1
ZINC000045355238,C#CCOc1ccc2c(c1)c(-c1ccc(C(C)C)cc1)nc(=O)n2Cc1ccc(OC)c(OCC)c1,1
ZINC000045338527,C#CCOc1ccc2c(c1)c(-c1ccc(C(C)C)cc1)nc(=O)n2Cc1ccc(C)cc1,1
ZINC000058581931,COCCn1c(-c2ccc(C(C)C)cc2)nc2c(C(F)(F)F)c(Cc3cccnc3SC)cc(OC)c21,1
ZINC000066103658,CCC(CC)(NC(=O)c1c(C)nn2c1N[C@@H](c1ccccc1)CC2(C)C)c1ccc(OC)c(Cl)c1,1
ZINC000066113852,CCC(CC)(NC(=O)c1c(C)nn2c1N[C@@H](c1ccccc1)CC2(C)C)c1ccc(C(C)C)cc1,1
ZINC000045357952,C#CCOc1ccc2c(c1)c(-c1ccc(C(C)C)cc1)nc(=O)n2Cc1cccc(C)c1,1
ZINC000058590918,COCCn1c(-c2ccc(C(C)C)cc2)nc2c(C(F)(F)F)c(Cc3nccs3)cc(OC)c21,1
ZINC000066113853,CCC(CC)(NC(=O)c1c(C)nn2c1N[C@@H](c1ccccc1)CC2(C)C)c1ccc(OC)cc1,1
ZINC000150599769,NS(=O)(=O)c1ccc(-c2nc(NC(=O)N(CCC(c3ccccc3)c3ccccc3)CCN3CCOCC3)sc2Cl)cc1,1
ZINC000066103651,CCC(CC)(NC(=O)c1c(C)nn2c1N[C@@H](c1ccccc1)CC2(C)C)c1ccc(OCc2ccccc2)cc1,1
ZINC000038655139,CCC(CC)(NC(=O)c1cnn2c1N[C@@H](c1ccccc1)CC2(C)C)c1ccc(C)cc1,1
ZINC000066123277,CCC(CC)(NC(=O)c1c(C)nn2c1N[C@@H](c1ccccc1)CC2(C)C)c1ccccc1,1
