ID,SMILES,y
ZINC000022453986,Cc1ncnc(C)c1C(=O)N1CCC(C)(N2CCN([C@@H](C)c3ccc(C(F)(F)F)cc3)[C@@H](C)C2)CC1,1
ZINC000044387963,CCN(C(=O)Cc1ccc(Cl)c(Cl)c1)C1CCN([C@@H](C)C[C@H](NC(=O)C2CCC2)c2ccccc2)CC1,1
ZINC000044387966,CCN(C(=O)Cc1ccc(Cl)c(Cl)c1)C1CCN([C@H](C)C[C@H](NC(=O)C2CCC2)c2ccccc2)CC1,1
ZINC000052987911,O=C(O)[C@@H](CC1CC1)N1C[C@H](CN2CCC(CCC(F)(F)c3ccc(F)cc3)CC2)[C@@H](c2cccc(F)c2)C1,1
ZINC000044360033,CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN([C@@H](C)C[C@H](NC(=O)C2CCC2)c2ccccc2)CC1,1
ZINC000044360040,CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN([C@H](C)C[C@H](NC(=O)C2CCC2)c2ccccc2)CC1,1
ZINC000034775579,CONC(=O)N(Cc1ccsc1)C1CCN([C@H](C)CCNC(=O)c2c(C)cc(Cl)nc2Cl)CC1,1
ZINC000082156766,COc1ccc(N(Cc2cnccc2C)C2CCN([C@H](C)CCNC(=O)c3c(C)cc(C(=O)NC(C)C)nc3C)CC2)cc1,1
ZINC000003976619,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CC[C@](C)(CN(C)S(=O)(=O)c2ccccc2)c2ccccc2)CC1,1
ZINC000003985540,CCO/N=C(/c1ccc(Br)cc1)C1CCN(C2(C)CCN(C(=O)c3c(C)cc(-c4ccncc4)cc3C)CC2)CC1,1
ZINC000013479578,O=C(O)[C@@H](CC1CCC1)N1C[C@H](CN2CCC(CCCc3ccccc3)CC2)[C@@H](c2ccccc2)C1,1
ZINC000013819429,O=C(O)[C@@H](C1CCCCC1)N1C[C@H](CN2CCC(CCCc3ccccc3)CC2)[C@@H](c2ccccc2)C1,1
ZINC000013819437,O=C(O)[C@@H](C1CCC1)N1C[C@H](CN2CCC(CCCc3ccccc3)CC2)[C@@H](c2ccccc2)C1,1
ZINC000013819439,O=C(O)[C@@H](CC1CC1)N1C[C@H](CN2CCC(CCCc3ccccc3)CC2)[C@@H](c2ccccc2)C1,1
ZINC000026663869,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(C[C@H]2CN(Cc3ccccc3)C[C@@H]2c2ccccc2)CC1,1
