ID,SMILES,y
ZINC000299850593,CNC(=O)[C@@H]1CC[C@@H](Nc2cc(O)nc3c(C)cc(-c4cncs4)cc23)CC1,1
ZINC000299852619,COCCO[C@@H]1CC[C@@H](Nc2cc(=O)n(C)c3ccc(-c4cncs4)cc23)CC1,1
ZINC000299851625,CO[C@@H]1CC[C@@H](Nc2cc(=O)n(C)c3c(C)cc(-c4cncs4)cc23)CC1,1
ZINC000299852316,COCCO[C@@H]1CC[C@@H](Nc2cc(O)nc3c(C)cc(-c4cncs4)cc23)CC1,1
ZINC000299850074,CO[C@@H]1CC[C@@H](Nc2cc(O)nc3c(C)cc(-c4cncs4)cc23)CC1,1
ZINC000299852198,COCCO[C@@H]1CC[C@@H](Nc2cc(=O)n(C)c3c(C)cc(-c4cncs4)cc23)CC1,1
ZINC000299850995,CNC(=O)[C@@H]1CC[C@@H](Nc2cc(=O)n(C)c3c(C)cc(-c4cncs4)cc23)CC1,1
ZINC000299851111,CNC(=O)[C@@H]1CC[C@@H](Nc2cc(O)nc3ccc(-c4cncs4)cc23)CC1,1
ZINC000299852795,CO[C@@H]1CC[C@@H](Nc2nc(O)nc3c(C)cc(-c4cncs4)cc23)CC1,1
ZINC000299850971,CNC(=O)[C@@H]1CC[C@@H](Nc2cc(=O)n(C)c3ccc(-c4cncs4)cc23)CC1,1
ZINC000299851626,COCCO[C@@H]1CC[C@@H](Nc2cc(O)nc3ccc(-c4cncs4)cc23)CC1,1
ZINC000299851616,CO[C@@H]1CC[C@@H](Nc2cc(=O)n(C)c3ccc(-c4cncs4)cc23)CC1,1
ZINC000299851817,Cn1c(=O)cc(N[C@@H]2CC[C@@H](O)CC2)c2cc(-c3cncs3)ccc21,1
ZINC000299851976,COc1cc(-c2cncs2)cc2c(Nc3ccc(C(N)=O)cc3)ncnc12,1
ZINC000299852057,Cc1cc(-c2cncs2)cc2c(Nc3ccc(F)c(Cl)c3)nc(O)nc12,1
ZINC000299852299,Cc1cc(-c2cncs2)cc2c(NC3CCOCC3)cc(O)nc12,1
ZINC000299852632,CCn1c(=O)cc(N[C@@H]2CC[C@@H](OCCOC)CC2)c2cc(-c3cncs3)ccc21,1
ZINC000299852649,Cc1cc(-c2cncs2)cc2c(NC3CCOCC3)cc(=O)n(C)c12,1
ZINC000299851643,CCn1c(=O)cc(N[C@@H]2CC[C@@H](C(=O)NC)CC2)c2cc(-c3cncs3)ccc21,1
ZINC000299850974,CC1CCC(Nc2ncnc3ccc(-c4cncs4)cc23)CC1,1
ZINC000299852800,CNC(=O)[C@@H]1CC[C@@H](Nc2nc(C)nc3c(C)cc(-c4cncs4)cc23)CC1,1
ZINC000299850976,NC(=O)c1ccc(Nc2ncnc3c(C(F)(F)F)cc(-c4cncs4)cc23)cc1,1
ZINC000299851866,CO[C@@H]1CC[C@@H](Nc2nc(=O)n(C)c3ccc(-c4cncs4)cc23)CC1,1
ZINC000299852475,COCCO[C@@H]1CC[C@@H](Nc2nc(=O)n(C)c3ccc(-c4cncs4)cc23)CC1,1
ZINC000299851963,COc1cc(-c2cncs2)cc2c(Nc3ccc(F)c(Cl)c3)ncnc12,1
