ID,SMILES,y
ZINC000261098310,O[C@@H]1CC[C@@H](Nc2nc(Cl)cc(-c3c[nH]c4ncccc34)n2)CC1,1
ZINC000101473275,O=c1cc(-c2c[nH]c3ncccc23)cc(NC2CCCCC2)[nH]1,1
ZINC000261187058,CN(C)[C@@H]1CC[C@@H](Nc2nc(Cl)cc(-c3c[nH]c4ncccc34)n2)CC1,1
ZINC000040828984,Cc1nc2sc3c(N)ncnc3c2c2c1CCCC2,1
ZINC000063298292,O=C(Nc1n[nH]c2ccc(-c3cn(Cc4ccccc4)nn3)cc12)c1ccccc1,1
ZINC000063539990,O=C(Nc1n[nH]c2ccc(-c3cn(Cc4ccccc4)nn3)cc12)c1cccc(Cl)c1,1
ZINC000095583917,Clc1cc(-c2c[nH]c3ncccc23)cc(NC2CCCCC2)n1,1
ZINC000040829535,CCc1c(C)nc2sc3c(N)ncnc3c2c1C,1
ZINC000040833899,CC(C)[C@@H]1CNC(=O)c2cc(-c3ccnc(N)n3)[nH]c21,1
ZINC000040833901,CC(C)[C@H]1CNC(=O)c2cc(-c3ccnc(N)n3)[nH]c21,1
ZINC000000534332,Cc1cc(-c2cc(-c3ccccc3)[nH]c(=O)n2)ccc1O,1
ZINC000095584337,N#Cc1cc(-c2c[nH]c3ncccc23)cc(NCc2ccccc2)n1,1
ZINC000261181942,O[C@@H]1CC[C@@H](Nc2cc(-c3c[nH]c4ncccc34)cc(F)n2)CC1,1
ZINC000006745961,O=C1NCCc2[nH]c3c(ccc4cnccc43)c21,1
ZINC000013979524,CC[C@@H]1CNC(=O)c2cc(-c3ccncc3)[nH]c21,1
ZINC000014022536,CC[C@H]1CNC(=O)c2cc(-c3ccncc3)[nH]c21,1
ZINC000034563505,C=CCc1c(C)nc2sc3c(N)ncnc3c2c1C,1
ZINC000039144346,Nc1nccc(-c2cc3c([nH]2)[C@@H](CCF)CNC3=O)n1,1
ZINC000040379190,O=C1NC[C@@H](CCF)c2[nH]c(-c3ccncc3)cc21,1
ZINC000040379191,O=C1NC[C@H](CCF)c2[nH]c(-c3ccncc3)cc21,1
ZINC000040424656,CC1(C)CNC(=O)c2cc(-c3ccnc(N)c3)[nH]c21,1
ZINC000040866646,Cc1c2c(nc3sc4c(N)ncnc4c13)CCCC2,1
ZINC000040974411,Nc1nccc(-c2cc3c([nH]2)[C@H](C2CCC2)CNC3=O)n1,1
ZINC000040974413,Nc1nccc(-c2cc3c([nH]2)[C@@H](C2CCC2)CNC3=O)n1,1
ZINC000064513972,NC(=O)c1cc(-c2nc(N)ncc2Br)[nH]c1-c1ccccc1,1
ZINC000013979525,CC1(C)CNC(=O)c2cc(-c3ccncc3)[nH]c21,1
ZINC000028970501,Nc1nccc(-c2cc3c(n2CCF)CCNC3=O)n1,1
ZINC000040380089,Nc1nccc(-c2cc3c([nH]2)[C@H](CCF)CNC3=O)n1,1
ZINC000040835539,Cc1nc2sc3c(N)ncnc3c2c2c1CCC2,1
ZINC000040835552,O=C1NC[C@@H](C2CCC2)c2[nH]c(-c3ccncc3)cc21,1
ZINC000040835554,O=C1NC[C@H](C2CCC2)c2[nH]c(-c3ccncc3)cc21,1
ZINC000040976439,CC(C)C[C@@H]1Cc2[nH]c(-c3ccncc3)cc2C(=O)N1,1
ZINC000040976441,CC(C)C[C@H]1Cc2[nH]c(-c3ccncc3)cc2C(=O)N1,1
ZINC000095583273,Fc1cc(-c2c[nH]c3ncccc23)cc(NC2CCCCC2)n1,1
ZINC000084668615,Oc1nc([C@@H]2CCCN2)nc2c1oc1ccc(Cl)cc12,1
ZINC000261137290,N[C@@H]1CC[C@@H](Nc2cc(-c3c[nH]c4ncccc34)cc(F)n2)CC1,1
ZINC000084652665,O=c1[nH]c([C@@H]2C[C@@H](F)CN2)nc2c1oc1ccc(Br)cc12,1
ZINC000084669822,Oc1nc(CN2CCCC2)nc2c1oc1ccc(Br)cc12,1
ZINC000043206170,COc1ccc2oc3c(=O)[nH]c([C@@H]4C[C@@H](F)CN4)nc3c2c1,1
ZINC000000084214,Cc1nc2sc3c(N)ncnc3c2c(C)c1C,1
ZINC000028970317,Nc1ncc(Br)c(-c2cc3c([nH]2)CCNC3=O)n1,1
ZINC000028970496,Nc1nccc(-c2cc3c(n2CC2CC2)CCNC3=O)n1,1
ZINC000040379031,Nc1nccc(-c2cc3c([nH]2)[C@H](CCO)CNC3=O)n1,1
ZINC000040379032,Nc1nccc(-c2cc3c([nH]2)[C@@H](CCO)CNC3=O)n1,1
ZINC000040943209,O=C1N=C(NCc2ccco2)S/C1=C\c1c[nH]c2ncccc12,1
ZINC000040974407,CC[C@@H]1CNC(=O)c2cc(-c3ccnc(N)n3)[nH]c21,1
ZINC000040974409,CC[C@H]1CNC(=O)c2cc(-c3ccnc(N)n3)[nH]c21,1
ZINC000084668997,O=c1[nH]c([C@@H]2C[C@@H](F)CN2)nc2c1oc1ccc(Cl)cc12,1
ZINC000084669826,Oc1nc([C@@H]2CCCN2)nc2c1oc1ccc(Br)cc12,1
ZINC000013979514,O=C1N[C@@H](C2CC2)Cc2[nH]c(-c3ccncc3)cc21,1
ZINC000013979516,O=C1N[C@H](C2CC2)Cc2[nH]c(-c3ccncc3)cc21,1
ZINC000028970456,Nc1nccc(-c2cc3c(n2CC(F)(F)F)CCNC3=O)n1,1
ZINC000040392965,Cc1c2c(nc3sc4c(N)ncnc4c13)CCC2,1
ZINC000040835812,O=c1nc(-c2ccc3[nH]ncc3c2)cc(-c2cccc(Cl)c2)[nH]1,1
ZINC000040980539,CCC1(CC)CNC(=O)c2cc(-c3ccnc(N)n3)[nH]c21,1
ZINC000064513371,NC(=O)c1cc(-c2nc(N)ncc2Cl)[nH]c1-c1ccccc1,1
ZINC000043206168,Oc1nc(CN2CC[C@@H](O)C2)nc2c1oc1ccc(Br)cc12,1
ZINC000261169673,N#Cc1cc(-c2c[nH]c3ncccc23)cc(N[C@@H]2CC[C@@H](O)CC2)n1,1
ZINC000013979646,C[C@@H]1CNC(=O)c2cc(-c3ccnc(N)n3)[nH]c21,1
ZINC000013979649,C[C@H]1CNC(=O)c2cc(-c3ccnc(N)n3)[nH]c21,1
ZINC000034639852,CCC1(CC)CNC(=O)c2cc(-c3ccncc3)[nH]c21,1
ZINC000040828637,CC(C)[C@@H]1Cc2[nH]c(-c3ccncc3)cc2C(=O)N1,1
ZINC000040828639,CC(C)[C@H]1Cc2[nH]c(-c3ccncc3)cc2C(=O)N1,1
ZINC000040976973,O=c1nc(-c2ccc3[nH]ncc3c2)cc(-c2cccc(OCc3ccccc3)c2)[nH]1,1
ZINC000084668616,COc1ccc2oc3c(O)nc([C@@H]4CCCN4)nc3c2c1,1
ZINC000084669849,O=c1[nH]c(C2CCNCC2)nc2c1oc1ccc(Br)cc12,1
ZINC000028970242,Nc1nccc(-c2cc3c([nH]2)CCNC3=O)n1,1
ZINC000028970653,O=C1NCCc2[nH]c(-c3ccnc(Nc4ccccc4)n3)cc21,1
ZINC000040974968,Nc1nccc(-c2cc3c([nH]2)[C@H](CCOCc2ccccc2)CNC3=O)n1,1
ZINC000040974970,Nc1nccc(-c2cc3c([nH]2)[C@@H](CCOCc2ccccc2)CNC3=O)n1,1
ZINC000095604433,Nc1nccc(-n2cc(-c3cccnc3Cl)c3cnccc32)n1,1
ZINC000084758339,CN1CCC[C@H]1c1nc(O)c2oc3ccc(Br)cc3c2n1,1
ZINC000084757276,Oc1nc(C2CNC2)nc2c1oc1ccc(Br)cc12,1
ZINC000084758264,Oc1nc(CN2CC[C@H](O)C2)nc2c1oc1ccc(Br)cc12,1
ZINC000095585792,N#Cc1cc(-c2c[nH]c3ncccc23)cc(NC2CCCCC2)n1,1
ZINC000013979648,CC(C)C[C@@H]1Cc2[nH]c(-c3ccnc(N)n3)cc2C(=O)N1,1
ZINC000014209108,CC(C)C[C@H]1Cc2[nH]c(-c3ccnc(N)n3)cc2C(=O)N1,1
ZINC000028970447,CCn1c(-c2ccnc(N)n2)cc2c1CCNC2=O,1
ZINC000043174125,NC(=O)c1cc(-c2ccncc2F)[nH]c1-c1ccccc1,1
ZINC000064527078,NC(=O)c1cc(-c2ccncc2)[nH]c1-c1ccccc1F,1
ZINC000084669850,C[C@H](N)c1nc(O)c2oc3ccc(Br)cc3c2n1,1
ZINC000084669851,C[C@@H](N)c1nc(O)c2oc3ccc(Br)cc3c2n1,1
ZINC000095582909,c1cnc2[nH]cc(-c3ccnc(NC4CCCCC4)c3)c2c1,1
ZINC000028970206,O=C1NCCc2[nH]c(-c3ccncc3F)cc21,1
ZINC000040411135,O=C1N=C(NCc2ccccc2)S/C1=C\c1c[nH]c2ncccc12,1
ZINC000043174115,NC(=O)c1cc(-c2ccncc2)[nH]c1-c1ccccc1,1
ZINC000095601128,N#Cc1ccc2ccn(-c3cc(N)ncn3)c2n1,1
ZINC000084758340,Oc1nc([C@@H]2C[C@@H](O)CN2)nc2c1oc1ccc(Br)cc12,1
ZINC000013979512,C[C@H]1CNC(=O)c2cc(-c3ccncc3)[nH]c21,1
ZINC000014022509,C[C@@H]1CNC(=O)c2cc(-c3ccncc3)[nH]c21,1
ZINC000016052718,O=C1NCCc2[nH]c(-c3ccncc3)cc21,1
ZINC000038213171,CC(C)[C@H]1CNC(=O)c2cc(-c3ccncc3)[nH]c21,1
ZINC000040424134,O=c1nc(-c2ccc3[nH]ncc3c2)cc(-c2ccccc2F)[nH]1,1
ZINC000040847094,CC(C)[C@@H]1CNC(=O)c2cc(-c3ccncc3)[nH]c21,1
ZINC000040943028,CC(C)NC1=NC(=O)/C(=C/c2c[nH]c3ncccc23)S1,1
ZINC000040974166,Nc1nccc(-c2cc3c([nH]2)[C@H](CCC(F)(F)F)CNC3=O)n1,1
ZINC000040974168,Nc1nccc(-c2cc3c([nH]2)[C@@H](CCC(F)(F)F)CNC3=O)n1,1
ZINC000040976095,O=c1nc(-c2ccc3[nH]ncc3c2)cc(-c2ccccc2)[nH]1,1
ZINC000084669518,N[C@H]1CCN(Cc2nc(O)c3oc4ccc(Br)cc4c3n2)C1,1
ZINC000040955340,Nc1nccc(-c2cc3c([nH]2)C[C@H](C2CC2)NC3=O)n1,1
ZINC000040955343,Nc1nccc(-c2cc3c([nH]2)C[C@@H](C2CC2)NC3=O)n1,1
ZINC000084669823,CO[C@H]1CCN(Cc2nc3c(oc4ccc(Br)cc43)c(=O)[nH]2)C1,1
ZINC000084739489,O=c1[nH]c([C@@H]2C[C@H](F)CN2)nc2c1oc1ccc(Br)cc12,1
ZINC000095601118,Nc1nccc(-n2cc(-c3ccccc3Cl)c3cnccc32)n1,1
ZINC000028970462,CCCn1c(-c2ccnc(N)n2)cc2c1CCNC2=O,1
ZINC000040428902,Nc1nccc(-c2cc3c([nH]2)[C@H](CCCO)CNC3=O)n1,1
ZINC000040428904,Nc1nccc(-c2cc3c([nH]2)[C@@H](CCCO)CNC3=O)n1,1
ZINC000040972409,CC(C)[C@@H]1Cc2[nH]c(-c3ccnc(N)n3)cc2C(=O)N1,1
ZINC000040972410,CC(C)[C@H]1Cc2[nH]c(-c3ccnc(N)n3)cc2C(=O)N1,1
ZINC000028970491,CC(C)Cn1c(-c2ccnc(N)n2)cc2c1CCNC2=O,1
ZINC000035822889,C[C@H]1Cc2[nH]c(-c3ccncc3)cc2C(=O)N1,1
ZINC000040976059,CC(C)NC1=N/C(=C\c2c[nH]c3ncccc23)C(=O)N1,1
ZINC000040979305,CC1CCC(NC2=N/C(=C\c3c[nH]c4ncccc34)C(=O)N2)CC1,1
ZINC000040980488,C[C@@H]1Cc2[nH]c(-c3ccncc3)cc2C(=O)N1,1
ZINC000084669824,O=C(O)[C@H]1CCN(Cc2nc(O)c3oc4ccc(Br)cc4c3n2)C1,1
ZINC000084669825,O=C(O)[C@@H]1CCN(Cc2nc(O)c3oc4ccc(Br)cc4c3n2)C1,1
ZINC000095581366,Cc1cc(-c2c[nH]c3ncccc23)cc(NC2CCCCC2)n1,1
ZINC000028970253,O=C1NCCc2[nH]c(-c3ccnc4[nH]ccc34)cc21,1
ZINC000028970473,Nc1nccc(-c2cc3c(n2C2CCC2)CCNC3=O)n1,1
ZINC000064528106,NC(=O)c1cc(-c2ccncc2)[nH]c1-c1ccc(F)cc1,1
ZINC000040428762,O=C1NC(NCc2ccco2)=N/C1=C\c1c[nH]c2ncccc12,1
ZINC000084668351,Oc1nc([C@@H]2CCCNC2)nc2c1oc1ccc(Br)cc12,1
ZINC000084668352,Oc1nc([C@H]2CCCNC2)nc2c1oc1ccc(Br)cc12,1
