ID,SMILES,y
ZINC000113735312,CC(C)(C)c1cc(F)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,1
ZINC000052509463,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,1
ZINC000113733657,CC(C)(C)c1ccc(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,1
ZINC000113735273,CC(C)(C)c1cc(C(F)(F)F)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,1
ZINC000028476897,CCCCCc1ccc(NC(=O)[C@@H]2Cc3ccccc3CN2C(=O)c2ccc(OC)c(OC(C)C)c2)cc1,1
ZINC000072121330,Cn1c(=O)c2c(-c3ccccc3)n3c(c2n(C)c1=O)[C@H](c1ccc(Br)o1)Oc1ccc(C(=O)O)cc1-3,1
ZINC000013981523,Cc1nc2cccc[n+]2c(C)c1O,1
ZINC000028473587,CCCCCc1ccc(NC(=O)[C@@H]2Cc3ccccc3CN2C(=O)c2cc(OC(C)C)ccn2)cc1,1
ZINC000028107606,CCCCCc1ccc(NC(=O)[C@@H]2Cc3ccccc3CN2C(=O)c2cccc(OC(C)C)c2)cc1,1
ZINC000072121331,Cn1c(=O)c2c(-c3ccccc3)n3c(c2n(C)c1=O)[C@@H](c1ccc(Br)o1)Oc1ccc(C(=O)O)cc1-3,1
ZINC000113737111,CC(C)(C)c1c[nH]c2cc(NC(=O)c3c[nH]c4ccccc4c3=O)ccc12,1
ZINC000028520792,CCCCCc1ccc(NC(=O)[C@@H]2Cc3ccccc3CN2C(=O)c2cc(OC3CCCCC3)ccn2)cc1,1
ZINC000028476737,CCCCCc1ccc(NC(=O)[C@@H]2Cc3ccccc3CN2C(=O)c2cccc(OCC(C)C)c2)cc1,1
ZINC000028476675,CCCCCc1ccc(NC(=O)[C@@H]2Cc3ccccc3CN2C(=O)c2ccnc(OC(C)C)c2)cc1,1
ZINC000113732795,CC(C)(C)c1cc2cc[nH]c2cc1NC(=O)c1c[nH]c2ccccc2c1=O,1
ZINC000028476815,CCCCCc1ccc(NC(=O)[C@@H]2Cc3ccccc3CN2C(=O)c2ccc(OC)c(Oc3ccccc3)c2)cc1,1
ZINC000013981519,C[C@]1(C(=O)O)N=C2c3ccccc3C=CN2[C@](C)(O)[C@H]1O,1
ZINC000013981520,C[C@]1(C(=O)O)N=C2c3ccccc3C=CN2[C@](C)(O)[C@@H]1O,1
