ID,SMILES,y
ZINC000163060375,C/C=C/C=C/C=C/C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H]1COC(=O)[C@@H]2C[C@@H](C)CN2C(=O)[C@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H]2CCCN2C1=O,1
ZINC000085544616,C/C=C/C=C/C=C/C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H]1COC(=O)[C@@H]2CCCN2C(=O)[C@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H]2CCCN2C1=O,1
ZINC000043207793,C=CCCCCCCC[C@H]1C(=O)O[C@@H]1CCc1ccccc1,1
ZINC000073219189,C=CCCCCCCC[C@H]1C(=O)O[C@@H]1CCc1cccnc1,1
ZINC000073224319,C=CCCCCCCC[C@H]1C(=O)O[C@@H]1CCCCCNC(=O)c1ccc(N(C)C)cc1,1
ZINC000043207851,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,0
ZINC000001700248,NNC(=O)CCC(=O)O,0
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0
ZINC000167365264,Cc1csc(C(=O)N[C@@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3cccc(-c4ccc(CN5C[C@H](C)N[C@H](C)C5)cc4CN4CCOCC4)c3)CC2)n1,0
ZINC000085537053,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C,0
