ID,SMILES,y
ZINC000002005990,CCCCCOc1c(OC)ccc2cc(C(=O)NCCc3ccncc3)c(=O)[nH]c12,1
ZINC000072181497,CCCCCc1cc2cc(C(=O)OC)c(=O)[nH]c2c(O)c1OC,1
ZINC000040972909,Fc1ccc(-c2noc(CCCNc3ccc4ncc(OC(F)(F)F)cc4c3)n2)c(Cl)c1,1
ZINC000034012056,CCCCCOc1c(OC)ccc2cc(C(=O)NCCc3ccc(F)cc3)c(=O)[nH]c12,1
ZINC000072180353,CCOc1c(OC)ccc2cc(C(=O)NCCc3ccncc3)c(=O)[nH]c12,1
ZINC000072181498,CCCOc1c(OC)ccc2cc(C(=O)NCCc3ccc(F)cc3)c(=O)[nH]c12,1
ZINC000197592186,CCCCCOc1c(OC)ccc2cc(C(=O)NCCc3ccc(F)cc3)c(=O)n(C)c12,1
ZINC000006273129,CCCC(C)(C)c1ccc2c(c1)OC(C)(C)[C@@H]1CC=C(C)C[C@@H]21,1
ZINC000197592124,CCCCCOc1ccc2cc(C(=O)NCCc3ccc(F)cc3)c(=O)[nH]c2c1OCCCCC,1
ZINC000013675381,CCCCCCC(C)(C)c1ccc2c(c1)OC(C)(C)[C@@H]1CC=C(CO)C[C@@H]21,1
ZINC000072178530,CCCCOc1c(OC)ccc2cc(C(=O)O)c(=O)[nH]c12,1
ZINC000095607432,CC(C)(C)CCCCCc1ccc2c(c1)OC(C)(C)[C@@H]1CC=C(CO)C[C@@H]21,1
ZINC000169309772,CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)[C@@H]1CC=C(OO)C[C@@H]21,1
ZINC000072178574,CCCCCc1cc2cc(C(=O)NCCc3ccc(F)cc3)c(=O)[nH]c2c(O)c1OC,1
ZINC000013476371,Cc1ccc2c(c1)Cc1c(C(=O)NN3CCCCC3)nn(-c3ccc(Cl)cc3Cl)c1-2,1
ZINC000068245134,CC(C)(C)c1cc(NC(=O)[C@]2(C)CCCN2c2ccc(C(F)(F)F)cn2)no1,1
ZINC000116693179,CC(C)CCS(=O)(=O)C(C)(C)C(=O)Nc1cc(C(C)(C)C)no1,1
ZINC000072181230,CCCCCc1cc2cc(C(=O)NCCc3ccc(F)cc3)c(=O)n(C)c2c(O)c1OC,1
ZINC000197592565,CCOc1c(OC)ccc2cc(C(=O)NCc3ccc4c(c3)OCO4)c(=O)[nH]c12,1
ZINC000068245139,CC(C)(C)c1cc(NC(=O)[C@@H]2CCCN2c2ccc(C(F)(F)F)cn2)no1,1
ZINC000045316242,CC1(C)C(C(=O)c2cn(CCN3CCOC3=O)c3ccccc23)C1(C)C,1
ZINC000002572463,CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)[C@@H]1CC=C(CO)C[C@@H]21,1
ZINC000006203319,CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)[C@@H]1CC=C(CO)C[C@H]21,1
ZINC000068245136,CC(C)(C)c1cc(NC(=O)[C@@H]2CCCN2c2ncc(C(F)(F)F)cc2Cl)no1,1
ZINC000035813765,CC1(C)C(C(=O)c2cn(CCCC(F)(F)F)c3ccccc23)C1(C)C,1
ZINC000072180352,CCCCCOc1c(OC)ccc2cc(C(=O)NCCN3CCOCC3)c(=O)n(C)c12,1
ZINC000001548888,CCCCCOc1c(OC)ccc2cc(C(=O)NCc3ccc4c(c3)OCO4)c(=O)[nH]c12,1
ZINC000013675399,CCCCCNc1c(OC)ccc2c1CN(CCc1ccc(O)cc1)C2=O,1
ZINC000299861254,CCCCCOc1c(OC)ccc2cc(C(=O)NCc3ccc4c(c3)OCO4)c(=O)oc12,1
ZINC000040980352,CCn1c2ccccc2c2cc(NC(=O)CCc3nc(-c4ccc(F)cc4C)no3)ccc21,1
ZINC000068247298,CC(C)(C)c1cc(NC(=O)[C@@H]2CCCCN2c2ccc(C(F)(F)F)cn2)no1,1
ZINC000095574837,CCCCCn1cc(C(=O)N[C@@H]2C(C)(C)[C@H]3CC[C@]2(C)C3)c(=O)c2ccc(Sc3ccccc3)cc21,1
ZINC000197591994,CCCOc1c(OC)ccc2cc(C(=O)NCCc3ccccc3)c(=O)[nH]c12,1
ZINC000014975789,COc1cccc2c(C(=O)C3C(C)(C)C3(C)C)cn(CC3CCOCC3)c12,1
ZINC000038308421,CCCCn1c2c(cc(C(=O)NC(C)(C)c3ccccc3)c1=O)CCCCCC2,1
ZINC000095578276,CCCCn1cc(C(=O)N[C@@H]2C(C)(C)[C@H]3CC[C@]2(C)C3)c(=O)c2ccc(Sc3ccccc3)cc21,1
ZINC000077863193,CCCCCOc1ccc2c(c1OCCCCC)CN(CCc1ccc(N)cc1)C2=O,1
ZINC000299837475,C[C@H]1CC[C@@H](NC(=O)c2cc3cc(Br)cnc3n(Cc3ccc(F)cc3)c2=O)CC1,1
ZINC000040974760,CCn1c2ccccc2c2cc(NC(=O)CCc3nc(-c4ccc(F)cc4C#N)no3)ccc21,1
ZINC000045256802,CC1(C)C(C(=O)c2cn(C[C@@H]3CCOC3)c3ccccc23)C1(C)C,1
ZINC000045256804,CC1(C)C(C(=O)c2cn(C[C@H]3CCOC3)c3ccccc23)C1(C)C,1
ZINC000071317661,O=C(c1ccc(Cl)cc1)N1CC[C@](O)(c2ccccc2)[C@H]2CCCC[C@H]21,1
ZINC000014975759,Cc1ccc2c(C(=O)C3C(C)(C)C3(C)C)cn(CC3CCOCC3)c2c1,1
ZINC000002568244,CCCCCCC(C)(C)c1ccc([C@@H]2C[C@H](O)CC[C@H]2CCCO)c(O)c1,1
ZINC000043170628,CC(C)(C)Cc1nc2cc(S(=O)(=O)C3(C(N)=O)CC3)ccc2n1CC1CC1,1
ZINC000095592802,O=C(NC12CC3CC(CC(C3)C1)C2)c1nn(CCN2CCOCC2)c2ccccc12,1
ZINC000014975738,CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3ccccc23)C1(C)C,1
ZINC000299821976,CC1CCC(NC(=O)c2cc3cc(-c4cccs4)cnc3n(CCN3CCOCC3)c2=O)CC1,1
ZINC000197592085,CCCCCOc1c(OC)ccc2cc(C(=O)NCCc3ccccc3F)c(=O)[nH]c12,1
ZINC000299837478,CC1CCC(NC(=O)c2cc3cc(Br)cnc3n(Cc3ccc(F)cc3)c2=O)CC1,1
ZINC000147441671,CC(C)(C)c1cc(NC(=O)[C@@H]2CCCN2c2ccc(Cl)cc2)no1,1
