ID,SMILES,y
ZINC000034602275,Cc1c(Cl)c(C)[n+]([O-])c(Cl)c1-c1noc(-c2cc(O)c(O)c([N+](=O)[O-])c2)n1,1
ZINC000034845173,O=C(O)c1sc2c([N+](=O)[O-])c(O)c(O)cc2c1Cl,1
ZINC000049112311,CC(C)OC(=O)c1sc2c([N+](=O)[O-])c(O)c(O)cc2c1Cl,1
ZINC000049114239,CCCCOC(=O)c1sc2c([N+](=O)[O-])c(O)c(O)cc2c1Cl,1
ZINC000049073043,O=C(OCc1coc(=O)o1)c1sc2c([N+](=O)[O-])c(O)c(O)cc2c1Cl,1
ZINC000035342789,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,1
ZINC000049112351,COC(=O)c1sc2c([N+](=O)[O-])c(O)c(O)cc2c1Cl,1
ZINC000027895913,O=C1/C(=C/c2cc(O)c(O)c([N+](=O)[O-])c2)CC/C1=C\c1cc(O)c(O)c([N+](=O)[O-])c1,1
ZINC000000008750,O=C(Cc1ccccc1)c1cc(O)c(O)c([N+](=O)[O-])c1,1
ZINC000036295153,COc1cc(C(=O)/C=C/c2cc(O)c(O)c([N+](=O)[O-])c2)cc(OC)c1OC,1
ZINC000036295155,O=C(/C=C/c1cc(O)c(O)c([N+](=O)[O-])c1)c1ccccc1,1
ZINC000049116375,CC(C)[C@H](N)C(=O)OCOC(=O)c1sc2c([N+](=O)[O-])c(O)c(O)cc2c1Cl,1
ZINC000049116379,CC(C)[C@@H](N)C(=O)OCOC(=O)c1sc2c([N+](=O)[O-])c(O)c(O)cc2c1Cl,1
ZINC000049066838,CCCOC(=O)c1sc2c([N+](=O)[O-])c(O)c(O)cc2c1Cl,1
ZINC000049068034,O=C(OCc1ccccc1)c1sc2c([N+](=O)[O-])c(O)c(O)cc2c1Cl,1
ZINC000049114066,CCCC(=O)OCOC(=O)c1sc2c([N+](=O)[O-])c(O)c(O)cc2c1Cl,1
ZINC000002170217,O=[N+]([O-])c1cc(O)c(O)c([N+](=O)[O-])c1,1
ZINC000013883836,CC(=O)/C(C)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,1
ZINC000035342787,CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,1
ZINC000000002778,CC(=O)c1cc(O)c(O)c([N+](=O)[O-])c1,1
ZINC000144182227,O=c1ccn(-c2cccc(-c3ccccc3)c2)cc1O,1
ZINC000049073039,CCCC(=O)O[C@@H](C)OC(=O)c1sc2c([N+](=O)[O-])c(O)c(O)cc2c1Cl,1
ZINC000049073041,CCCC(=O)O[C@H](C)OC(=O)c1sc2c([N+](=O)[O-])c(O)c(O)cc2c1Cl,1
ZINC000049068036,CC(C)C(=O)OCOC(=O)c1sc2c([N+](=O)[O-])c(O)c(O)cc2c1Cl,1
ZINC000049068038,CC(C)C(=O)O[C@@H](C)OC(=O)c1sc2c([N+](=O)[O-])c(O)c(O)cc2c1Cl,1
ZINC000049068040,CC(C)C(=O)O[C@H](C)OC(=O)c1sc2c([N+](=O)[O-])c(O)c(O)cc2c1Cl,1
ZINC000035645588,CC(=O)C(=Cc1cc(O)c(O)c([N+](=O)[O-])c1)C(C)=O,1
ZINC000036295151,CN(C)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,1
ZINC000027894576,O=C(NC12CC3CC(CC(C3)C1)C2)c1cc(O)c(O)c([N+](=O)[O-])c1,1
ZINC000199167708,O=c1c(O)cn(-c2cccc(-c3ccccc3)c2)cc1B(O)O,1
ZINC000299870614,O=c1cc([C@@H](O)c2ccccc2)n(-c2cccc(-c3ccccc3)c2)cc1O,1
ZINC000299870615,O=c1cc([C@H](O)c2ccccc2)n(-c2cccc(-c3ccccc3)c2)cc1O,1
ZINC000000002775,N#CC(C#N)=Cc1cc(O)c(O)c([N+](=O)[O-])c1,1
ZINC000000002779,O=Cc1cc(O)c(O)c([N+](=O)[O-])c1,1
ZINC000027983364,O=[N+]([O-])c1cc(Cl)cc(O)c1O,1
ZINC000027985035,N#Cc1cc(O)c(O)c([N+](=O)[O-])c1,1
ZINC000036295148,CCOC(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,1
ZINC000144575093,Cc1cc(=O)c(O)cn1-c1cccc(-c2ccccc2)c1,1
ZINC000118900997,C[C@@H](O)c1cc(=O)c(O)cn1-c1cccc(-c2ccccc2)c1,1
ZINC000118900999,C[C@H](O)c1cc(=O)c(O)cn1-c1cccc(-c2ccccc2)c1,1
ZINC000299858251,CCC[C@H](O)c1cc(=O)c(O)cn1-c1cccc(-c2ccccc2)c1,1
ZINC000299858255,CCC[C@@H](O)c1cc(=O)c(O)cn1-c1cccc(-c2ccccc2)c1,1
ZINC000150202889,CC(C)c1cc(=O)c(O)cn1-c1cccc(-c2ccccc2)c1,1
ZINC000144991104,O=c1cc(-c2ccccc2)n(-c2cccc(-c3ccccc3)c2)cc1O,1
ZINC000027895919,N#Cc1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)cc(O)c1O,1
ZINC000027897037,O=C(O)CCCCc1cc(O)c(O)c([N+](=O)[O-])c1,1
ZINC000025991167,O=C(CCCCc1ccccc1)c1ccc(O)c(O)c1[N+](=O)[O-],1
ZINC000013677658,O=C(Cc1ccccc1)c1ccc(O)c(O)c1[N+](=O)[O-],1
ZINC000013677662,O=C(CCCc1ccccc1)c1ccc(O)c(O)c1[N+](=O)[O-],1
ZINC000299866151,O=c1cc(CO)n(-c2ccc(-c3ccccc3)cc2)cc1O,1
ZINC000299872070,O=c1cc(CO)n(-c2cccc(-c3ccccc3)c2)cc1O,1
ZINC000013481372,O=Cc1cc(O)c(O)c(C=O)c1,1
ZINC000027981028,N#Cc1cc(C=O)cc(O)c1O,1
ZINC000299864619,CCCCc1ccc(-n2cc(O)c(=O)cc2CO)cc1,1
ZINC000148067150,Cn1c(-c2cccc(-c3ccccc3)c2)ncc(O)c1=O,1
ZINC000027988049,O=[N+]([O-])c1cc(CO)cc(O)c1O,1
ZINC000299863036,CC(C)[C@H](O)c1cc(=O)c(O)cn1-c1cccc(-c2ccccc2)c1,1
ZINC000299863037,CC(C)[C@@H](O)c1cc(=O)c(O)cn1-c1cccc(-c2ccccc2)c1,1
ZINC000013763192,O=C(NCCCNC(=O)c1ccc(O)c(O)c1)c1ccc(O)c(O)c1,1
ZINC000027982000,O=C(NC12CC3CC(CC(C3)C1)C2)c1cc(O)c(O)c(Cl)c1,1
ZINC000299866412,O=c1cc2n(cc1O)-c1ccccc1SC2,1
ZINC000003814480,CCCNC(=O)c1cc(O)c(O)c(O)c1,1
ZINC000027977563,O=C(O)c1cc(O)c(O)c([N+](=O)[O-])c1,1
ZINC000150089966,Cc1cc(C)cc(-n2cc(O)c(=O)cc2CO)c1,1
ZINC000299857114,Oc1cnc(-c2cccs2)nc1O,1
ZINC000027895924,O=C(NC12CC3CC(CC(C3)C1)C2)c1cc(O)c(O)cc1[N+](=O)[O-],1
ZINC000013730965,O=Cc1ccc(O)c(O)c1[N+](=O)[O-],1
ZINC000013730968,O=Cc1ccc([N+](=O)[O-])c(O)c1O,1
ZINC000027899391,CC(=O)C(=Cc1cc(O)c(O)c(C(F)(F)F)c1)C(C)=O,1
ZINC000299864324,Cc1ccc(-n2cc(O)c(=O)cc2CO)cc1,1
ZINC000013677660,O=C(CCc1ccccc1)c1ccc(O)c(O)c1[N+](=O)[O-],1
ZINC000013730971,O=Cc1cc([N+](=O)[O-])cc(O)c1O,1
ZINC000299863336,COc1ccc(-c2cc(O)c(=O)n(C)c2-c2ccncc2)cc1,1
ZINC000027897048,O=Cc1cc(O)c(O)c(C(F)(F)F)c1,1
ZINC000150231905,O=c1ccn(-c2ccccc2)cc1O,1
ZINC000027985609,O=C(NC12CC3CC(CC(C3)C1)C2)c1cc(O)c(O)cc1Cl,1
ZINC000001649071,CC(=O)c1cc(I)c(O)c2ncccc12,1
ZINC000039233991,O=c1cc(CO)n(-c2ccccc2)cc1O,1
ZINC000000001064,Oc1c(Br)cc(Br)c2cccnc12,1
ZINC000299871735,O=c1cc(CO)n(CCCc2ccccc2)cc1O,1
ZINC000006409735,Oc1c(I)cc(Cl)c2cccnc12,1
ZINC000299857079,Cc1cc(C)cc(-n2ccc(=O)c(O)c2C)c1,1
ZINC000003830942,Oc1c(I)cc(I)c2cccnc12,1
ZINC000299864635,Cc1ccc(-n2cc(O)c(=O)cc2CO)c(C)c1,1
ZINC000001641376,CC(C)C(=O)c1ccc(O)c(O)c1,1
ZINC000004243627,Cc1nn(C)cc1-c1cc[nH]n1,1
ZINC000003814482,O=C(NCCCNC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,1
ZINC000019336232,O=S(=O)(O)c1cc(I)c(O)c2ncccc12,1
ZINC000000141259,Cc1nc(C)c(-c2cc[nH]n2)s1,1
ZINC000027902983,O=C(O)CCCCc1cc(O)c(O)c(Cl)c1,1
ZINC000095100161,O=Cc1cc(O)c(O)cc1[N+](=O)[O-],1
ZINC000013730976,O=Cc1c([N+](=O)[O-])ccc(O)c1O,1
ZINC000043207851,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,0
ZINC000098209246,Cc1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)c(N)c(C)c1O,0
ZINC000220764198,Cn1c(-c2cccc(NC(=O)C(=O)Nc3ccc(-c4ccsc4)cc3)c2)c(I)c2cc(C(=O)O)c(O)cc21,0
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0
ZINC000036701290,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,0
ZINC000017654900,CCC(=O)CCCCC[C@@H]1NC(=O)[C@H]2CCCCN2C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC1=O,0
ZINC000022010649,Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(=O)NO)cc1,0
ZINC000169312912,COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,0
ZINC000098050687,Cc1nc([C@](C)(O)CO)sc1-c1cnc(N)c(O[C@H](C)c2cc(F)ccc2-n2nccn2)c1,0
ZINC000096917507,Cc1nc2c(NCc3cccc(S(C)(=O)=O)c3)nccn2c1-c1ccc(O)c(F)c1,0
ZINC000006745792,COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1OC,0
ZINC000012358651,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,0
ZINC000299847876,N#Cc1ccc(O[C@@H]2CC[C@@H](NC(=O)CCSc3nc(O)c4ccccc4n3)CC2)cc1Cl,0
ZINC000100371951,C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,0
ZINC000040403507,O=C(O)[C@@H]1[C@H]2c3ccc(Oc4ccc(C(F)(F)F)cc4Cl)cc3O[C@H]21,0
ZINC000101448765,Nc1nc(Nc2ccc([C@H]3CC[C@@H](N4CCOCC4)CC3)cc2)nn1-c1ccccn1,0
ZINC000022448983,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,0
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0
ZINC000026500814,O=C(NCCSSCCNC(=O)/C(Cc1ccc(O)c(Br)c1)=N/O)/C(Cc1ccc(O)c(Br)c1)=N/O,0
ZINC000098209626,Cc1nnc2c3ccccc3c(-c3ccc(N4CCOCC4)c(NS(=O)(=O)c4ccccc4Cl)c3)nn12,0
ZINC000016052569,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12,0
ZINC000028704699,CC[C@H](COc1ccc(C(F)(F)F)cc1)CSc1ccc(OCC(=O)O)c(C)c1,0
ZINC000049889521,Cc1noc(/C(=C/c2cccc(-n3cc(C(=O)Nc4c(Cl)cncc4Cl)c(=O)c4cccnc43)c2)c2ccc(S(C)(=O)=O)cc2)n1,0
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0
ZINC000100371951,C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,0
ZINC000045245382,Nc1nc(NCc2ccccc2-c2ccccc2)nc(-c2ccc(C[C@H](N)C(=O)O)cc2)n1,0
ZINC000167365264,Cc1csc(C(=O)N[C@@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3cccc(-c4ccc(CN5C[C@H](C)N[C@H](C)C5)cc4CN4CCOCC4)c3)CC2)n1,0
ZINC000003812153,COC(=O)c1ccc(NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(=O)NO)CC(C)C)cc1,0
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0
ZINC000003986735,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,0
ZINC000103245002,COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C2(C)C,0
ZINC000035049805,CNc1ncc2cc(-c3cc(C(=O)Nc4cccc(C(F)(F)F)c4C)ccc3C)ccc2n1,0
ZINC000103252453,N[C@@H]1C[C@H]1c1ccc(NC(=O)c2ccnc(-c3cc(C(=O)O)ccn3)c2)cc1,0
ZINC000096274007,OC[C@H]1C[C@@H](O)CCN1CCc1ccc(Nc2nc(-c3ccc(Cl)cc3Cl)cs2)cc1,0
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0
ZINC000006718666,Nc1nc(N)c2nc(-c3cccc(O)c3)c(-c3cccc(O)c3)nc2n1,0
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0
ZINC000003816330,O=C(NN1CCCCC1)c1nn(-c2ccc(Cl)cc2Cl)c2c1CCCc1cc(Cl)ccc1-2,0
