ID,SMILES,y
ZINC000026500814,O=C(NCCSSCCNC(=O)/C(Cc1ccc(O)c(Br)c1)=N/O)/C(Cc1ccc(O)c(Br)c1)=N/O,1
ZINC000103245302,Cc1cc(Nc2cccc(NC(=O)c3cccc(Nc4ccnc5ccccc45)c3)c2)nc(N)n1,1
ZINC000096927663,Cc1cc(Nc2cccc(NC(=O)c3ccc(Nc4ccnc5ccccc45)cc3)c2)nc(N)n1,1
ZINC000003870412,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,1
ZINC000103245313,O=C(Nc1ccc(Nc2ccnc3ccccc23)cc1)c1ccc(Nc2ccnc3ccccc23)cc1,1
ZINC000004228232,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,1
ZINC000043131454,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CS[C@@H]2CN[C@H](C(=O)O)C2)[C@@H](O)[C@H]1O,1
ZINC000095591603,Cc1cc(Nc2ccc(NC(=O)c3ccc(Nc4ccnc5ccccc45)cc3)cc2)nc(N)n1,1
ZINC000008398879,CC(C)NC[C@H](O)COC(Cn1c2ccccc2c2ccccc21)Cn1c2ccccc2c2ccccc21,1
ZINC000008398883,CC(C)NC[C@@H](O)COC(Cn1c2ccccc2c2ccccc21)Cn1c2ccccc2c2ccccc21,1
ZINC000095604133,Nc1ncnc2c1c(Br)cn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,1
ZINC000049000231,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CS[C@@H]2CN[C@H](C(=O)O)C2)[C@@H](O)[C@H]1O,1
ZINC000101102775,O[C@@H](CNCCc1c[nH]c2ccccc12)Cn1c2ccccc2c2ccccc21,1
ZINC000101102777,O[C@H](CNCCc1c[nH]c2ccccc12)Cn1c2ccccc2c2ccccc21,1
ZINC000013522569,Nc1ncnc2c1ccn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,1
ZINC000000135323,O=C1C(Cl)=C(Cl)C(=O)c2ccccc21,1
ZINC000103245316,Cc1cc(Nc2ccc(NC(=O)c3ccc(Nc4cc(C)nc(N)n4)cc3)cc2)nc(N)n1,1
ZINC000028464439,O[C@@H](CNCCc1c[nH]c2ccccc12)Cn1c2ccc(Cl)cc2c2cc(Cl)ccc21,1
ZINC000028464445,O[C@H](CNCCc1c[nH]c2ccccc12)Cn1c2ccc(Cl)cc2c2cc(Cl)ccc21,1
ZINC000062178562,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,1
ZINC000062178567,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CSCC[C@@H](N)C(=O)O)[C@@H](O)[C@H]1O,1
ZINC000070631558,O=C(O)[C@@H]1C[C@H](SC[C@H]2O[C@@H](n3cnc4c(NCCc5ccc(-c6ccccc6)cc5)nc(Cl)nc43)[C@H](O)[C@@H]2O)CN1,1
ZINC000062178572,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,1
ZINC000062178573,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CSCC[C@@H](N)C(=O)O)[C@@H](O)[C@H]1O,1
ZINC000043131448,O=C(O)[C@@H]1C[C@H](SC[C@H]2O[C@@H](n3cnc4c(NCCc5ccc(-c6ccccc6)cc5)ncnc43)[C@H](O)[C@@H]2O)CN1,1
ZINC000062178676,COC(=O)[C@@H]1C[C@H](SC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)CN1,1
ZINC000200177188,CCN(CC)CCNC(=O)c1ccc(NCCCCCCCCCCCCN2C(=O)c3ccccc3C2=O)cc1,1
ZINC000103245300,Cc1cc(Nc2ccc(NC(=O)c3cccc(Nc4ccnc5ccccc45)c3)cc2)nc(N)n1,1
