ID,SMILES,y
ZINC000013492652,COc1cccc(C(=O)NCCN2CCN(c3cccc(Cl)c3Cl)CC2)c1,1
ZINC000013492651,COc1cccc(C(=O)NCCN2CCN(c3ccc(C)cc3)CC2)c1,1
ZINC000022591649,CCOc1ccccc1N1CCN(Cc2c[nH]c3ccccc23)CC1,1
ZINC000013492649,COc1cccc(C(=O)NCCN2CCN(c3ccccc3Cl)CC2)c1,1
ZINC000053156515,COc1cccc(C(=O)NCCN2CCN(c3ccc(Cl)cc3)CC2)c1,1
ZINC000000643233,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,1
ZINC000000538069,CNc1cc(OC)c(C(=O)N[C@@H]2CCN(Cc3ccccc3)[C@@H]2C)cc1Cl,1
ZINC000000586739,CNc1cc(OC)c(C(=O)N[C@H]2CCN(Cc3ccccc3)[C@H]2C)cc1Cl,1
ZINC000002559936,CNc1cc(OC)c(C(=O)N[C@H]2CCN(Cc3ccccc3)[C@@H]2C)cc1Cl,1
ZINC000003874491,CNc1cc(OC)c(C(=O)N[C@@H]2CCN(Cc3ccccc3)[C@H]2C)cc1Cl,1
ZINC000013492653,COc1cccc(C(=O)NCCN2CCN(c3cccc4ccccc34)CC2)c1,1
ZINC000013553236,CNc1cc(OC)c(C(=O)N[C@H]2CN(Cc3ccccc3)C[C@H]2C)cc1Cl,1
ZINC000035847927,COc1ccccc1N1CCN(Cc2cn3cc(Br)ccc3n2)CC1,1
ZINC000013492650,COc1cccc(C(=O)NCCN2CCN(c3cccc(Cl)c3)CC2)c1,1
ZINC000053151246,COc1ccccc1N1CCN(Cc2cnn(-c3ccccc3)c2)CC1,1
ZINC000013766774,Clc1cccc(OCCNCCCOc2ccccc2)c1,1
ZINC000013799244,Cc1cccc(CN2CCC(n3c(C)c(-c4ccccc4)[nH]c3=O)CC2)c1,1
ZINC000089774818,COc1ccccc1N1CCN(Cc2cn3cc(I)ccc3n2)CC1,1
ZINC000064527531,O=C(NCCN1CCN(c2noc3ccccc23)CC1)c1ccc(F)cc1,1
ZINC000013766784,Cc1ccc(OCCNCCCOc2ccccc2)cc1C,1
ZINC000000021390,Cc1nn(C2CCN(Cc3ccccc3)CC2)cc1-c1ccccc1,1
ZINC000095803215,Clc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,1
ZINC000036216617,COc1ccccc1N1CCN(Cc2cnn(-c3ccccn3)c2)CC1,1
ZINC000013766777,Cc1cccc(OCCNCCCOc2ccccc2)c1,1
ZINC000013799236,Cc1c(-c2ccccc2)[nH]c(=O)n1C1CCN(Cc2cccc(Cl)c2)CC1,1
ZINC000003781664,CCCN[C@H]1CCc2nc(N)sc2C1,1
ZINC000053151316,Ic1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,1
ZINC000001545790,Cc1ccc(OCCNCCCOc2ccccc2)cc1,1
ZINC000001545791,Clc1ccc(OCCNCCCOc2ccccc2)cc1,1
ZINC000001545792,Cc1ccc(OCCNCCCOc2ccccc2)cc1Cl,1
ZINC000053218685,N#Cc1ccc2[nH]c(CN3CCN(c4ccccc4)CC3)cc2c1,1
ZINC000089774825,COc1ccccc1N1CCN(Cc2cn3cc(C)cc(I)c3n2)CC1,1
