ID,SMILES,y
ZINC000096273295,CC(=O)Nc1cc(Nc2cc(NC3CC3)n3ncc(C#N)c3n2)ccc1C,1
ZINC000103243368,NCCOCCOCCOCCOc1ccc(NC2=N/C(=C\c3ccc4c(c3)OCO4)C(=O)N2)cc1,1
ZINC000103243365,NCCOCCOCCOc1ccc(NC2=N/C(=C\c3ccc4c(c3)OCO4)C(=O)N2)cc1,1
ZINC000018847046,COc1ccc2c(c1)[nH]c1c(C)nccc12,1
ZINC000066166982,O=C1N=C(Nc2ccccc2)N/C1=C\c1ccc2c(c1)OCO2,1
ZINC000013397653,COc1c(O)ccc2c(=O)c3c(O)cc4c(c3[nH]c12)C=CC(C)(C)O4,1
ZINC000034118117,CN1C(=O)/C(=C/c2ccc3c(c2)OCO3)N=C1N,1
ZINC000045288739,Nc1ncnc2c1[C@@H](Nc1ccc(F)cc1)N=N2,1
ZINC000045288742,Nc1ncnc2c1[C@H](Nc1ccc(F)cc1)N=N2,1
ZINC000096272396,Cc1nc(NC(=O)[C@@H](C)CC(F)(F)F)sc1-c1ccc(N)nc1,1
ZINC000103279573,Cc1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)c(N)c(Cl)c1O,0
ZINC000043207851,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,0
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0
ZINC000098209246,Cc1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)c(N)c(C)c1O,0
ZINC000263621080,COc1ccc(NC(=O)[C@@H](C)Nc2nc(O)c3cnn(C4CCCC4)c3n2)cc1,0
ZINC000013983251,COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(S(C)(=O)=O)CC2)nc1N,0
ZINC000028701631,N#Cc1cc(F)cc(C#Cc2csc(CF)n2)c1,0
ZINC000043204048,COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1,0
ZINC000003816409,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,0
ZINC000071331175,Cc1cccc(CNC(=O)[C@@H]2CN(Cc3nc(-c4ccccc4)oc3C)Cc3ccccc32)n1,0
