ID,SMILES,y
ZINC000026378892,C=CS(=O)(=O)/N=C(\O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](Cc1ccc(-c2ccno2)cc1)N(C)C(=O)c1cc(C)cc(C)c1,1
ZINC000026947207,CCCN(CCN1C[C@H](c2ccc3c(c2)OCO3)[C@@H](C(=O)O)[C@@H]1c1ccc(OC)c(F)c1)S(=O)(=O)CCCCl,1
ZINC000026952128,CCCN(CCN1C[C@H](c2ccc3c(c2)OCO3)[C@@H](C(=O)O)[C@@H]1c1ccc(OC)c(F)c1)S(=O)(=O)CCCC(F)(F)F,1
ZINC000026296490,Cc1cc(C)cc(C(=O)N(C)[C@H](Cc2ccc(-c3ccno3)cc2)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)O)c1,1
ZINC000003942084,C=CCS(=O)(=O)/N=C(\O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](Cc1ccc(-c2ccno2)cc1)N(C)C(=O)c1cc(C)cc(C)c1,1
ZINC000026293799,Cc1cc(C)cc(C(=O)N(C)[C@H](Cc2ccc(-c3ccsc3)cc2)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)O)c1,1
ZINC000026378452,CCOCCS(=O)(=O)/N=C(\O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](Cc1ccc(-c2ccno2)cc1)N(C)C(=O)c1cc(C)cc(C)c1,1
ZINC000003942095,CCCCS(=O)(=O)/N=C(\O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](Cc1ccc(-c2ccno2)cc1)N(C)C(=O)c1cc(C)cc(C)c1,1
ZINC000026378633,CCCS(=O)(=O)/N=C(\O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](Cc1ccc(-c2ccno2)cc1)N(C)C(=O)c1cc(C)cc(C)c1,1
ZINC000003953116,CCc1cccc(CC)c1NC(=O)CN1C[C@H](c2ccc3c(c2)OCO3)[C@@H](C(=O)O)[C@@H]1c1ccc(OC)cc1,1
ZINC000003936863,CCCCCS(=O)(=O)N(CCC)CCN1C[C@H](c2ccc3c(c2)OCO3)[C@@H](C(=O)O)[C@@H]1c1ccc(OC)c(F)c1,1
ZINC000026954881,CCCCS(=O)(=O)N(CCC)CCN1C[C@H](c2ccc3c(c2)OCO3)[C@@H](C(=O)O)[C@@H]1c1ccc(OC)c(F)c1,1
ZINC000026379483,Cc1cc(C)cc(C(=O)N(C)[C@H](Cc2ccc(-c3ccno3)cc2)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)/C(O)=N/S(=O)(=O)c2ccccc2)c1,1
ZINC000026973882,CCCCCCS(=O)(=O)N(CCC)CCN1C[C@H](c2ccc3c(c2)OCO3)[C@@H](C(=O)O)[C@@H]1c1ccc(OC)c(F)c1,1
ZINC000026377824,CCS(=O)(=O)/N=C(\O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](Cc1ccc(-c2ccno2)cc1)N(C)C(=O)c1cc(C)cc(C)c1,1
ZINC000026379115,Cc1cc(C)cc(C(=O)N(C)[C@H](Cc2ccc(-c3ccno3)cc2)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)/C(O)=N/S(=O)(=O)C(C)C)c1,1
ZINC000026378630,C/C=C/S(=O)(=O)/N=C(\O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](Cc1ccc(-c2ccno2)cc1)N(C)C(=O)c1cc(C)cc(C)c1,1
ZINC000026295068,CCCCS(=O)(=O)/N=C(\O)[C@@H](CCSC)NC(=O)[C@@H](Cc1ccc(-c2ccno2)cc1)N(C)C(=O)c1cc(C)cc(C)c1,1
ZINC000026295073,CCCCS(=O)(=O)/N=C(\O)[C@H](CCSC)NC(=O)[C@@H](Cc1ccc(-c2ccno2)cc1)N(C)C(=O)c1cc(C)cc(C)c1,1
ZINC000026377843,Cc1cc(C)cc(C(=O)N(C)[C@H](Cc2ccc(-c3ccno3)cc2)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)/C(O)=N/S(=O)(=O)Cc2ccccc2)c1,1
ZINC000026377375,CCCCS(=O)(=O)/N=C(\O)[C@@H](Cc1ccc2ccccc2c1)NC(=O)[C@@H](Cc1ccc(-c2ccno2)cc1)N(C)C(=O)c1cc(C)cc(C)c1,1
