ID,SMILES,y
ZINC000003815030,Cn1cnc2cc3ncnc(Nc4cccc(Br)c4)c3cc21,1
ZINC000000600292,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,1
ZINC000002391775,Cn1cnc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,1
ZINC000064564721,C#CCNC/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCC,1
ZINC000013671593,C=CC(=O)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1,1
ZINC000013671601,O=C(CCl)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1,1
ZINC000001386782,COc1cc2ncnc(Nc3ccc(Br)cc3)c2cc1OC,1
ZINC000003815032,COc1cc2ncnc(Nc3ccc(Br)c(Br)c3)c2cc1OC,1
ZINC000001488208,C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1
ZINC000003916214,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,1
ZINC000021289037,CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,1
ZINC000001488953,CCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1
ZINC000001546066,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,1
ZINC000003815072,Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,1
ZINC000003976838,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,1
ZINC000019632614,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,1
ZINC000027439698,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,1
ZINC000029544518,Nc1ccc2cncnc2c1,1
ZINC000013671607,CN(C)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1,1
ZINC000002391776,Nc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N,1
ZINC000013671605,O=C(CCl)Nc1ccc2ncnc(Nc3cccc(I)c3)c2c1,1
ZINC000021289041,Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1
ZINC000021289044,CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,1
ZINC000013806963,C=CC(=O)Nc1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1,1
ZINC000045505867,C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1,1
ZINC000145214115,CN(C)C/C=C(\F)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,1
ZINC000003815038,Oc1cc2ncnc(Nc3cccc(Br)c3)c2cc1O,1
ZINC000003815039,CCCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCC,1
ZINC000013861814,C=CC(=O)N(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1
ZINC000040951553,C=CC(=O)[C@@H](C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1
ZINC000040951555,C=CC(=O)[C@H](C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1
ZINC000045349211,N#CCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1
ZINC000021289048,OC[C@@H](O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1
ZINC000021289051,OC[C@H](O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1
ZINC000084671548,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCC,1
ZINC000145220973,CCOc1cc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C(F)=C/CN(C)C,1
ZINC000021289055,OCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1
ZINC000021289058,CNc1cc2c(Nc3cccc(Cl)c3)ncnc2cn1,1
ZINC000001488207,CC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1
ZINC000145221410,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C(F)=C/CN(C)C,1
ZINC000000589460,COc1cc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2cc1OC,1
ZINC000001494103,CN(C)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1
ZINC000021289062,CN(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1
ZINC000000602803,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,1
ZINC000084671546,CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1,1
ZINC000003815044,COc1cc2ncnc(Nc3cccc(C(F)(F)F)c3)c2cc1OC,1
ZINC000021289066,OCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,1
ZINC000029133505,OCCNc1c(Br)cccc1Nc1ncnc2ccncc12,1
ZINC000001488274,C=CC(=O)Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,1
ZINC000003815046,Nc1ccc2c(Nc3cccc(Cl)c3)ncnc2c1,1
ZINC000003815047,Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)nc23)c1,1
