ID,SMILES,y
ZINC000169357943,CC(=O)N[C@@H](CCCCNC(=O)CSCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO[P@@](=O)(O)O[P@@](=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)C(N)=O,1
ZINC000001701219,O=C1C(Cc2ccccc2)C(=O)N(Cc2ccccc2)C(=O)N1Cc1ccccc1,1
ZINC000002555132,CCN(CC)c1ccc2c(C)c(-c3ccc(N4C(=O)C=CC4=O)cc3)c(=O)oc2c1,1
ZINC000004149952,O=C(O)CSc1cc(NS(=O)(=O)c2ccc(Br)cc2)c2ccccc2c1O,1
ZINC000035078429,COc1ccc(S(=O)(=O)N(Cc2ccc3c(c2)C=CC(C)(C)O3)c2ccccc2)cc1OC,1
ZINC000008780879,CC1=NN(c2ccc(C(=O)O)cc2)C(=O)/C1=C\c1ccc(-c2cc(C)c(C)cc2[N+](=O)[O-])o1,1
ZINC000006142968,O=S(=O)(Nc1cc(Sc2ncn[nH]2)c(O)c2ccccc12)c1ccc2ccccc2c1,1
ZINC000001926256,O=C(O)CSc1cc(NS(=O)(=O)c2ccc(C(=O)O)cc2)c2ccccc2c1O,1
ZINC000008870698,O=C(O)CCSc1cc(NS(=O)(=O)c2ccc(Br)cc2)c2ccccc2c1O,1
ZINC000002685357,O=S(=O)(Nc1cc(Sc2ncn[nH]2)c(O)c2ccccc12)c1ccc(Br)cc1,1
ZINC000009307651,O=[N+]([O-])c1c(Sc2nnnn2-c2ccccc2)cc(Cl)c2nonc12,1
ZINC000044361207,CC(C)=CC[C@H]1C[C@@]23C[C@@H](CC=C(C)C)C(C)(C)[C@@](CC=C(C)C)(C(=O)C(C(=O)c4ccc(O)c(O)c4)=C2OC1(C)C)C3=O,1
ZINC000037858166,COc1ccc(C(=O)C2=C3OC(C)(C)[C@@H](CC=C(C)C)C[C@@]34C[C@@H](CC=C(C)C)C(C)(C)[C@](CC=C(C)C)(C4)C2=O)cc1O,1
ZINC000299860680,COc1cc(C=C2C(=O)N(Cc3ccccc3)C(=O)N(Cc3ccccc3)C2=O)ccc1O,1
ZINC000299855082,CC1=NN(c2ccc(C(=O)O)cc2)C(=O)/C1=C\Cc1ccc(Cc2cc(C)c(C)cc2[N+](=O)[O-])o1,1
ZINC000299857049,O=C1C(=Cc2ccc(O)c(O)c2)C(=O)N(Cc2ccccc2)C(=O)N1Cc1ccccc1,1
ZINC000004098424,C=C(C)[C@@H](CC=C(C)C)C[C@@]12C[C@@H](CC=C(C)C)C(C)(C)[C@@](CC=C(C)C)(C(=O)C(C(=O)c3ccc(O)c(O)c3)=C1O)C2=O,1
ZINC000001212666,O=S(=O)(Nc1cc(Cl)c(O)c2ccccc12)c1ccc(Br)cc1,1
ZINC000001447797,Cc1ccc(-c2nc(N)s[n+]2-c2ccccc2)cc1,1
ZINC000000041847,CNc1nc(-c2ccccc2)[n+](-c2ccccc2)s1,1
ZINC000000058187,CC1=CC(=O)c2c(O)cccc2C1=O,1
ZINC000000332305,CNc1nc(-c2ccccc2)[n+](-c2ccc(C)cc2)s1,1
ZINC000299861658,Cc1cc(O)cc(C)c1C=C1C(=O)N(Cc2ccccc2)C(=O)N(Cc2ccccc2)C1=O,1
ZINC000299865749,O=C1C(=Cc2ccc(O)cc2)C(=O)N(Cc2ccccc2)C(=O)N1Cc1ccccc1,1
ZINC000008846509,O=[N+]([O-])c1cc(Br)c2nsnc2c1Sc1ncnc2nc[nH]c12,1
