ID,SMILES,y
ZINC000299840113,Cc1cc(Nc2nc3ccccc3[nH]2)c2ccccc2c1Oc1ncccc1-c1ccnc(N[C@H]2CCCNC2)n1,1
ZINC000003781738,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,1
ZINC000299824934,Cc1cc(Nc2nc3ccccc3[nH]2)c2ccccc2c1Oc1ncccc1-c1ccnc(N[C@@H]2CC[C@@H](N)CC2)n1,1
ZINC000299823462,c1cnc(Oc2ccc(Nc3nc4ccccc4[nH]3)c3ccccc23)c(-c2ccnc(N[C@H]3CCCNC3)n2)c1,1
ZINC000299841293,N[C@@H]1CC[C@@H](Nc2nccc(-c3cccnc3Oc3ccc(Nc4nc5ccccc5[nH]4)c4ccccc34)n2)CC1,1
ZINC000299821210,Cc1cc(NS(=O)(=O)c2ccccc2C#N)c2ccccc2c1Oc1ncccc1-c1ccnc(N[C@@H]2CC[C@@H](N)CC2)n1,1
ZINC000261508838,Cc1ccc2c(NS(=O)(=O)c3ccccc3Cl)cccc2c1Oc1ncccc1-c1ccnc(N[C@H]2CCCNC2)n1,1
ZINC000299827383,Cc1cc(Nc2nc3ccccc3o2)c2ccccc2c1Oc1ncccc1-c1ccnc(N[C@@H]2CC[C@@H](N)CC2)n1,1
ZINC000299836246,Cc1cc(Nc2nc3ccccc3[nH]2)c2ccccc2c1Oc1ncccc1-c1ccnc(NCCN(C)C)n1,1
ZINC000299840595,Cc1cc(NS(=O)(=O)c2ccccc2Cl)c2ccccc2c1Oc1ncccc1-c1ccnc(N[C@@H]2CC[C@@H](N)CC2)n1,1
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,1
ZINC000299836231,Cc1ccc2c(NS(=O)(=O)c3ccccc3Cl)cccc2c1Oc1ncccc1-c1ccnc(N[C@@H]2CC[C@@H](N)CC2)n1,1
ZINC000299836560,CN1CCC[C@H](Nc2nccc(-c3cccnc3Oc3ccc(Nc4nc5ccccc5[nH]4)c4ccccc34)n2)C1,1
ZINC000299836562,CN1CCC[C@@H](Nc2nccc(-c3cccnc3Oc3ccc(Nc4nc5ccccc5[nH]4)c4ccccc34)n2)C1,1
ZINC000299825195,N[C@@H]1CC[C@@H](Nc2nccc(-c3cccnc3Oc3ccc(NS(=O)(=O)c4ccccc4Cl)c4ccccc34)n2)CC1,1
ZINC000299841294,N[C@H]1CC[C@@H](Nc2nccc(-c3cccnc3Oc3ccc(Nc4nc5ccccc5[nH]4)c4ccccc34)n2)CC1,1
ZINC000299838796,Cc1cc(NS(=O)(=O)c2ccccc2)c2ccccc2c1Oc1ncccc1-c1ccnc(N[C@@H]2CC[C@@H](N)CC2)n1,1
ZINC000169347640,N=C(N)N1CCc2c(c(=O)oc3c(C=O)c(O)ccc23)C1,1
ZINC000299823464,c1cnc(Oc2ccc(Nc3nc4ccccc4[nH]3)c3ccccc23)c(-c2ccnc(N[C@@H]3CCCNC3)n2)c1,1
ZINC000299839221,COc1ccccc1S(=O)(=O)Nc1cc(C)c(Oc2ncccc2-c2ccnc(N[C@@H]3CC[C@@H](N)CC3)n2)c2ccccc12,1
ZINC000299831051,CN(C)CCNc1nccc(-c2cccnc2Oc2ccc(Nc3nc4ccccc4[nH]3)c3ccccc23)n1,1
ZINC000169347626,C=CCOC(=O)N1CCc2c(c(=O)oc3c(C=O)c(O)ccc23)C1,1
ZINC000169347636,O=Cc1c(O)ccc2c3c(c(=O)oc12)CN(Cc1ccccc1)CC3,1
ZINC000169348337,C=CCOC(=O)NCCCCc1cc(=O)oc2c(C=O)c(O)ccc12,1
