ID,SMILES,y
ZINC000013520815,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,1
ZINC000001849484,CCC(=C(c1ccc(O)cc1)c1ccc(O)cc1)c1ccccc1,1
ZINC000013651845,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,1
ZINC000000538275,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,1
ZINC000000902197,CC/C(=C(\c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,1
ZINC000013555421,CCC1=C(c2ccc(O)cc2)[C@@H](CC)c2cc(O)ccc21,1
ZINC000013555427,CCC1=C(c2ccc(O)cc2)[C@H](CC)c2cc(O)ccc21,1
ZINC000000001290,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,1
ZINC000005925926,CC[C@H](c1ccc(O)cc1)[C@@H](C#N)c1ccc(O)cc1,1
ZINC000028710084,CC(C)c1ccc(-c2sc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,1
ZINC000100001833,CCCc1c(-c2ccc(O)cc2)nn(-c2ccc(O)cc2)c1-c1ccc(O)cc1,1
ZINC000169310738,Oc1ccc(/C(=N\c2ccccc2Cl)c2ccc(O)cc2O)cc1,1
ZINC000042921603,CC[C@H](c1ccc(O)cn1)[C@@H](C)c1ccc(O)cc1,1
ZINC000042922031,CC[C@H](c1ccc(O)cn1)[C@@H](CC)c1ccc(O)cc1,1
ZINC000095574019,CCCn1c(-c2ccc(O)cc2)cc(-c2ccc(O)cc2)c1-c1ccc(O)cc1F,1
ZINC000003812897,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,1
ZINC000084653422,Cc1cc(O)ccc1C1=C(c2ccc(O)cc2C)[C@H]2[C@@H](S(=O)(=O)Oc3ccccc3)C[C@@H]1[S@]2=O,1
ZINC000084653423,Cc1cc(O)ccc1C1=C(c2ccc(O)cc2C)[C@H]2[C@@H](S(=O)(=O)Oc3ccccc3)C[C@@H]1[S@@]2=O,1
ZINC000013494223,CCC(=C(c1ccc(O)cc1)c1ccc(O)cc1)c1ccc(O)cc1,1
ZINC000013526878,O/N=C/c1ccc(-c2ccccc2)c(-c2ccccc2)c1,1
ZINC000013641250,CC/C(=C(\c1ccc(O)cc1)c1ccc(/C=C/C(=O)O)cc1)c1ccccc1,1
ZINC000028710034,Oc1ccc2c(Oc3ccc(OCCN4CCCCC4)cc3)c(-c3cccc(F)c3)ccc2c1,1
ZINC000001543842,Oc1ccc(-c2ccc3cc(O)ccc3c2Cc2ccc(OCCN3CCCCC3)cc2)cc1,1
ZINC000028530601,C[C@@H](COc1ccc(C(=O)c2c(-c3ccc(O)cc3)sc3cc(O)ccc23)cc1)N1CCCC1,1
ZINC000028710035,Oc1ccc2c(Oc3ccc(OCCN4CCCCC4)cc3)c(-c3ccc(F)c(F)c3)ccc2c1,1
ZINC000049113095,Oc1ccc2c(c1)O[C@H](c1ccc(OCCN3CCCCC3)cc1)C1=C2CCOc2cc(O)ccc21,1
ZINC000084635212,C[C@H](COc1ccc(C(=O)c2c(-c3ccc(O)cc3)sc3cc(O)ccc23)cc1)N1CCCC1,1
ZINC000095575277,CCCn1c(-c2ccc(O)cc2F)cc(-c2ccc(O)cc2F)c1-c1ccc(O)cc1F,1
ZINC000001903431,Oc1cccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)c1,1
ZINC000028124771,O=C(c1ccc(N2CCN(c3ccc(Cl)cc3)CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,1
ZINC000028134171,O=C(c1ccc(N2CCN(C(=O)c3ccc(Cl)cc3)CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,1
ZINC000013674656,Oc1ccc2c(Oc3ccc(OCCN4CCCCC4)cc3)c(-c3ccc(F)cc3)ccc2c1,1
ZINC000028710031,N#Cc1cccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)c1,1
ZINC000013834308,CCCCc1ccc(-c2sc3cc(O)ccc3c2C(=O)c2ccc(OCCN3CCCCC3)cc2)cc1,1
ZINC000028134081,Cc1cccc(C(=O)N2CCN(c3ccc(C(=O)c4c(-c5ccc(O)cc5)sc5cc(O)ccc45)cc3)CC2)c1,1
ZINC000095571746,CCCn1c(-c2ccc(O)cc2F)cc(-c2ccc(O)cc2)c1-c1ccc(O)cc1F,1
ZINC000001545281,Oc1ccc2c(c1)CN(c1ccc(OCCN3CCCCC3)cc1)c1c-2ccc2cc(O)ccc12,1
ZINC000013831249,CC(C)N1CCN(c2ccc(C(=O)c3c(-c4ccc(O)cc4)sc4cc(O)ccc34)cc2)CC1,1
ZINC000004172149,CC(=O)c1ccc2c(c1)[C@@H]1C=CC[C@@H]1[C@H](c1cc3c(cc1Br)OCO3)N2,1
ZINC000013679922,Oc1ccc2c3c(ccc2c1)-c1cc(F)cc(F)c1O[C@@H]3c1ccc(OCCN2CCCCC2)cc1,1
ZINC000028340201,C[C@@H]1c2c(ccc(O)c2F)O[C@@H](c2ccc(OCCN3CCCCCC3)cc2)[C@H]1c1ccc(O)cc1,1
ZINC000028348737,CC(C)[C@H]1CCN(CCOc2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)C1,1
ZINC000028381954,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3C[C@H]4CCC[C@H]4C3)cc2)cc1,1
ZINC000071282407,O/N=C/c1c(O)ccc(-c2ccc(O)cc2)c1-c1ccc(O)cc1,1
ZINC000148048856,COc1ccc(C2=C(c3ccccc3)CCCc3cc(O)ccc32)cc1,1
ZINC000169353723,CCOc1ccc(C2=C(c3ccccc3)CCCc3cc(O)ccc32)cc1,1
ZINC000013555419,CCC1=C(c2ccc(O)cc2)Cc2cc(O)ccc21,1
ZINC000095575646,CCCn1c(-c2ccc(O)cc2)cc(-c2ccc(O)cc2)c1-c1ccc(O)cc1Cl,1
ZINC000028710032,Oc1ccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,1
ZINC000028821981,Oc1ccc([C@H]2Oc3cccc(O)c3[C@H]3CCC[C@H]32)cc1,1
ZINC000026573167,CCc1c(-c2ccc(OCCN3CCCCC3)cc2)oc(-c2ccc(O)cc2)c1-c1ccc(O)cc1,1
ZINC000013470345,CC#C[C@@H](Cc1ccc(O)cc1)c1ccc(O)cc1,1
ZINC000013470346,CC#C[C@H](Cc1ccc(O)cc1)c1ccc(O)cc1,1
ZINC000016051663,C[C@@H]1CN(CCOc2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)C[C@H]1C,1
ZINC000028337561,CC(C)[C@@H]1CCN(CCOc2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)C1,1
ZINC000028375935,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CC4(CCC4)C3)cc2)cc1,1
ZINC000028530428,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OC[C@H](C)N3CCCC3)cc2)c2ccc(O)cc12,1
ZINC000028710026,CN(C)S(=O)(=O)c1ccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,1
ZINC000095579699,CCCn1c(-c2ccc(O)cc2)cc(-c2ccc(O)cc2)c1-c1ccc(O)cc1,1
ZINC000299852164,Cc1cc(F)ccc1-c1c(Oc2ccc(/C=C/C(=O)O)cc2)c2ccc(O)cc2oc1=O,1
ZINC000028121741,O=C(c1ccc(N2CCN(c3ccc([N+](=O)[O-])cc3)CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,1
ZINC000028131229,O=C(c1ccc(N2CCN(C(=O)c3cccc(Cl)c3)CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,1
ZINC000003926298,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCC[S@](=O)CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O,1
ZINC000003937997,CS(=O)(=O)c1ccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,1
ZINC000003995809,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCC[S@@](=O)CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O,1
ZINC000013526890,CCNc1c(/C=N/O)ccc(-c2ccccc2)c1-c1ccccc1,1
ZINC000003815418,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O,1
ZINC000028710085,CCS(=O)(=O)c1ccc(-c2sc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,1
ZINC000000537882,Oc1ccc2c(c1)CC[C@@H](c1ccccc1)[C@H]2c1ccc(OCCN2CCCC2)cc1,1
ZINC000003918428,Oc1ccc2c(c1)CC[C@H](c1ccccc1)[C@@H]2c1ccc(OCCN2CCCC2)cc1,1
ZINC000003948746,C[C@@H]1c2c(ccc(O)c2F)O[C@@H](c2ccc(OC[C@H](C)N3CCCC3)cc2)[C@H]1c1ccc(O)cc1,1
ZINC000011680893,Oc1ccc2c(c1)CC[C@H](c1ccccc1)[C@H]2c1ccc(OCCN2CCCC2)cc1,1
ZINC000011680896,Oc1ccc2c(c1)CC[C@@H](c1ccccc1)[C@@H]2c1ccc(OCCN2CCCC2)cc1,1
ZINC000012501375,C[C@H]1CN(CCOc2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)C[C@@H]1C,1
ZINC000026657943,Oc1ccc([C@@H]2Sc3c(F)cc(O)cc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,1
ZINC000028336697,CC[C@@H](COc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2ccc(O)cc2)cc1)N1CCCC1,1
ZINC000028349087,CC(C)[C@H](COc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2ccc(O)cc2)cc1)N1CCCC1,1
ZINC000028365103,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CC[C@@H]4C[C@@H]43)cc2)cc1,1
ZINC000028382013,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CC[C@@H](F)C3)cc2)cc1,1
ZINC000028527101,C[C@@H]1CCN(CCOc2ccc([C@@H]3c4ccc(O)cc4CC[C@@H]3c3ccccc3)cc2)C1,1
ZINC000028530501,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CC[C@@H](C)C3)cc2)c2ccc(O)cc12,1
ZINC000299852451,Cc1cc(OC(F)(F)F)ccc1-c1c(Oc2ccc(/C=C/C(=O)O)cc2)c2ccc(O)cc2oc1=O,1
ZINC000026654790,Oc1ccc([C@@H]2Sc3c(Cl)cc(O)cc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,1
ZINC000033956243,CC/C(=C\c1ccc(O)cc1)c1ccc(O)cc1,1
ZINC000028710033,CN(C)C(=O)c1ccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,1
ZINC000071294241,O/N=C/c1c(O)ccc(-c2ccc(O)cc2)c1Cl,1
ZINC000000839728,C[C@H]1CCN(CCOc2ccc(C(=O)c3c(-c4ccc(O)cc4)sc4cc(O)ccc34)cc2)C1,1
ZINC000001489356,Oc1ccc([C@@H]2CCc3cc(O)ccc3N2Cc2ccc(OCCN3CCCCC3)cc2)cc1,1
ZINC000001895505,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12,1
ZINC000003928594,C[C@@H]1CCN(CCOc2ccc(C(=O)c3c(-c4ccc(O)cc4)sc4cc(O)ccc34)cc2)C1,1
ZINC000003988482,Oc1ccc([C@H]2CCc3cc(O)ccc3N2Cc2ccc(OCCN3CCCCC3)cc2)cc1,1
ZINC000003988484,Oc1cccc([C@H]2CCc3cc(O)ccc3N2Cc2ccc(OCCN3CCCCC3)cc2)c1,1
ZINC000013490110,Oc1cccc([C@@H]2CCc3cc(O)ccc3N2Cc2ccc(OCCN3CCCCC3)cc2)c1,1
ZINC000013523352,C[C@]1(c2ccc(OCCN3CCCC3)cc2)c2ccc(O)cc2CCN1c1cccc(O)c1,1
ZINC000013523355,C[C@@]1(c2ccc(OCCN3CCCC3)cc2)c2ccc(O)cc2CCN1c1cccc(O)c1,1
ZINC000028135615,CC1=CC[C@]2(O)C[C@H]1[C@H](c1ccc(O)c(F)c1)OC2(C)C,1
ZINC000028351887,Oc1ccc2c(c1)CS[C@H](c1ccccc1)[C@@H]2c1ccc(OCCN2CCCC2)cc1,1
ZINC000028371227,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CC4C[C@H]5CC3C[C@@H](C4)C5)cc2)cc1,1
ZINC000028376926,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3C4CCCC3CCC4)cc2)cc1,1
ZINC000028377692,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CC[C@H]4C[C@H]43)cc2)cc1,1
ZINC000028529576,C[C@@H](COc1ccc([C@@H]2c3ccc(O)cc3CC[C@@H]2c2ccccc2)cc1)N1CCCC1,1
ZINC000101011665,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3[C@H]4CCC[C@H]3CC4)cc2)cc1,1
ZINC000013687338,Oc1ccc2c(c1)O[C@@H](c1ccc(OCCN3CCCCC3)cc1)C1=C2COc2cc(O)ccc21,1
ZINC000003937996,CS(=O)(=O)c1ccc(-c2sc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,1
ZINC000028344966,C[C@@H]1c2ccc(O)cc2O[C@@H](c2ccc(OCCN3CCCCC3)cc2)[C@H]1c1ccc(O)cc1,1
ZINC000013673481,Nc1ccc(C2=C(c3ccc(O)cc3)Cc3cc(O)ccc32)cc1,1
ZINC000095578081,CCCn1c(-c2ccc(O)cc2F)cc(-c2ccc(O)cc2)c1-c1ccc(O)cc1,1
ZINC000006744950,C[C@@H]1c2c(ccc(O)c2F)O[C@@H](c2ccc(OC[C@H](C)N3CCC[C@H]3C)cc2)[C@H]1c1ccc(O)cc1,1
ZINC000012501373,C[C@@H]1CN(CCOc2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)C[C@@H]1C,1
ZINC000013509425,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,1
ZINC000013523358,C[C@]1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1cccc(O)c1,1
