ID,SMILES,y
ZINC000040403507,O=C(O)[C@@H]1[C@H]2c3ccc(Oc4ccc(C(F)(F)F)cc4Cl)cc3O[C@H]21,1
ZINC000169346887,COc1cc(-c2ccc(COc3cc([C@@H](CC(=O)O)C4CC4)ccn3)cc2[C@H](OC)C(C)(C)C)c(F)cn1,1
ZINC000034603674,Cc1cc(Cl)ccc1-c1cccc(COc2ccc([C@H](CC(=O)O)c3nnnn3C)cc2)c1,1
ZINC000169346179,COc1cc(-c2ccc(COc3cc([C@@H](CC(=O)O)C4CC4)ccn3)cc2[C@@H]2CCCC2(C)C)c(F)cn1,1
ZINC000040421189,CCCN1C(=O)c2ccccc2[C@@H](C(=O)O)[C@@H]1c1ccc(Oc2cc(C)cc(C)c2)cc1,1
ZINC000045495289,CCCN1C(=O)c2ccccc2[C@@H](C(=O)O)[C@@H]1c1ccc(Oc2ccc(C)c(C)c2)cc1,1
ZINC000149636131,COc1cc(-c2ccc(COc3ccc4c(c3)[C@@](C)(CC(=O)O)CC4)cc2[C@@H]2CCCC2(C)C)c(F)cn1,1
ZINC000169349545,Cc1cccc(C)c1-c1cccc(COc2ccc(CCC(=O)O)cn2)c1,1
ZINC000118400405,Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1COc1ccc([C@H](CC(=O)O)c2ccon2)cc1,1
ZINC000116389652,CCO[C@@H](CC(=O)O)c1ccc(O[C@@H]2CCc3c2cccc3C(F)(F)F)cc1,1
ZINC000034602326,Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1COc1ccc([C@H](CC(=O)O)c2nnnn2C)cc1,1
ZINC000169349549,Cc1cccc(C)c1-c1cccc(COc2cnc(CCC(=O)O)cn2)c1,1
ZINC000116390108,CCO[C@@H](CC(=O)O)c1ccc(OCc2ccc(Cl)c(Cl)c2)cc1,1
ZINC000040413108,O=C(O)[C@@H]1c2ccccc2C(=O)N(CC2CC2)[C@H]1c1ccc(Oc2ccccc2)cc1,1
ZINC000084759543,CCS(=O)(=O)CCOc1cc(C)c(-c2cccc(COc3ccc(CCC(=O)O)c(F)c3)c2)c(C)c1,1
ZINC000084670158,CCS(=O)(=O)CCOc1cc(C)c(-c2cccc(CNc3ccc(CCC(=O)O)c(F)c3)c2)c(C)c1,1
ZINC000084670175,Cc1cc(OCC2(O)CCS(=O)(=O)CC2)cc(C)c1-c1cccc(CNc2ccc(CCC(=O)O)c(F)c2)c1,1
ZINC000084758911,CCOCCOc1cc(C)c(-c2cccc(COc3ccc(CCC(=O)O)c(F)c3)c2)c(C)c1,1
ZINC000116390273,CCO[C@@H](CC(=O)O)c1ccc(O[C@@H]2CCc3c(Cl)cccc32)cc1,1
ZINC000084670174,Cc1cc(OC2CCS(=O)(=O)CC2)cc(C)c1-c1cccc(CNc2ccc(CCC(=O)O)c(F)c2)c1,1
ZINC000038464335,CCO[C@@H](CC(=O)O)c1ccc(OCc2ccc(C(F)(F)F)cc2)cc1,1
ZINC000084759154,Cc1cc(OCC2CC2)cc(C)c1-c1cccc(COc2ccc(CCC(=O)O)cc2)c1,1
ZINC000066114456,Cc1cccc(C)c1-c1cccc(COc2ccc(CCC(=O)O)c(F)c2)c1,1
ZINC000095930190,N#CCc1ccccc1C#Cc1ccc(CCC(=O)O)c(F)c1,1
ZINC000169346883,CC[C@H](CC(=O)O)c1ccnc(OCc2ccc(-c3cc(OC)ncc3F)c([C@@H]3CCCC3(C)C)c2)c1,1
ZINC000210009125,COc1ccc(F)c(-c2ccc(Cc3ccc(N4N=C(c5ccccc5)[C@@H](C)[C@H]4CC(=O)O)cc3)c(C)c2)c1,1
ZINC000210009153,COc1ccc(F)c(-c2ccc(Cc3ccc(N4N=C(c5ccccc5)[C@@H](C)[C@@H]4CC(=O)O)cc3)c(C)c2)c1,1
ZINC000210009185,COc1ccc(F)c(-c2ccc(Cc3ccc(N4N=C(c5ccccc5)[C@H](C)[C@H]4CC(=O)O)cc3)c(C)c2)c1,1
ZINC000210009219,COc1ccc(F)c(-c2ccc(Cc3ccc(N4N=C(c5ccccc5)[C@H](C)[C@@H]4CC(=O)O)cc3)c(C)c2)c1,1
ZINC000059860852,CCOCCOc1cc(C)c(-c2cccc(CNc3ccc(CCC(=O)O)c(F)c3)c2)c(C)c1,1
ZINC000084669085,COc1cc(C)c(-c2cccc(COc3ccc(CCC(=O)O)cc3)c2)c(C)c1,1
ZINC000116390112,CCO[C@H](CC(=O)O)c1ccc(OCc2ccc(Cl)c(Cl)c2)cc1,1
ZINC000059860607,Cc1cccc(C)c1-c1cccc(CNc2ccc(CCC(=O)O)cc2)c1,1
ZINC000038362672,Cc1cc(OC2CCS(=O)(=O)CC2)cc(C)c1-c1cccc(COc2ccc(CCC(=O)O)c(F)c2)c1,1
ZINC000038224497,Cc1cccc(C)c1-c1cccc(COc2ccc(CCC(=O)O)cc2)c1,1
ZINC000038347968,Cc1cc(OCc2ccccc2)cc(C)c1-c1cccc(COc2ccc(CCC(=O)O)cc2)c1,1
ZINC000043208050,COc1cc(-c2ccc(COc3ccc4c(c3)[C@@](C)(CC(=O)O)CC4)cc2[C@H](OC)C(C)(C)C)c(F)cn1,1
ZINC000084732493,Cc1cccc(Oc2cc(C)c(-c3cccc(COc4ccc(CCC(=O)O)c(F)c4)c3)c(C)c2)n1,1
ZINC000084758912,Cc1cc(OC2CCOCC2)cc(C)c1-c1cccc(COc2ccc(CCC(=O)O)c(F)c2)c1,1
ZINC000059570144,Cc1cccc(C)c1-c1cc(COc2ccc3c(c2)OC[C@@H]3CC(=O)O)ccc1OCc1ccccc1,1
ZINC000059570145,Cc1cccc(C)c1-c1cc(COc2ccc3c(c2)OC[C@H]3CC(=O)O)ccc1OCc1ccccc1,1
ZINC000043150990,Cc1cc(Cl)ccc1-c1cccc(COc2ccc([C@H](CC(=O)O)c3nccn3C)cc2)c1,1
ZINC000084759388,Cc1cc(OCC2(O)CCS(=O)(=O)CC2)cc(C)c1-c1cccc(COc2ccc(CCC(=O)O)c(F)c2)c1,1
ZINC000169349555,Cc1cccc(C)c1-c1cccc(COc2ccc(C[C@@H](F)C(=O)O)cn2)c1,1
ZINC000169349556,Cc1cccc(C)c1-c1cccc(COc2ccc(C[C@H](F)C(=O)O)cn2)c1,1
ZINC000084741367,Cc1cc(OC2CCN(C)CC2)cc(C)c1-c1cccc(COc2ccc3c(c2)OC[C@H]3CC(=O)O)c1,1
ZINC000169350547,Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1COc1ccc([C@H](CC(=O)O)c2cnco2)cc1,1
ZINC000095554345,Cc1cc(OCCCS(C)(=O)=O)ccc1-c1cccc(CNc2ccc(CCC(=O)O)c(F)c2)c1,1
ZINC000095553271,Cc1ccccc1-c1cccc(CNc2ccc(CCC(=O)O)c(F)c2)c1,1
ZINC000169349552,Cc1cc(OCc2cccc(-c3c(C)cccc3C)c2)ncc1CCC(=O)O,1
ZINC000084759542,Cc1cc(OCCCN2CCCC2=O)cc(C)c1-c1cccc(COc2ccc(CCC(=O)O)c(F)c2)c1,1
ZINC000028571979,Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1CNc1ccc([C@H]2C[C@@H]2C(=O)O)cc1,1
ZINC000036410226,Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1CNc1ccc([C@@H]2C[C@@H]2C(=O)O)cc1,1
ZINC000040412649,CCC(CC)CN1C(=O)c2ccccc2[C@@H](C(=O)O)[C@@H]1c1nc2ccccc2s1,1
ZINC000040900208,CC#C[C@@H](CC(=O)O)c1ccc(O[C@@H]2CCc3cc(-c4cccs4)ccc32)cc1,1
ZINC000040900211,CC#C[C@H](CC(=O)O)c1ccc(O[C@@H]2CCc3cc(-c4cccs4)ccc32)cc1,1
ZINC000040900214,CC#C[C@@H](CC(=O)O)c1ccc(O[C@H]2CCc3cc(-c4cccs4)ccc32)cc1,1
ZINC000040900217,CC#C[C@H](CC(=O)O)c1ccc(O[C@H]2CCc3cc(-c4cccs4)ccc32)cc1,1
ZINC000040939863,CCC(CC)CN1C(=O)c2ccccc2[C@@H](C(=O)O)[C@@H]1c1ccc(Cl)c(Cl)c1,1
ZINC000045389210,Cc1cc(Oc2ncc(C(F)(F)F)cc2Cl)ccc1C[C@H]1SC(=O)NC1=O,1
ZINC000045389214,Cc1cc(Oc2ncc(C(F)(F)F)cc2Cl)ccc1C[C@@H]1SC(=O)NC1=O,1
ZINC000045394448,Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1CNc1ccc([C@@H]2C[C@H]2C(=O)O)cc1,1
ZINC000045394452,Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1CNc1ccc([C@H]2C[C@H]2C(=O)O)cc1,1
ZINC000066112795,Cc1ccc(-c2cccc(COc3ccc(CCC(=O)O)cc3)c2)c(C)c1,1
ZINC000084669189,CCOCCOc1cc(C)c(-c2cccc(COc3ccc(CCC(=O)O)cc3)c2)c(C)c1,1
ZINC000169349566,Cc1cccc(C)c1-c1cccc(COc2ccc([C@@H](C)CC(=O)O)cn2)c1,1
ZINC000169349567,Cc1cccc(C)c1-c1cccc(COc2ccc([C@H](C)CC(=O)O)cn2)c1,1
ZINC000261122531,CCCN1C(=O)c2ccccc2[C@@H](C(=O)O)[C@@H]1c1ccc(O[C@@H]2CC[C@H](C)CC2)cc1,1
ZINC000034603311,Cc1cc(Cl)ccc1-c1cccc(COc2ccc([C@H](CC(=O)O)c3ncnn3C)cc2)c1,1
ZINC000084759477,CCc1cc(OCCCS(C)(=O)=O)cc(CC)c1-c1cccc(COc2ccc3c(c2)OC[C@H]3CC(=O)O)c1,1
ZINC000096269844,O=C(O)C[C@@H]1COc2cc3c(cc21)OC[C@@H](c1cccc(C(F)(F)F)c1)O3,1
ZINC000040939982,CCN1C(=O)c2ccccc2[C@@H](C(=O)O)[C@@H]1c1ccc(Oc2ccccc2)cc1,1
ZINC000071332002,CC#C[C@@H](CC(=O)O)c1ccc(Oc2ccc(C(F)(F)F)cc2OC(F)F)cc1,1
ZINC000071332003,CC#C[C@H](CC(=O)O)c1ccc(Oc2ccc(C(F)(F)F)cc2OC(F)F)cc1,1
ZINC000084739176,Cc1nc(C)c(COc2cc(C)c(-c3cccc(COc4ccc5c(c4)OC[C@H]5CC(=O)O)c3)c(C)c2)s1,1
ZINC000084756803,Cc1c(Cl)c(OCCCS(C)(=O)=O)c(Cl)c(C)c1-c1cccc(COc2ccc3c(c2)OC[C@H]3CC(=O)O)c1,1
ZINC000013831241,O=C(O)CCc1ccc(NCc2cccc(Oc3ccccc3)c2)cc1,1
ZINC000040412740,CC[C@H](C)CN1C(=O)c2ccccc2[C@@H](C(=O)O)[C@@H]1c1ccc(Cl)c(Cl)c1,1
ZINC000071297020,Cc1ccccc1-c1cccc(CNc2ccc(CCC(=O)O)cc2)c1,1
ZINC000071332477,CC#C[C@@H](CC(=O)O)c1ccc(Oc2ccc(C#N)c3ccccc23)cc1,1
ZINC000071332480,CC#C[C@H](CC(=O)O)c1ccc(Oc2ccc(C#N)c3ccccc23)cc1,1
ZINC000072118116,CC#C[C@@H](CC(=O)O)c1ccc(OCc2cccc(-c3ccc(C(F)(F)F)cc3)c2)cc1,1
ZINC000084652221,Cc1cc(OCC2(O)CCS(=O)(=O)CC2)cc(C)c1-c1cccc(COc2ccc3c(c2)OC[C@H]3CC(=O)O)c1,1
ZINC000095576548,COc1ccc(F)c(-c2ccc(COc3cccc([C@@H](CC(=O)O)C4CC4)c3)cc2C2=CCCC2(C)C)c1,1
ZINC000096269836,O=C(O)C[C@@H]1COc2cc3c(cc21)OC[C@@H](c1cccc(Br)c1)O3,1
ZINC000068208039,Cc1cc(OCCCS(C)(=O)=O)cc(C)c1-c1cccc(COc2ccc3c(c2)OC[C@H]3CC(=O)O)c1,1
ZINC000084759316,CCS(=O)(=O)CCOc1cc(C)c(-c2cccc(COc3ccc4c(c3)OC[C@H]4CC(=O)O)c2)c(C)c1,1
ZINC000169349568,CCO[C@@H](CC(=O)O)c1ccc(OCc2cccc(-c3c(C)cccc3C)c2)nc1,1
ZINC000169349569,CCO[C@H](CC(=O)O)c1ccc(OCc2cccc(-c3c(C)cccc3C)c2)nc1,1
ZINC000095552196,Cc1cc(OCCCS(C)(=O)=O)cc(C)c1-c1cccc(CNc2ccc(CCC(=O)O)cc2)c1,1
ZINC000084759476,Cc1cc(OCc2cccc3nccn23)cc(C)c1-c1cccc(COc2ccc3c(c2)OC[C@H]3CC(=O)O)c1,1
ZINC000034603391,Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1COc1ccc([C@H](CC(=O)O)c2nccn2C)cc1,1
