ID,SMILES,y
ZINC000000007670,O=C(O)CNC(=O)c1nc(Cl)c2ccccc2c1O,1
ZINC000005933707,O=C(O)c1ccc(O)c2ncccc12,1
ZINC000000391915,O=C(O)c1ccnc(C(=O)O)c1,1
ZINC000095588643,O=C(O)c1ccc2c(c1O)C(=O)c1c(O)cccc1C2=O,1
ZINC000071257465,Cc1nc(C(=O)NCC(=O)O)c(O)c2ccc(Oc3ccccc3)cc12,1
ZINC000001700248,NNC(=O)CCC(=O)O,0
ZINC000040430336,O/N=C1\CCc2cc(-c3cn([C@@H]4CCC[C@H](O)C4)nc3-c3ccncc3)ccc21,0
ZINC000170110498,CCCCB(O)c1ccccc1,0
ZINC000058564013,CN(C)CCCCCCCCC(=O)N(O)CCC(=O)O,0
ZINC000231558920,Cc1cn(CCN2CCN(c3ccccc3-c3cc(C#N)cc(C(=O)NCCCN4CCCC4)c3)CC2)c2ccccc12,0
