ID,SMILES,y
ZINC000019862646,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,1
ZINC000022448983,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,1
ZINC000000602803,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,1
ZINC000003986735,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,1
ZINC000001546066,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,1
ZINC000055760827,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,1
ZINC000019632614,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,1
ZINC000003781738,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,1
ZINC000002047743,CSc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1,1
ZINC000222110445,COc1cc(-c2cnc3c(N4CCOCC4)snc3c2)cc(OC)c1OC,1
ZINC000223272034,COc1cc(-c2cnc3c(N4CCOCC4)snc3c2)ccc1N,1
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,1
ZINC000223271871,COc1cc(-c2cnc3c(N4CCOCC4)snc3c2)ccc1OC(C)=O,1
ZINC000299851826,COc1cc(-c2cnc3c(N4CCOCC4)snc3c2)ccc1O,1
ZINC000003815700,C[S@@](=O)c1ccc(-c2nc(-c3ccncc3)c(-c3ccc(F)cc3)[nH]2)cc1,1
ZINC000018274812,C[S@](=O)c1ccc(-c2nc(-c3ccncc3)c(-c3ccc(F)cc3)[nH]2)cc1,1
ZINC000003964325,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,1
ZINC000223116308,COc1ccc(-c2cnc3c(NCC4CC4)snc3c2)cc1OC,1
ZINC000100706870,Oc1c2ccccc2c2c3c(cccc13)N=N2,1
ZINC000223235901,c1cc(-c2cnc3c(N4CCOCC4)snc3c2)cs1,1
ZINC000018825344,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1,1
ZINC000027439698,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,1
ZINC000223260484,c1csc(-c2cnc3c(N4CCOCC4)snc3c2)c1,1
ZINC000089221712,Oc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,1
ZINC000223235832,COc1ccc(-c2cnc3c(N4CCOCC4)snc3c2)cc1OC,1
ZINC000223088109,COc1ccc(-c2cnc3c(N4CCC(O)CC4)snc3c2)cc1OC,1
ZINC000223271953,COc1cc(OC)cc(-c2cnc3c(N4CCOCC4)snc3c2)c1,1
ZINC000003976838,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,1
ZINC000053683345,COc1cc2/c(=N\c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1,1
ZINC000223102784,COc1ccc(-c2cnc3c(NC4CCOCC4)snc3c2)cc1OC,1
ZINC000043207851,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,1
ZINC000223103115,COc1ccc(-c2cnc3c(N4CCCC4)snc3c2)cc1OC,1
ZINC000223116980,COc1ccc(-c2cnc3c(N4C[C@H](C)O[C@H](C)C4)snc3c2)cc1OC,1
ZINC000299852611,COc1ccc(-c2cnc3c(NCCO)snc3c2)cc1OC,1
ZINC000223271633,COc1ccc(OC)c(-c2cnc3c(N4CCOCC4)snc3c2)c1,1
ZINC000223116228,COCCNc1snc2cc(-c3ccc(OC)c(OC)c3)cnc12,1
ZINC000013986815,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,1
ZINC000016052569,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12,1
ZINC000223116390,COc1ccc(-c2cnc3c(N(C)C)snc3c2)cc1OC,1
ZINC000011617039,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,1
ZINC000223285851,c1cc(-c2cnc3c(N4CCOCC4)snc3c2)co1,1
ZINC000223286266,COc1ccc(-c2cnc3c(N4CCSCC4)snc3c2)cc1OC,1
ZINC000003916214,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,1
ZINC000006745792,COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1OC,1
ZINC000043201999,O=C(c1ccc(/C=C/c2n[nH]c3ccccc23)cc1)N1CCNCC1,1
ZINC000043202844,CNC(=O)c1c(F)cccc1Nc1nc(Nc2cc3c(cc2OC)CCN3C(=O)CN(C)C)nc2[nH]ccc12,1
ZINC000223286191,COc1ccc(-c2cnc3c(N4CCCCC4)snc3c2)cc1OC,1
ZINC000299852927,OCCNc1snc2cc(-c3ccsc3)cnc12,1
