ID,SMILES,y
ZINC000084620159,N#CC1=C(SCc2ccccc2)S[C@@H](c2cc(O)ccc2O)NC1=O,1
ZINC000084620161,N#CC1=C(SCc2ccccc2)S[C@H](c2cc(O)ccc2O)NC1=O,1
ZINC000084620167,N#CC1=C(SCc2cccc(N3CCOCC3)c2)S[C@@H](c2cc(O)ccc2O)NC1=O,1
ZINC000084620169,N#CC1=C(SCc2cccc(N3CCOCC3)c2)S[C@H](c2cc(O)ccc2O)NC1=O,1
ZINC000084619605,N#CC1=C(SCc2ccccc2)S[C@@H](c2ccc(O)cc2O)NC1=O,1
ZINC000084619607,N#CC1=C(SCc2ccccc2)S[C@H](c2ccc(O)cc2O)NC1=O,1
ZINC000084620162,N#CC1=C(SCc2cccc(N3CCOCC3)c2)S[C@@H](c2ccc(O)c(O)c2)NC1=O,1
ZINC000084620164,N#CC1=C(SCc2cccc(N3CCOCC3)c2)S[C@H](c2ccc(O)c(O)c2)NC1=O,1
ZINC000006721008,N#CC1=C(SCc2ccccc2)S[C@@H](c2ccc(O)c(O)c2)NC1=O,1
ZINC000006721009,N#CC1=C(SCc2ccccc2)S[C@H](c2ccc(O)c(O)c2)NC1=O,1
ZINC000084619598,N#CC1=C(SCc2ccccc2)S[C@@H](c2ccc(O)cc2)NC1=O,1
ZINC000084619600,N#CC1=C(SCc2ccccc2)S[C@H](c2ccc(O)cc2)NC1=O,1
ZINC000084587089,N#CC1=C(SCc2cccc(N3CCOCC3)c2)S[C@@H](c2ccc(O)cc2)NC1=O,1
ZINC000084587093,N#CC1=C(SCc2cccc(N3CCOCC3)c2)S[C@H](c2ccc(O)cc2)NC1=O,1
ZINC000043154472,C[C@@H](Oc1cc(-n2cnc3ccc(CN4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1C(F)(F)F,0
ZINC000205646018,Cn1ncc(NC(=O)c2nc(-c3c(F)cccc3F)sc2N)c1[C@@H]1C[C@@H](F)[C@H](N)CCO1,0
ZINC000013559567,C[C@@H]1NC(=O)[C@H](CCCCCC(=O)[C@@H]2CO2)NC(=O)[C@H]2CCCN2C(=O)[C@H](C)NC1=O,0
ZINC000096929133,O=C1NC(=O)C(c2cn3c4c(cc(F)cc24)CN(C(=O)N2CCOCC2)CC3)=C1c1coc2ccccc12,0
ZINC000084596898,CC(C)Oc1ccc(-c2nc(-c3ccc(F)c4c(CCC(=O)O)cn(C)c34)no2)cc1Cl,0
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0
ZINC000034602275,Cc1c(Cl)c(C)[n+]([O-])c(Cl)c1-c1noc(-c2cc(O)c(O)c([N+](=O)[O-])c2)n1,0
ZINC000001488366,O=C(NO)C1(CS(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CCOCC1,0
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0
ZINC000096285772,COc1cc2c(NC3CCN(C(C)C)CC3)nc(N3CCC(F)(F)CC3)nc2cc1OCCCN1CCCC1,0
ZINC000058568319,Cc1cccc(CNCC(=O)c2cn3c(-c4ccc(Cl)cc4Cl)c(CN)c(C)nc3n2)n1,0
ZINC000034804858,Cc1cc(-c2cnc(Nc3cnc(CN4CCN(C)CC4)cn3)s2)nc(OC2CCCCC2)n1,0
ZINC000008581934,Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2C1CCCC1,0
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0
