ID,SMILES,y
ZINC000085537053,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C,1
ZINC000026403297,CCOC(=O)C[C@@H]1CC2(CCN(C(=O)[C@@H](CCCc3ccccc3)NC(=O)C(C)(C)N)CC2)c2ccccc21,1
ZINC000026393926,CCOC(=O)C[C@H]1CC2(CCN(C(=O)[C@@H](CCCc3ccccc3)NC(=O)C(C)(C)N)CC2)c2ccccc21,1
ZINC000026395486,CCOC(=O)[C@H]1CC2(CCN(C(=O)[C@@H](CCCc3ccccc3)NC(=O)C(C)(C)N)CC2)c2ccccc21,1
ZINC000026385986,CCOC(=O)CC[C@@H]1CC2(CCN(C(=O)[C@@H](CCCc3ccccc3)NC(=O)C(C)(C)N)CC2)c2ccccc21,1
ZINC000026385990,CCOC(=O)CC[C@H]1CC2(CCN(C(=O)[C@@H](CCCc3ccccc3)NC(=O)C(C)(C)N)CC2)c2ccccc21,1
ZINC000001543181,CC(C)(N)C(=O)N[C@H](COCc1ccccc1)C(=O)N1CCC2(CC1)CN(S(C)(=O)=O)c1ccccc12,1
ZINC000026386799,CC(C)(N)C(=O)N[C@H](CCCc1ccccc1)C(=O)N1CCC2(CC1)C[C@@H](CC(=O)O)c1ccccc12,1
ZINC000003826588,CCOC(=O)[C@@H]1CC2(CCN(C(=O)[C@@H](CCCc3ccccc3)NC(=O)C(C)(C)N)CC2)c2ccccc21,1
ZINC000026399348,CC(C)(N)C(=O)N[C@H](CCCc1ccccc1)C(=O)N1CCC2(CC1)C[C@H](C(=O)O)c1ccccc12,1
ZINC000026398946,CC(C)(N)C(=O)N[C@H](CCCc1ccccc1)C(=O)N1CCC2(CC1)C[C@H](CC(=O)O)c1ccccc12,1
ZINC000026384771,CC(C)(N)C(=O)N[C@H](CCCc1ccccc1)C(=O)N1CCC2(CC1)C[C@@H](CCC(=O)O)c1ccccc12,1
ZINC000026384774,CC(C)(N)C(=O)N[C@H](CCCc1ccccc1)C(=O)N1CCC2(CC1)C[C@H](CCC(=O)O)c1ccccc12,1
ZINC000026387583,CC(C)(N)C(=O)N[C@H](CCCc1ccccc1)C(=O)N1CCC2(CC1)C[C@@H](C(=O)O)c1ccccc12,1
