ID,SMILES,y
ZINC000044352465,O=C(NC[C@@H](O)C(=O)O)c1ccc(CN(C(=O)Nc2ccc(SC(F)(F)F)cc2)c2ccc(C3CCCCC3)cc2)cc1,1
ZINC000026173596,CC(C)(C)C1CCC(N(Cc2ccc(C(=O)NCCC(=O)O)cc2)C(=O)Nc2ccc(OC(F)(F)F)cc2)CC1,1
ZINC000043544013,CC(C)(C)c1ccc(N(Cc2ccc(C(=O)NCCC(=O)O)cc2)C(=O)Nc2ccc(OC(F)(F)F)cc2)cc1,1
ZINC000254014322,CC(C)(C)[C@@H]1CC[C@@H](N(Cc2ccc(C(=O)Nc3nn[nH]n3)cc2)C(=O)Nc2ccc(OC(F)(F)F)cc2)CC1,1
ZINC000036351396,O=C(O)CCNC(=O)c1ccc(CN(C(=O)Nc2cc(Cl)cc(Cl)c2)c2ccc(C3=CCCCC3)cc2)cc1,1
ZINC000044306058,CC(C)(C)c1cccc(NC(=O)N(Cc2ccc(C(=O)NC[C@@H](O)C(=O)O)cc2)c2ccc(C3CCCCC3)cc2)c1,1
ZINC000003965920,O=C(NC[C@@H](O)C(=O)O)c1ccc(CN(C(=O)Nc2ccc3c(c2)C(F)(F)OC(F)(F)O3)c2ccc(C3=CCCCC3)cc2)cc1,1
ZINC000261148311,CC(C)(C)[C@@H]1CC[C@@H](N(Cc2ccc(C(=O)NC[C@@H](O)C(=O)O)cc2)C(=O)Nc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CC1,1
ZINC000049872357,O=C(NC[C@@H](O)C(=O)O)c1ccc(CN(C(=O)Nc2cc(Cl)cc(Cl)c2)c2ccc(C3CCCCC3)cc2)cc1,1
ZINC000253695110,CC(C)(C)[C@@H]1CC[C@@H](N(Cc2ccc(C(=O)NCCC(=O)O)cc2)C(=O)Nc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CC1,1
ZINC000261148821,Cc1cc(NC(=O)N(Cc2ccc(C(=O)NC[C@@H](O)C(=O)O)cc2)[C@@H]2CC[C@@H](C(C)(C)C)CC2)cc(C(F)(F)F)c1,1
ZINC000253656121,CC(C)(C)[C@@H]1CC[C@@H](N(C(=O)Cc2ccc(OC(F)(F)F)cc2)[C@H]2CCc3cc(C(=O)Nc4nn[nH]n4)ccc32)CC1,1
ZINC000253656127,CC(C)(C)[C@@H]1CC[C@@H](N(C(=O)Cc2ccc(OC(F)(F)F)cc2)[C@@H]2CCc3cc(C(=O)Nc4nn[nH]n4)ccc32)CC1,1
ZINC000261187012,CC(C)(C)[C@@H]1CC[C@@H](N(C(=O)Nc2ccc(OC(F)(F)F)cc2)[C@@H]2CCOc3cc(C(=O)Nc4nnn[nH]4)ccc32)CC1,1
ZINC000261187013,CC(C)(C)[C@@H]1CC[C@@H](N(C(=O)Nc2ccc(OC(F)(F)F)cc2)[C@H]2CCOc3cc(C(=O)Nc4nnn[nH]4)ccc32)CC1,1
ZINC000101107123,CC(C)(C)[C@@H]1CC[C@H](N(C(=O)Nc2ccc(OC(F)(F)F)cc2)[C@H]2CCc3cc(C(=O)NCCC(=O)O)ccc32)CC1,1
ZINC000101107127,CC(C)(C)[C@@H]1CC[C@H](N(C(=O)Nc2ccc(OC(F)(F)F)cc2)[C@@H]2CCc3cc(C(=O)NCCC(=O)O)ccc32)CC1,1
ZINC000003965917,COc1cc(NC(=O)N(Cc2ccc(C(=O)NC[C@@H](O)C(=O)O)cc2)c2ccc(C3CCCCC3)cc2)cc(C(F)(F)F)c1,1
ZINC000073219693,O=C(O)CCNC(=O)c1ccc([C@H](Nc2cnn(-c3ccc(C(F)(F)F)cc3)c2)C2CCCC2)cc1,1
ZINC000073219696,O=C(O)CCNC(=O)c1ccc([C@@H](Nc2cnn(-c3ccc(C(F)(F)F)cc3)c2)C2CCCC2)cc1,1
ZINC000253656621,CC(C)(C)[C@@H]1CC[C@@H](N(C(=O)Nc2ccc(OC(F)(F)F)cc2)[C@H]2CCCc3cc(C(=O)NCCC(=O)O)ccc32)CC1,1
ZINC000253656624,CC(C)(C)[C@@H]1CC[C@@H](N(C(=O)Nc2ccc(OC(F)(F)F)cc2)[C@@H]2CCCc3cc(C(=O)NCCC(=O)O)ccc32)CC1,1
ZINC000253697708,CC(C)(C)[C@@H]1CC[C@@H](N(C(=O)Nc2ccc(OC(F)(F)F)cc2)[C@@H]2CCCc3cc(C(=O)Nc4nn[nH]n4)ccc32)CC1,1
ZINC000253697717,CC(C)(C)[C@@H]1CC[C@@H](N(C(=O)Nc2ccc(OC(F)(F)F)cc2)[C@H]2CCCc3cc(C(=O)Nc4nn[nH]n4)ccc32)CC1,1
ZINC000042807993,N#Cc1ccc(NC(=O)N(Cc2ccc(C(=O)NC[C@@H](O)C(=O)O)cc2)c2ccc(C3CCCCC3)cc2)cc1C(F)(F)F,1
ZINC000042833891,O=C(O)CCNC(=O)c1ccc(CN(c2ccc(C3=CCCCC3)cc2)c2nc(-c3ccc(OC(F)(F)F)cc3)cs2)cc1,1
ZINC000049878432,O=C(O)CCNC(=O)c1ccc(C[C@@H](c2ccc(Cl)cc2)c2nc(-c3ccc(C(F)(F)F)cc3)cs2)cc1,1
ZINC000049878434,O=C(O)CCNC(=O)c1ccc(C[C@H](c2ccc(Cl)cc2)c2nc(-c3ccc(C(F)(F)F)cc3)cs2)cc1,1
ZINC000044351996,O=C(NC[C@@H](O)C(=O)O)c1ccc(CN(C(=O)Nc2cccc(Br)c2)c2ccc(C3CCCCC3)cc2)cc1,1
ZINC000253677912,CC(C)(C)[C@@H]1CC[C@@H](N(C(=O)Nc2ccc(OC(F)(F)F)cc2)[C@@H]2CCOc3cc(C(=O)NCCC(=O)O)ccc32)CC1,1
