ID,SMILES,y
ZINC000028951019,CC(C)(C)Nc1nc2cc(Cl)c(Cl)cc2nc1S(C)(=O)=O,1
ZINC000028950949,CS(=O)(=O)c1nc2cc(Cl)c(Cl)cc2nc1C(F)(F)F,1
ZINC000028951009,CC(C)Nc1nc2cc(Cl)c(Cl)cc2nc1S(C)(=O)=O,1
ZINC000028951003,CCNc1nc2cc(Cl)c(Cl)cc2nc1S(C)(=O)=O,1
ZINC000254135225,COc1cc([C@H]2[C@](NC(=O)c3ccc(NC(C)=O)cc3)(C(=O)O)[C@@H](c3ccc(OC(=O)c4cccs4)c(OC)c3)[C@]2(NC(=O)c2ccc(NC(C)=O)cc2)C(=O)O)ccc1OC(=O)c1cccs1,1
ZINC000146688812,CC(C)(C)CC[C@H](c1ccc(C(=O)Nc2nn[nH]n2)cc1)N1C(=O)C(c2cc(Cl)cc(Cl)c2)=NC12CCC(C(C)(C)C)CC2,1
ZINC000028951012,CC[C@@H](C)Nc1nc2cc(Cl)c(Cl)cc2nc1S(C)(=O)=O,1
ZINC000028951013,CC[C@H](C)Nc1nc2cc(Cl)c(Cl)cc2nc1S(C)(=O)=O,1
ZINC000028950896,CC(C)c1nc2cc(Cl)c(Cl)cc2nc1S(C)(=O)=O,1
ZINC000028950983,CCCc1nc2cc(Cl)c(Cl)cc2nc1S(C)(=O)=O,1
ZINC000028951026,CS(=O)(=O)c1nc2cc(Cl)c(Cl)cc2nc1N[C@@H]1CCCc2ccccc21,1
ZINC000028951028,CS(=O)(=O)c1nc2cc(Cl)c(Cl)cc2nc1N[C@H]1CCCc2ccccc21,1
ZINC000028950901,CC(C)c1nc2cc(Cl)c(Cl)cc2nc1S(=O)(=O)Cc1ccc(S(C)(=O)=O)cc1,1
ZINC000028951050,CC(C)N(C)c1nc2cc(Cl)c(Cl)cc2nc1S(C)(=O)=O,1
ZINC000028951036,CN(C)c1nc2cc(Cl)c(Cl)cc2nc1S(C)(=O)=O,1
ZINC000028950897,CC(C)c1nc2cc(Cl)c(Cl)cc2nc1S(=O)(=O)CCC1OCCO1,1
ZINC000028950993,CC(C)Sc1nc2cc(Cl)c(Cl)cc2nc1S(C)(=O)=O,1
