ID,SMILES,y
ZINC000068201355,O=C(NCCO)c1cccc(-c2cccc3oc(Cc4cccc(C(F)(F)F)c4)cc23)c1,1
ZINC000166968858,COCCNC(=O)c1cccc(-c2cccc3cc(Cc4cc(F)cc(Cl)c4)sc23)c1,1
ZINC000117313706,O=C(NCCO)c1cccc(-c2cccc3cc(Cc4cccc(C(F)(F)F)c4)oc23)c1,1
ZINC000117312204,O=C(NCCO)c1cccc(-c2cccc3cc(Cc4cccc(C(F)(F)F)c4)sc23)c1,1
ZINC000117309344,O=C(NCCO)c1cccc(-c2cccc3sc(Cc4cccc(C(F)(F)F)c4)cc23)c1,1
ZINC000117307417,O=C(NCCO)c1cccc(-c2cccc3nn(Cc4cccc(C(F)(F)F)c4)cc23)c1,1
ZINC000117307270,COCCNC(=O)c1cccc(-c2cccc3cc(Cc4cccc(C(F)(F)F)c4)sc23)c1,1
ZINC000117315746,NC(=O)CNC(=O)c1cccc(-c2cccc3cc(Cc4cccc(C(F)(F)F)c4)sc23)c1,1
ZINC000117313342,O=C(NCCO)c1cccc(-c2cccc3cn(Cc4cccc(C(F)(F)F)c4)nc23)c1,1
ZINC000168332425,Cc1c(Cc2cccc(C(F)(F)F)c2)oc2c(-c3cccc(C(=O)NCCO)c3)cccc12,1
ZINC000068201369,NC(=O)CNC(=O)c1cccc(-c2ccc(F)c3cc(Cc4cccc(C(F)(F)F)c4)sc23)c1,1
ZINC000117309796,O=C(NCCO)c1cccc(-c2cccc3c2O[C@@H](Cc2cccc(C(F)(F)F)c2)C3)c1,1
ZINC000117309798,O=C(NCCO)c1cccc(-c2cccc3c2O[C@H](Cc2cccc(C(F)(F)F)c2)C3)c1,1
ZINC000169327843,O=C(NCCO)c1cccc(-c2cccc(OCCc3cc(F)cc(Cl)c3)n2)c1,1
ZINC000114926788,O=C(NCCO)c1cccc(-c2cccc(OCCc3cccc(C(F)(F)F)c3)n2)c1,1
ZINC000167977864,O=C(NCCO)c1cccc(-c2cccc3c2C[C@@H](Cc2cccc(C(F)(F)F)c2)O3)c1,1
ZINC000167977975,O=C(NCCO)c1cccc(-c2cccc3c2C[C@H](Cc2cccc(C(F)(F)F)c2)O3)c1,1
ZINC000045254830,Cc1c[nH]c2ncnc(N3CCN(/C(=N\c4cccc(Br)c4)NC#N)[C@@H](C)C3)c12,0
ZINC000003979930,CCCCCCN(C)CC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](CC)n1cc(C(C)(C)C)nc(NCc2nonc2C)c1=O,0
ZINC000049047821,O=C(Nc1cc2cc[nH]c(=O)c2cc1Cl)[C@@H]1CNC[C@H]1c1ccc(Cl)cc1,0
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0
ZINC000072117166,CN(C)c1cccc2c(S(=O)(=O)N(C)CC(=O)N(Cc3ccc(C4CCCCC4)cc3)c3ccc(C(=O)O)c(O)c3)cccc12,0
ZINC000040401732,CC(C)c1n[nH]c2c(=O)[nH]c(Cc3cccc(Cl)c3)nc12,0
ZINC000029046860,CC1CCN(c2cc(C3CCNCC3)ccc2NC(=O)c2ccc(C#N)o2)CC1,0
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0
ZINC000096285772,COc1cc2c(NC3CCN(C(C)C)CC3)nc(N3CCC(F)(F)CC3)nc2cc1OCCCN1CCCC1,0
ZINC000084652304,COc1ccc(S(=O)(=O)N(Cc2cn(CCF)nn2)[C@@H](C(=O)NO)C(C)C)cc1,0
ZINC000016052569,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12,0
ZINC000003964325,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,0
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0
ZINC000101448765,Nc1nc(Nc2ccc([C@H]3CC[C@@H](N4CCOCC4)CC3)cc2)nn1-c1ccccn1,0
ZINC000073221967,COc1cc2ncnc(Nc3cnn(CC(=O)Nc4cccc(F)c4)c3)c2cc1OC,0
ZINC000002047743,CSc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1,0
