ID,SMILES,y
ZINC000035090626,N[C@@]1(C(=O)O)C[S@](=O)[C@H]2[C@H](C(=O)O)[C@H]21,1
ZINC000035090630,N[C@@]1(C(=O)O)C[S@@](=O)[C@H]2[C@H](C(=O)O)[C@H]21,1
ZINC000004424547,N[C@@]1(C(=O)O)CC(=O)[C@@H]2[C@H]1[C@H]2C(=O)O,1
ZINC000038325397,N[C@@]1(C(=O)O)C[C@@H](F)[C@H]2[C@H](C(=O)O)[C@H]21,1
ZINC000003973445,N[C@@]1(C(=O)O)CC(=O)[C@@H]2[C@H]1[C@@]2(F)C(=O)O,1
ZINC000013582159,N[C@@]1(C(=O)O)[C@H](OCc2cccc(C(=O)O)c2)C[C@@H]2[C@H]1[C@@]2(F)C(=O)O,1
ZINC000004424564,C=C1C[C@@](N)(C(=O)O)[C@@H]2[C@@H](C(=O)O)[C@H]12,1
ZINC000013582216,C[C@@H](O[C@@H]1C[C@@H]2[C@H]([C@]1(N)C(=O)O)[C@@]2(F)C(=O)O)c1ccc(Cl)c(Cl)c1,1
ZINC000013582226,CCC[C@@H](O[C@@H]1C[C@@H]2[C@H]([C@]1(N)C(=O)O)[C@@]2(F)C(=O)O)c1ccc(Cl)c(Cl)c1,1
ZINC000013582221,CC[C@@H](O[C@@H]1C[C@@H]2[C@H]([C@]1(N)C(=O)O)[C@@]2(F)C(=O)O)c1ccc(Cl)c(Cl)c1,1
ZINC000013582247,C[C@H](O[C@@H]1C[C@@H]2[C@H]([C@]1(N)C(=O)O)[C@@]2(F)C(=O)O)c1ccc2ccccc2c1,1
ZINC000013582245,C[C@@H](O[C@@H]1C[C@@H]2[C@H]([C@]1(N)C(=O)O)[C@@]2(F)C(=O)O)c1ccc2ccccc2c1,1
ZINC000101383228,Cc1cc2c(cc1C(F)(F)F)NC(=O)CC(c1cccc(-c3cccnc3)c1)=N2,1
ZINC000101383232,Cc1cc(-c2cccc(C3=Nc4cc(C)c(C(F)(F)F)cc4NC(=O)C3)c2)cc(C)n1,1
ZINC000101383237,CCc1cc(-c2cccc(C3=Nc4cc(C)c(C(F)(F)F)cc4NC(=O)C3)c2)cc(C)n1,1
ZINC000101383242,Cc1cc(-c2cccc(C3=Nc4cc(C)c(C(F)(F)F)cc4NC(=O)C3)c2)cc(C2CC2)n1,1
ZINC000101383245,Cc1cc(-c2cccc(C3=Nc4cc(Cl)c(Cl)cc4NC(=O)C3)c2)ccn1,1
ZINC000003817238,N[C@@]1(C(=O)O)[C@H](OCc2ccc(Cl)c(Cl)c2)C[C@@H]2[C@H]1[C@@]2(F)C(=O)O,1
ZINC000013582179,N[C@@]1(C(=O)O)[C@H](OCc2ccc(F)c(F)c2)C[C@@H]2[C@H]1[C@@]2(F)C(=O)O,1
ZINC000013582243,N[C@@]1(C(=O)O)[C@H](OCc2ccc3ccccc3c2)C[C@@H]2[C@H]1[C@@]2(F)C(=O)O,1
ZINC000013582231,N[C@@]1(C(=O)O)[C@H](OC(c2ccccc2)c2ccccc2)C[C@@H]2[C@H]1[C@@]2(F)C(=O)O,1
ZINC000028375397,N[C@@]1(C(=O)O)[C@H](OC(c2ccc(Cl)c(Cl)c2)c2ccc(Cl)c(Cl)c2)C[C@@H]2[C@H]1[C@@]2(F)C(=O)O,1
ZINC000003952369,N[C@@]1(C(=O)O)CO[C@@H]2[C@H]1[C@H]2C(=O)O,1
ZINC000003826602,N[C@](CC1c2ccccc2Oc2ccccc21)(C(=O)O)[C@H]1C[C@@H]1C(=O)O,1
ZINC000013582156,N#Cc1cccc(CO[C@@H]2C[C@@H]3[C@H]([C@]2(N)C(=O)O)[C@@]3(F)C(=O)O)c1,1
ZINC000013582228,CCC[C@H](O[C@@H]1C[C@@H]2[C@H]([C@]1(N)C(=O)O)[C@@]2(F)C(=O)O)c1ccc(Cl)c(Cl)c1,1
ZINC000071318369,C[C@H]1CN(Cc2nc3ncccc3n2C)CC[C@H]1c1ccc(C(F)(F)F)cc1F,1
ZINC000101383249,O=C1CC(c2cccc(-c3ccncc3)c2)=Nc2ccc(Cl)cc2N1,1
ZINC000013582224,CC[C@H](O[C@@H]1C[C@@H]2[C@H]([C@]1(N)C(=O)O)[C@@]2(F)C(=O)O)c1ccc(Cl)c(Cl)c1,1
ZINC000013582145,N[C@@]1(C(=O)O)[C@H](OCc2ccc(Cl)cc2)C[C@@H]2[C@H]1[C@@]2(F)C(=O)O,1
ZINC000013582143,N[C@@]1(C(=O)O)[C@H](OCc2cccc(Cl)c2)C[C@@H]2[C@H]1[C@@]2(F)C(=O)O,1
ZINC000029124536,N[C@](CC1c2ccccc2Oc2ccccc21)(C(=O)O)[C@H]1C[C@]1(F)C(=O)O,1
ZINC000013582210,N[C@@]1(C(=O)O)[C@H](OCc2ccc(F)c(Cl)c2)C[C@@H]2[C@H]1[C@@]2(F)C(=O)O,1
ZINC000013582212,N[C@@]1(C(=O)O)[C@H](OCc2cc(Cl)c(Cl)c(Cl)c2)C[C@@H]2[C@H]1[C@@]2(F)C(=O)O,1
