ID,SMILES,y
ZINC000008581934,Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2C1CCCC1,1
ZINC000003986735,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,1
ZINC000008581989,COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1NC(=O)OC(C)(C)C,1
ZINC000006716617,Cc1cc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)nc(C)n1,1
ZINC000008581930,CC(C)n1nc(-c2ccc(Cl)c(O)c2)c2c(N)ncnc21,1
ZINC000008581993,COc1cc(-c2nn(C3CCCC3)c3ncnc(N)c23)ccc1N,1
ZINC000022448983,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,1
ZINC000002047743,CSc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1,1
ZINC000008581906,CC(C)n1nc(-c2ccc(Br)c(O)c2)c2c(N)ncnc21,1
ZINC000008581901,Nc1ncnc2c1c(-c1cc(O)cc(F)c1)nn2C1CCCC1,1
ZINC000008581916,Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2C1CCCC1,1
ZINC000001383151,CC(C)(C)n1nc(-c2ccc(Cl)cc2)c2c(N)ncnc21,1
ZINC000064553627,Nc1ncnc2c1c(-c1ccc3cc[nH]c3c1)nn2C1CCCC1,1
ZINC000064504083,Cc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1O,1
ZINC000064447492,Nc1ncnc2c1c(-c1ccc3[nH]ccc3c1)nn2C1CCCC1,1
ZINC000008581917,C[C@@H]1CC[C@H](n2nc(-c3ccc(F)c(O)c3)c3c(N)ncnc32)C1,1
ZINC000008581918,C[C@H]1CC[C@H](n2nc(-c3ccc(F)c(O)c3)c3c(N)ncnc32)C1,1
ZINC000008581919,C[C@@H]1CC[C@@H](n2nc(-c3ccc(F)c(O)c3)c3c(N)ncnc32)C1,1
ZINC000008581920,C[C@H]1CC[C@@H](n2nc(-c3ccc(F)c(O)c3)c3c(N)ncnc32)C1,1
ZINC000008581933,Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2C1CCC1,1
ZINC000008581937,Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2[C@@H]1CCOC1,1
ZINC000020148984,Nc1ncnc2c1c(-c1cnc3[nH]ccc3c1)nn2C1CCCC1,1
ZINC000038346394,CN1CCN(c2ccc(-c3cnn4c(N)c(-c5cccc(O)c5)cnc34)cc2)CC1,1
ZINC000008581938,Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2[C@H]1CCOC1,1
ZINC000008581907,Nc1ncnc2c1c(-c1ccc(Br)c(O)c1)nn2C1CCC1,1
ZINC000049777600,CCN1CCN(Cc2ccc(C(=O)Nc3ccc(C)c(Nc4nc5ccccc5n4-c4cc(N)ncn4)c3)cc2Cl)CC1,1
ZINC000064564517,CC(C)n1nc(-c2ccc3c(ccn3C(=O)OC(C)(C)C)c2)c2c(N)ncnc21,1
ZINC000008581909,CC(C)n1nc(-c2ccc(F)c(O)c2)c2c(N)ncnc21,1
ZINC000008581903,CC(C)n1nc(-c2cc(O)cc(Br)c2)c2c(N)ncnc21,1
ZINC000008581960,COc1ccc(-c2nn([C@@H]3CC[C@@H](C)C3)c3ncnc(N)c23)cc1O,1
ZINC000008581961,COc1ccc(-c2nn([C@H]3CC[C@@H](C)C3)c3ncnc(N)c23)cc1O,1
ZINC000008581962,COc1ccc(-c2nn([C@@H]3CC[C@H](C)C3)c3ncnc(N)c23)cc1O,1
ZINC000008581963,COc1ccc(-c2nn([C@H]3CC[C@H](C)C3)c3ncnc(N)c23)cc1O,1
ZINC000064485680,CC(C)n1nc(-c2cnc3[nH]ccc3c2)c2c(N)ncnc21,1
ZINC000008581914,Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2C1CCC1,1
ZINC000049775141,Cc1ccc(NC(=O)c2cc(CN3CCN(C)CC3)n(C(C)(C)C)n2)cc1Nc1nc2ccccc2n1-c1cc(N)ncn1,1
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,1
ZINC000008581908,Nc1ncnc2c1c(-c1ccc(Br)c(O)c1)nn2C1CCCC1,1
ZINC000008581992,Nc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1O,1
ZINC000049089175,CN1CCN(c2ccc(-c3cnn4c(N)c(-c5ccc(NC(=O)CCC6CCCC6)cc5)cnc34)cc2)CC1,1
ZINC000043204048,COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1,1
ZINC000064479733,CC(C)n1nc(-c2ccc3[nH]ccc3c2)c2c(N)ncnc21,1
ZINC000049780501,CCN1CCN(c2cc(C(=O)Nc3ccc(C)c(Nc4nc5ccccc5n4-c4cc(N)ncn4)c3)cc(C(F)(F)F)c2)CC1,1
ZINC000101499124,CC1(C)CC(/N=C(/O)c2cccc(-c3cc4nccc(Nc5cccc(O)c5)n4n3)c2)CC(C)(C)N1[O],1
ZINC000008581958,COc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1O,1
ZINC000008581959,COc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1O,1
ZINC000064746363,CC(C)n1nc(-c2ccc3cc[nH]c3c2)c2c(N)ncnc21,1
ZINC000064516827,CC[C@@H](C)n1nc(-c2ccc(C)c(O)c2)c2c(N)ncnc21,1
ZINC000064516829,CC[C@H](C)n1nc(-c2ccc(C)c(O)c2)c2c(N)ncnc21,1
ZINC000008581935,Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2[C@@H]1CCNC1,1
ZINC000049780500,Cc1ccc(NC(=O)c2cc(N3CCN(C)CC3)cc(C(F)(F)F)c2)cc1Nc1nc2ccccc2n1-c1cc(N)ncn1,1
ZINC000064744278,CC(C)n1nc(-c2ccc3cc(O)ccc3c2)c2c(N)ncnc21,1
ZINC000008581924,Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2[C@H]1CCOC1,1
ZINC000049785521,CN1CCN(c2ccc(-c3cnn4c(N)c(-c5ccc(NC(=O)NCC6CCCCC6)cc5)cnc34)cc2)CC1,1
ZINC000008581890,CC(C)n1nc(-c2cccc(O)c2)c2c(N)ncnc21,1
ZINC000008581891,Cc1cc(O)ccc1-c1nn(C(C)C)c2ncnc(N)c12,1
ZINC000008581905,Cn1nc(-c2ccc(Br)c(O)c2)c2c(N)ncnc21,1
ZINC000008581922,Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2[C@H]1CCNC1,1
ZINC000008581950,CC(C)n1nc(-c2ccc(O)c(F)c2)c2c(N)ncnc21,1
ZINC000040412843,Cc1c(Nc2c(C#N)cnc3sc(/C=C/C(=O)N4CCCC4)cc23)ccc2[nH]ccc12,1
ZINC000049916748,Cc1ccc(NC(=O)c2cc(OC3CCN(C)CC3)cc(C(F)(F)F)c2)cc1Nc1nc2ccccc2n1-c1cc(N)ncn1,1
ZINC000008581899,Nc1ncnc2c1c(-c1cccc(O)c1F)nn2C1CCCC1,1
ZINC000008581925,Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2C1CCCCCC1,1
ZINC000064479825,CC(C)n1nc(-c2ccc3cn[nH]c3c2)c2c(N)ncnc21,1
ZINC000049775395,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Nc1nc2ccccc2n1-c1cc(NCCCN2CCN(C)CC2)ncn1,1
ZINC000008581932,C[C@H](CN)n1nc(-c2ccc(Cl)c(O)c2)c2c(N)ncnc21,1
ZINC000064521218,Nc1ncnc2c1c(-c1ccc3[nH]ncc3c1)nn2C1CCCC1,1
ZINC000064516824,COCOc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1Br,1
ZINC000036056300,CC(C)n1nc(-c2ccc3c(N)n[nH]c3c2)c2c(N)ncnc21,1
ZINC000008581929,COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1F,1
ZINC000008581988,COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1N,1
ZINC000049036906,CN1CCN(c2cccc(-c3cnn4c(N)c(-c5ccc(NC(=O)CCC6CCCC6)cc5)cnc34)c2)CC1,1
ZINC000064521377,Nc1ncnc2c1c(-c1ccc3cn[nH]c3c1)nn2C1CCCC1,1
ZINC000008581915,Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2C1CNC1,1
ZINC000034803893,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Nc1nc2ccccc2n1-c1cc(N)ncn1,1
ZINC000008581987,CC(C)n1nc(-c2ccc(N)c(O)c2)c2c(N)ncnc21,1
ZINC000016052129,CCN(CC)CCNc1cc(Nc2cc(O)ccc2C)nc(-n2cnc3ccccc32)n1,1
ZINC000049089199,Cc1ccc(NC(=O)c2ccncc2C(C)(C)C)cc1Nc1nc2ccccc2n1-c1cc(N)ncn1,1
ZINC000008581886,CC(C)n1nc(-c2ccc(O)cc2)c2c(N)ncnc21,1
ZINC000008581900,CC(C)n1nc(-c2cc(O)cc(F)c2)c2c(N)ncnc21,1
ZINC000034804562,CCN(CC)CCOc1ccc(Nc2ncc3c(n2)N2CCC(=O)N2C(c2c(Cl)cccc2Cl)=C3)cc1,1
ZINC000064553673,CC(C)(C)OC(=O)n1ccc2cc(-c3nn(C4CCCC4)c4ncnc(N)c34)ccc21,1
ZINC000049777420,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Nc1nc2ccccc2n1-c1cc(NCCC[C@@H]2COCCN2)ncn1,1
ZINC000049777421,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Nc1nc2ccccc2n1-c1cc(NCCC[C@H]2COCCN2)ncn1,1
ZINC000008581923,Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2[C@@H]1CCOC1,1
ZINC000064527810,CC(C)n1nc(-c2ccc3[nH]ncc3c2)c2c(N)ncnc21,1
ZINC000049775200,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc2ccccc2n1-c1ncnc(NCCCN2CCN(C)CC2)n1,1
ZINC000049872013,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc2ccccc2n1-c1cc(NCCCCN(C)C)ncn1,1
ZINC000064499221,Nc1ncnc2c1c(-c1ccc3occc3c1)nn2C1CCCC1,1
ZINC000064532129,Nc1ncnc2c1c(-c1cccc3[nH]ccc13)nn2C1CCCC1,1
ZINC000049777419,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Nc1nc2ccccc2n1-c1cc(NCCCCN(C)C)ncn1,1
ZINC000064475041,Cc1ccc(-c2nn(C)c3ncnc(N)c23)cc1O,1
ZINC000008581941,Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2C[C@@H]1CCNC1,1
ZINC000008581942,Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2C[C@H]1CCNC1,1
ZINC000049780439,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Nc1nc2ccccc2n1-c1cc(NCCN2CCN(C)CC2)ncn1,1
ZINC000008581913,N#CCCCCn1nc(-c2ccc(F)c(O)c2)c2c(N)ncnc21,1
ZINC000049775702,CN1CCN(c2cccc(-c3cnn4c(N)c(-c5ccc(NC(=O)NCC6CCCCC6)cc5)cnc34)c2)CC1,1
ZINC000008581898,CC(C)n1nc(-c2cccc(O)c2F)c2c(N)ncnc21,1
ZINC000008581952,CC(C)n1nc(-c2cc(F)c(O)cc2F)c2c(N)ncnc21,1
ZINC000064527667,CC(C)n1nc(-c2cc(F)c3cn[nH]c3c2)c2c(N)ncnc21,1
ZINC000008581893,Cc1ccc(-c2n[nH]c3ncnc(N)c23)cc1O,1
ZINC000008581967,CCOc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1O,1
ZINC000034802753,Cc1ccc(NC(=O)c2ccc(C(C)(C)C)s2)cc1Nc1nc2ccccc2n1-c1cc(N)ncn1,1
ZINC000008581921,Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2[C@@H]1CCNC1,1
ZINC000038209602,CN1CCN(c2ccc(-c3cnn4c(N)c(-c5ccc(O)cc5)cnc34)cc2)CC1,1
ZINC000020148983,CC(C)n1nc(-c2ccc3ncccc3c2)c2c(N)ncnc21,1
ZINC000049036267,CN1CCN(c2ccc(-c3cnn4c(N)c(-c5ccc(NC(=O)Oc6ccccc6)cc5)cnc34)cc2)CC1,1
ZINC000064499346,CC(C)n1nc(-c2ccc3occc3c2)c2c(N)ncnc21,1
ZINC000008581980,COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)cc(OC)c1OC,1
ZINC000008581954,COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1O,1
ZINC000019632614,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,1
ZINC000049775638,CN1CCN(c2cccc(-c3cnn4c(N)c(-c5ccc(NC(=O)N(C)C6CCCCC6)cc5)cnc34)c2)CC1,1
ZINC000008581951,COc1cc(F)c(-c2nn(C(C)C)c3ncnc(N)c23)cc1F,1
ZINC000008581957,CCn1nc(-c2ccc(OC)c(O)c2)c2c(N)ncnc21,1
ZINC000008581974,COc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1OC,1
ZINC000049032274,Cc1ccc(NC(=O)c2cc(Cl)cc(Cl)c2)cc1Nc1nc2ccccc2n1-c1cc(N)ncn1,1
ZINC000008581973,COc1ccc(-c2nn(C3CCC3)c3ncnc(N)c23)cc1OC,1
ZINC000049777799,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc2ccccc2n1-c1cc(NCCN2CCN(C)CC2)ncn1,1
