ID,SMILES,y
ZINC000000968257,CN(C)CCC=C1c2ccccc2CCc2ccccc21,1
ZINC000095562029,CCCCN1CCC[C@@H]1Cn1nc(Cc2ccc(Cl)cc2)c2ccccc2c1=O,1
ZINC000000402830,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,1
ZINC000001530741,CNCCC=C1c2ccccc2CCc2ccccc21,1
ZINC000000020245,CN(C)CCCN1c2ccccc2CCc2ccccc21,1
ZINC000103167957,NC(=O)c1c(N2CCCC2)nc2sc3ccccc3n2c1=O,1
ZINC000000001148,CN(C)CC/C=C1/c2ccccc2COc2ccccc21,1
ZINC000000001331,CN(C)CC/C=C1\c2ccccc2COc2ccccc21,1
ZINC000052957434,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,1
ZINC000071316623,COc1ccc(Cc2nn(C[C@H]3CCCN3C)c(=O)c3ccccc23)cc1,1
ZINC000071318052,CN1CCC[C@@H]1Cn1nc(Cc2ccc(Cl)cc2)c2ccccc2c1=O,1
ZINC000095560833,CCCCN1CCC[C@@H]1Cn1nc(Cc2ccc(Cl)cc2)c2cnccc2c1=O,1
ZINC000012503099,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1,1
ZINC000013455808,Cc1ccc2c(c1)/C(=C/CCN(C)C)c1ccccc1CO2,1
ZINC000000004351,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,1
ZINC000071318422,CN1CCC[C@@H]1Cn1nc(Cc2ccc(O)cc2)c2ccccc2c1=O,1
ZINC000000000504,CN1CCN2c3ccccc3Cc3ccccc3[C@@H]2C1,1
ZINC000000000855,CN1CCN2c3ccccc3Cc3ccccc3[C@H]2C1,1
ZINC000019368911,CN1CCN([C@H]2Cc3ccccc3Sc3ccc(Cl)cc32)CC1,1
ZINC000022032760,CN1CCN([C@@H]2Cc3ccccc3Sc3ccc(Cl)cc32)CC1,1
ZINC000000020248,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,1
ZINC000000601229,CN1CCC[C@@H](n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,1
ZINC000000897240,CN1CCC[C@H](n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,1
ZINC000071329510,Cc1ccc(Cc2nn(C[C@H]3CCCN3C)c(=O)c3ccccc23)cc1,1
ZINC000003635028,CN(C)CCn1nc(Cc2ccc(Cl)cc2)c2ccccc2c1=O,1
