ID,SMILES,y
ZINC000040848255,COc1cc2c(cc1Nc1nc(Nc3ccsc3C(N)=O)c3cc[nH]c3n1)N(C(=O)CN(C)C)CC2,1
ZINC000040846654,COc1cc2c(cc1Nc1nc(Nc3ccoc3C(N)=O)c3cc[nH]c3n1)N(C(=O)CN(C)C)CC2,1
ZINC000150338709,CCc1cc(Nc2nccc(-c3c(-c4ccc(OC)c(C(=O)Nc5c(F)cccc5F)c4)nc4ccccn34)n2)c(OC)cc1N1CCC(N2CCN(S(C)(=O)=O)CC2)CC1,1
ZINC000053186795,COc1cc(N2CCN(C(C)C)CC2)ccc1Nc1nc(Nc2cccc(F)c2C(N)=O)c2cc[nH]c2n1,1
ZINC000043202844,CNC(=O)c1c(F)cccc1Nc1nc(Nc2cc3c(cc2OC)CCN3C(=O)CN(C)C)nc2[nH]ccc12,1
ZINC000095615791,COc1cc(N2CCC(N3CCN(S(C)(=O)=O)CC3)CC2)ccc1Nc1nccc(-c2c(-c3cccc(C(=O)Nc4c(F)cccc4F)c3)nc3ccccn23)n1,1
ZINC000055760827,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,1
ZINC000001492324,COc1cc(Nc2nccc(Nc3cnc4ccccc4c3)n2)cc(OC)c1OC,1
ZINC000004366144,CN(C)c1ccc(C=Cc2sc3ccccc3[n+]2C)cc1,1
ZINC000034802753,Cc1ccc(NC(=O)c2ccc(C(C)(C)C)s2)cc1Nc1nc2ccccc2n1-c1cc(N)ncn1,1
ZINC000066259454,CN1C(=O)CCCc2cc(Nc3ncc(Cl)c(Nc4ccccc4C(N)=O)n3)ccc21,1
ZINC000073198958,CN(C)c1ccc(/C=C/c2sc3ccc(Cl)cc3[n+]2C)cc1,1
ZINC000004750617,CC[n+]1c(/C=C/c2ccc(N(C)C)cc2)sc2ccccc21,1
ZINC000073197493,Cc1ccc2c(c1)sc(/C=C/c1ccc(N(C)C)cc1)[n+]2C,1
ZINC000040918900,CCCN1CCC=C(c2ccc(Nc3nc(Nc4ccccc4C(N)=O)c4cc[nH]c4n3)c(C)c2)C1,1
ZINC000095615196,CCc1cc(Nc2nccc(-c3c(-c4cccc(C(=O)Nc5c(F)cccc5F)c4)nc4ccccn34)n2)c(OC)cc1N1CCC(N2CCN(S(C)(=O)=O)CC2)CC1,1
ZINC000096272772,Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1,1
ZINC000073197130,Cc1ccc2sc(/C=C/c3ccc(N(C)C)cc3)[n+](C)c2c1,1
ZINC000039850484,COc1ccc2c(c1)sc(/C=C/c1ccc(N(C)C)cc1)[n+]2C,1
ZINC000066260218,C#CCNC(=O)c1ccccc1Nc1nc(Nc2ccc3c(c2)CCCC(=O)N3C)ncc1Cl,1
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,1
ZINC000072176798,COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn23)n1,1
ZINC000299829921,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,1
ZINC000005159499,COc1ccc2c(c1)sc(/N=N/c1ccc(N(C)C)cc1)[n+]2C,1
ZINC000071996259,COc1cc2nccc(Oc3ccc(NC(=O)c4c(C)n(C)n(-c5ccccc5)c4=O)cc3F)c2cc1OC,1
ZINC000082155621,CN(C)c1ccc(/C=C/c2sc3ccc(F)cc3[n+]2C)cc1,1
ZINC000084713097,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc3c(c2)CCCC(=O)N3C)ncc1Cl,1
ZINC000066259456,CCCNC(=O)c1ccccc1Nc1nc(Nc2ccc3c(c2)CCCC(=O)N3C)ncc1Cl,1
ZINC000036381221,CN(C)c1ccc(/C=C/c2sc3ccccc3[n+]2Cc2ccccc2)cc1,1
ZINC000042682163,CN(C)c1ccc(/C=C\c2sc3cc([N+](=O)[O-])ccc3[n+]2C)cc1,1
ZINC000073197315,CN(C)c1ccc(/C=C/c2sc3ccccc3[n+]2C2CC2)cc1,1
ZINC000084714234,CCN1C(=O)CCCc2cc(Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)C(C)C)n3)c(OC)cc21,1
ZINC000073199845,CN(C)c1ccc(/C=C/c2sc3ccccc3[n+]2Cc2ccc3ccccc3c2)cc1,1
ZINC000100071817,C[C@@]1(O)C[C@H](c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3)c3c(N)nccn23)C1,1
ZINC000072178638,COCCN1CCc2ccc(Nc3ncc4ccc(-c5ccccc5)n4n3)cc2CC1,1
ZINC000066263797,CNC(=O)c1ccccc1Nc1nc(Nc2ccc3c(c2)CCN(CCOC)CC3)ncc1Cl,1
ZINC000219426509,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CC[C@@H](N(C)C)C1,1
ZINC000066259455,CNC(=O)c1ccccc1Nc1nc(Nc2ccc3c(c2)CCCC(=O)N3C)ncc1Cl,1
ZINC000038452660,c1ccc2ncc(Nc3ccnc(Nc4ccc(OCCCN5CCCCC5)cc4)n3)cc2c1,1
ZINC000100014909,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,1
ZINC000169329266,CN1CCN(c2ccc(-c3nc4c(N[C@H]5[C@@H](C(N)=O)[C@@H]6C=C[C@H]5C6)c(Br)cnc4[nH]3)cc2)CC1,1
ZINC000020148986,CNC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2OC)ncc1Cl,1
ZINC000090131081,COc1ccc2c(c1)sc(/C=C\c1ccc(N(C)C)c3ccccc13)[n+]2C,1
ZINC000032703949,CCCC[n+]1c(/C=C/c2ccc(N(C)C)cc2)sc2ccccc21,1
ZINC000049053358,Cc1ccc(C(=O)Nc2cccc(C(C)C)c2)cc1Nc1nc2ccccc2n1-c1cc(N)ncn1,1
