ID,SMILES,y
ZINC000231428538,C[C@@]12Cc3[nH]nc(C(=O)Nc4cnn([C@H](c5ccccc5)[C@H]5CCCCS5(=O)=O)c4)c3C[C@@H]1C2(F)F,1
ZINC000098208324,CN(C)CC[C@@H](c1ccccc1)n1cc(NC(=O)c2n[nH]c3cc(-c4cn[nH]c4)ccc23)cn1,1
ZINC000169348892,C[C@]12Cc3[nH]nc(C(=O)Nc4cnn([C@@H](CS(C)(=O)=O)c5cccnc5)c4)c3C[C@H]1C2,1
ZINC000169348895,C[C@]12Cc3[nH]nc(C(=O)Nc4cnn([C@@H](CS(C)(=O)=O)c5cccnc5)c4)c3C[C@@H]1C2,1
ZINC000210989722,C[C@]12Cc3[nH]nc(C(=O)Nc4cnn([C@H](CS(C)(=O)=O)c5cccnc5)c4)c3C[C@@H]1C2,1
ZINC000261174436,C[C@]12Cc3[nH]nc(C(=O)Nc4cnn([C@H](CS(C)(=O)=O)c5cccnc5)c4)c3C[C@H]1C2,1
ZINC000299823382,O=S(=O)(c1ccccc1)c1cc(Nc2cc(C3CCCC3)[nH]n2)nc(N[C@@H]2CC[C@@H](O)CC2)c1,1
ZINC000143960879,CC1(C)CCc2c(C(=O)Nc3cnn([C@H](c4ccccc4)C4CCNCC4)c3)n[nH]c2C1,1
ZINC000144146651,C[C@@]12Cc3[nH]nc(C(=O)Nc4cnn([C@H](c5ccccc5)C5CCS(=O)(=O)CC5)c4)c3C[C@@H]1C2,1
ZINC000144184516,CC1(C)CCc2c(C(=O)Nc3cnn([C@H](c4ccccc4)C4CCS(=O)CC4)c3)n[nH]c2C1,1
ZINC000261130723,COc1ccc2nc(Nc3cc(Cc4ccccc4)nc(N[C@@H]4CC[C@@H](O)CC4)n3)sc2n1,1
ZINC000299852640,CC1(C)CCc2c(C(=O)Nc3cnn([C@H](c4ccccc4)[C@H]4CCCS(=O)(=O)C4)c3)n[nH]c2C1,1
ZINC000299852641,CC1(C)CCc2c(C(=O)Nc3cnn([C@H](c4ccccc4)[C@@H]4CCCS(=O)(=O)C4)c3)n[nH]c2C1,1
ZINC000169347468,CC(C)(O)[C@@H](c1ccccc1)n1cc(NC(=O)c2n[nH]c3cc(-c4cn[nH]c4)ccc23)cn1,1
ZINC000261160988,N#Cc1ccc2nc(Nc3cc(Cc4ccccc4)nc(N[C@@H]4CC[C@@H](O)CC4)n3)sc2c1,1
ZINC000261177967,O[C@@H]1CC[C@@H](Nc2nc(Cc3ccccc3)cc(Nc3nc4cccnc4s3)n2)CC1,1
ZINC000299837901,Cc1cnc(Nc2cc(S(=O)(=O)c3ccccc3)cc(N[C@@H]3CC[C@@H](O)CC3)n2)s1,1
ZINC000084616782,CCC(O)(CC)c1ccc2cc(-c3n[nH]c4cc(C(F)F)sc34)[nH]c2c1,1
ZINC000143787554,C[C@@]12Cc3[nH]nc(C(=O)Nc4cnn(Cc5ccccc5)c4)c3C[C@@H]1C2(F)F,1
ZINC000143787755,C[C@]12Cc3[nH]nc(C(=O)Nc4cnn(Cc5ccccc5)c4)c3C[C@@H]1C2(F)F,1
ZINC000143787957,C[C@@]12Cc3[nH]nc(C(=O)Nc4cnn(Cc5ccccc5)c4)c3C[C@H]1C2(F)F,1
ZINC000143788163,C[C@]12Cc3[nH]nc(C(=O)Nc4cnn(Cc5ccccc5)c4)c3C[C@H]1C2(F)F,1
ZINC000143836070,CC1(C)CCc2c(C(=O)Nc3cnn([C@H](c4ccccc4)C4CCS(=O)(=O)CC4)c3)n[nH]c2C1,1
ZINC000144025576,CC1(C)CCc2c(C(=O)Nc3cnn([C@H](c4ccccc4)C4CN(CCF)C4)c3)n[nH]c2C1,1
ZINC000144025787,CC1(C)CCc2c(C(=O)Nc3cnn([C@@H](c4ccccc4)C4CN(CCF)C4)c3)n[nH]c2C1,1
ZINC000144069658,CC1(C)CCc2c(C(=O)Nc3cnn([C@H](c4ccccc4)[C@@H]4CCCCS4(=O)=O)c3)n[nH]c2C1,1
ZINC000144070050,CC1(C)CCc2c(C(=O)Nc3cnn([C@H](c4ccccc4)[C@H]4CCCCS4(=O)=O)c3)n[nH]c2C1,1
ZINC000261192623,O[C@@H]1CC[C@@H](Nc2nc(Cc3ccccc3)cc(Nc3nc4ccc(Cl)cc4s3)n2)CC1,1
ZINC000299836283,O=S(=O)(c1ccccc1)c1cc(Nc2cc(C3CCCCC3)[nH]n2)nc(N[C@@H]2CC[C@@H](O)CC2)c1,1
ZINC000261189337,Cc1ccc2nc(Nc3cc(Cc4ccccc4)nc(N[C@@H]4CC[C@@H](O)CC4)n3)sc2c1,1
ZINC000103294162,CCN(CC)Cc1cc([C@H]2C[C@@H]2C(=O)Nc2nc3ccc(-c4cn[nH]c4)cc3s2)ccc1OC,1
ZINC000144205325,CC1(C)CCc2c(C(=O)Nc3cnn([C@@H](CS(C)(=O)=O)c4ccccc4)c3)n[nH]c2C1,1
ZINC000299851459,CC1(C)CCc2c(C(=O)Nc3cnn([C@H](c4ccccc4)[C@H]4CCS(=O)(=O)C4)c3)n[nH]c2C1,1
ZINC000299851460,CC1(C)CCc2c(C(=O)Nc3cnn([C@H](c4ccccc4)[C@@H]4CCS(=O)(=O)C4)c3)n[nH]c2C1,1
ZINC000169347461,O=C(Nc1cnn([C@@H](CO)c2ccccc2)c1)c1n[nH]c2cc(-c3cn[nH]c3)ccc12,1
ZINC000095921410,CN(C)Cc1ccc([C@H]2C[C@@H]2C(=O)Nc2nc3ccc(-c4cn[nH]c4)cc3s2)cc1,1
ZINC000103294152,CN(C)Cc1ccc([C@@H]2C[C@@H]2C(=O)Nc2nc3ccc(-c4cn[nH]c4)cc3s2)cc1,1
ZINC000103294156,CN(C)Cc1ccc([C@@H]2C[C@H]2C(=O)Nc2nc3ccc(-c4cn[nH]c4)cc3s2)cc1,1
ZINC000103294158,CN(C)Cc1ccc([C@H]2C[C@H]2C(=O)Nc2nc3ccc(-c4cn[nH]c4)cc3s2)cc1,1
