ID,SMILES,y
ZINC000043207851,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,1
ZINC000073220041,CN(c1cccc(-c2ccc3cnc(Nc4ccc(C5CCN(CC(N)=O)CC5)cc4)nn23)c1)S(C)(=O)=O,1
ZINC000095573881,Cn1cc(NC(=O)c2cnn3ccc(N)nc23)c(-c2cc(Cl)ccc2Cl)n1,1
ZINC000095577428,Cc1ccc(Cl)cc1-c1nn(C)cc1NC(=O)c1cnn2ccc(N)nc12,1
ZINC000043203439,NS(=O)(=O)c1cc(Cl)c(Nc2nc3ccncc3c3c(=O)[nH]ccc23)c(Cl)c1,1
ZINC000072178639,COc1ccccc1-c1ccc2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nn12,1
ZINC000073156343,COc1ccccc1-c1ccc2cnc(Nc3ccc(C(=O)N4CCOCC4)cc3)nn12,1
ZINC000095582294,CC(C)(C)[C@@H](NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(=O)N1CC(C#N)C1,1
ZINC000029136029,O=c1[nH]ccc2c3[nH]c(-c4c(F)cccc4Cl)nc3c3ccc(F)cc3c12,1
ZINC000045316551,C[C@@H](Nc1cc(-c2c(N)nn3cccnc23)ncn1)c1ccc(F)cc1,1
ZINC000072179762,COc1cc(Nc2ncc3ccc(-c4ccccc4)n3n2)cc(OC)c1OC,1
ZINC000103239771,O=c1[nH]ccc2c(Nc3c(Cl)cc([C@H](O)C(F)F)cc3Cl)nc3ccncc3c12,1
ZINC000103239774,O=c1[nH]ccc2c(Nc3c(Cl)cc([C@@H](O)C(F)F)cc3Cl)nc3ccncc3c12,1
ZINC000073220038,CS(=O)(=O)Nc1cccc(-c2ccc3cnc(Nc4ccc(C5CCN(CC(N)=O)CC5)cc4)nn23)c1,1
ZINC000073223145,CS(=O)(=O)c1ccc(-c2ccc3cnc(Nc4ccc(C5CCN(CC(N)=O)CC5)cc4)nn23)cc1,1
ZINC000073158438,COc1ccccc1-c1ccc2cnc(Nc3ccc(N4CCOCC4)cc3)nn12,1
ZINC000073223144,NC(=O)CN1CCC(c2ccc(Nc3ncc4ccc(-c5cccc(CO)c5)n4n3)cc2)CC1,1
ZINC000068206356,Cc1ccc(C)c(-c2nn(C)cc2NC(=O)c2cnn3ccc(N)nc23)c1,1
ZINC000073195914,COc1ccc(-c2ccc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nn23)cn1,1
ZINC000095574031,COc1ccc(Cl)cc1-c1nn(C)cc1NC(=O)c1cnn2cccnc12,1
ZINC000095577749,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1n1cnc2cnc3[nH]ccc3c21,1
ZINC000095583506,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,1
ZINC000096169606,CN1CCN(c2ccc(Nc3nc4cccc(-c5ccc(S(C)(=O)=O)cc5)n4n3)cc2)CC1,1
ZINC000073195912,CN1CCN(c2ccc(Nc3ncc4ccc(-c5cccc(S(=O)(=O)NC(C)(C)C)c5)n4n3)cc2)CC1,1
ZINC000073157592,COc1ccccc1-c1ccc2cnc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nn12,1
ZINC000073161201,COc1ccccc1-c1ccc2cnc(Nc3cccc(N4CCOCC4)c3)nn12,1
ZINC000073196256,C[C@H](O)CN1CCN(c2ccc(Nc3ncc4ccc(-c5cccc(S(=O)(=O)NC(C)(C)C)c5)n4n3)cc2F)CC1,1
ZINC000043205752,Cn1cc(-c2ccc3c(c2)[nH]c2c(C(N)=O)cnc(N[C@H](C4CC4)C(F)(F)F)c23)cn1,1
ZINC000073196275,COc1ccc(-c2ccc3cnc(Nc4ccc(N5CCN(C)CC5)c(F)c4)nn23)cn1,1
ZINC000073196276,COc1ccc(-c2ccc3cnc(Nc4ccc(N5CCN(C)CC5)c(Cl)c4)nn23)cn1,1
ZINC000095579181,Cn1cc(NC(=O)c2cnn3cccnc23)c(-c2cc(Cl)ccc2Cl)n1,1
ZINC000096282533,CS(=O)(=O)c1ccc(-c2cccn3nc(Nc4ccc(C(=O)N5CCOCC5)cc4)nc23)cc1,1
ZINC000073158443,COc1ccccc1-c1ccc2cnc(Nc3ccc(N4CCN(C[C@H](C)O)CC4)cc3)nn12,1
ZINC000043203436,CC(C)(O)c1cc(Cl)c(Nc2nc3ccncc3c3c(=O)[nH]ccc23)c(Cl)c1,1
ZINC000045319141,CCC[C@@H](Nc1cc(-c2c(N)nn3cccnc23)ncn1)c1ccc(F)cc1,1
ZINC000045337206,Oc1ccc([C@@H]2Nc3ccccc3-c3ccnc4[nH]cc2c34)cc1F,1
ZINC000045337208,Oc1ccc([C@H]2Nc3ccccc3-c3ccnc4[nH]cc2c34)cc1F,1
ZINC000073156338,COc1ccc(Nc2ncc3ccc(-c4ccccc4OC)n3n2)cc1,1
ZINC000073156588,COc1ccccc1-c1ccc2cnc(Nc3ccc(N4CCN(C[C@H](C)O)CC4)c(F)c3)nn12,1
ZINC000073157595,COc1ccccc1-c1ccc2cnc(Nc3ccc(N4CCN(C)CC4)c(Cl)c3)nn12,1
ZINC000073195791,COc1ccc(-c2ccc3cnc(Nc4ccc(C5CCN(C[C@H](C)O)CC5)cc4)nn23)cn1,1
ZINC000095582096,N#C[C@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,1
ZINC000096282526,CC(C)n1cc(-c2cccn3nc(Nc4ccc(C(=O)O)cc4)nc23)cn1,1
ZINC000096282527,O=C(O)c1ccc(Nc2nc3c(-c4cnn(C5CCCCC5)c4)cccn3n2)cc1,1
ZINC000096282530,CC(C)Cn1cc(-c2cccn3nc(Nc4ccc(C(=O)O)cc4)nc23)cn1,1
ZINC000073223148,CS(=O)(=O)c1cccc(-c2ccc3cnc(Nc4ccc(C5CCN(CC(N)=O)CC5)cc4)nn23)c1,1
ZINC000073141736,COc1ccccc1-c1ccc2cnc(Nc3cccc(N4CCN(C[C@H](C)O)CC4)c3)nn12,1
ZINC000003818808,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,1
ZINC000045255164,CC(C)[C@@H](Nc1cc(-c2c(N)nn3cccnc23)ncn1)c1ccc(F)cc1,1
ZINC000045260928,CC[C@@H](Nc1cc(-c2c(N)nn3cccnc23)ncn1)c1ccc(F)cc1,1
ZINC000045368721,Oc1ccc([C@@H]2Nc3ccccc3-c3ccnc4[nH]cc2c34)c(F)c1,1
ZINC000045368725,Oc1ccc([C@H]2Nc3ccccc3-c3ccnc4[nH]cc2c34)c(F)c1,1
ZINC000066099178,Cc1cc(Nc2nc(N3CCN(C(=O)Cc4ccc(Cl)cc4)CC3)nn3cccc23)n[nH]1,1
ZINC000073196067,COc1ccccc1-c1ccc2cnc(Nc3ccc(C4CCN(C[C@H](C)O)CC4)cc3)nn12,1
ZINC000073222504,COc1ccccc1-c1ccc2cnc(Nc3ccc(C4CCN(CC(N)=O)CC4)cc3)nn12,1
ZINC000095572840,Cc1ccc(Cl)cc1-c1nn(C)cc1NC(=O)c1cnn2cccnc12,1
ZINC000095583682,N#CC1CN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,1
ZINC000095921398,COc1ccc(-c2cccc3nc(Nc4ccc(N5CCN(C)CC5)cc4)nn23)cc1,1
ZINC000096282528,O=C(O)c1ccc(Nc2nc3c(-c4cnn(C5CCCC5)c4)cccn3n2)cc1,1
ZINC000096282534,CN(C)C(=O)c1ccc(Nc2nc3c(-c4ccc(S(C)(=O)=O)cc4)cccn3n2)cc1,1
ZINC000096282545,CC(C)c1cccc(-c2cccc3nc(Nc4ccnc(CO)c4)nn23)c1,1
ZINC000096285204,N#C[C@H]1CCC[C@H]1Nc1nc(-c2cn[nH]c2)nc2c(=O)[nH]ccc12,1
ZINC000103239761,C[C@H](O)c1cc(Cl)c(Nc2nc3ccncc3c3c(=O)[nH]ccc23)c(Cl)c1,1
ZINC000103239763,C[C@@H](O)c1cc(Cl)c(Nc2nc3ccncc3c3c(=O)[nH]ccc23)c(Cl)c1,1
ZINC000073222281,CC(C)(C)NS(=O)(=O)c1cccc(-c2ccc3cnc(Nc4ccc(C5CCN(CC(N)=O)CC5)cc4)nn23)c1,1
ZINC000084739449,CS(=O)(=O)c1ccc(-c2cccn3nc(Nc4cccc(CN5CCS(=O)(=O)CC5)c4)nc23)cc1,1
ZINC000068247678,CN1CCC(c2cccc(Nc3nc4c(-c5ccc(S(C)(=O)=O)cc5)cccn4n3)c2)CC1,1
ZINC000096282531,COc1ccc(-c2cccn3nc(Nc4cnn(C5CCOCC5)c4)nc23)cc1,1
ZINC000095921072,Cc1cc(Nc2nc(O[C@@H](C)c3ncc(F)cn3)c(F)c(N3CCOCC3)n2)n[nH]1,1
ZINC000073220035,COc1ccc(-c2ccc3cnc(Nc4ccc(C5CCN(CC(N)=O)CC5)cc4)nn23)cn1,1
ZINC000045387339,Oc1ccc(-c2nc3ccccc3c3ncnc4[nH]cc2c43)c(Cl)c1,1
ZINC000072126295,NC(=O)c1cnc(N[C@H](C2CC2)C(F)(F)F)c2c1[nH]c1cc(-c3cnc(N)nc3)ccc12,1
ZINC000073162557,COc1ccccc1-c1ccc2cnc(Nc3cccc(N4CCN(C)CC4)c3)nn12,1
ZINC000084727460,CS(=O)(=O)c1ccc(-c2cccn3nc(Nc4cccc(N5CCOCC5)c4)nc23)cc1,1
ZINC000096258705,COc1cc(-c2cnc3[nH]cc(C(=O)N[C@H](C)C(=O)N4CC(C#N)C4)c3n2)cc(OC)c1OC,1
ZINC000103239745,O=c1[nH]ccc2c(Nc3c(Cl)cc(F)cc3Cl)nc3ccncc3c12,1
ZINC000066074441,Cc1cc(Nc2nc(N3CCN(C(=O)Cc4ccc(F)cc4)CC3)nn3cccc23)n[nH]1,1
ZINC000068247682,CS(=O)(=O)c1ccc(-c2cccn3nc(Nc4ccc(N5CCOCC5)cc4)nc23)cc1,1
ZINC000073195745,C[C@H](O)CN1CCC(c2ccc(Nc3ncc4ccc(-c5ccccc5N(C)S(C)(=O)=O)n4n3)cc2)CC1,1
ZINC000095557845,O=C1CC[C@H](C(=O)Nc2ccc(-c3ccnc(Nc4ccc(N5CCOCC5)cc4)n3)cc2)N1,1
ZINC000096282547,COc1cccc(-c2cccc3nc(Nc4ccc(N5CCN(C)CC5)cc4)nn23)c1,1
ZINC000103239782,O=c1[nH]ccc2c(Nc3c(F)cc(F)cc3Cl)nc3ccncc3c12,1
ZINC000012504479,CC(C)(C)c1nc2c3cc[nH]c(=O)c3c3cc(F)ccc3c2[nH]1,1
ZINC000038995988,O=C(Nc1c[nH]nc1-c1nc2cc(CN3CCOCC3)ccc2[nH]1)NC1CC1,1
ZINC000043205753,NC(=O)c1cnc(NC(C2CC2)C2CC2)c2c1[nH]c1cc(-c3cnc(N)nc3)ccc12,1
ZINC000045336883,Oc1ccc([C@@H]2Nc3ccccc3-c3ncnc4[nH]cc2c34)cc1F,1
ZINC000045336885,Oc1ccc([C@H]2Nc3ccccc3-c3ncnc4[nH]cc2c34)cc1F,1
ZINC000045390353,Oc1ccc([C@@H]2Nc3ccccc3-c3ncnc4[nH]cc2c34)c(F)c1,1
ZINC000045390355,Oc1ccc([C@H]2Nc3ccccc3-c3ncnc4[nH]cc2c34)c(F)c1,1
ZINC000064539847,CC(C)[C@@H](Nc1nc2cc[nH]c(=O)c2c2cnccc12)C(F)(F)F,1
ZINC000064549715,CC(C)[C@@H](Nc1nc2cc[nH]c(=O)c2c2cc(F)ccc12)C(F)(F)F,1
ZINC000066167172,Cc1cc(Nc2nc(N3CCN(C(=O)Cc4c(F)cc(Cl)cc4F)CC3)nn3cccc23)n[nH]1,1
ZINC000071318232,Cc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cn3)c(C#N)cc2F)n[nH]1,1
ZINC000072123172,NC(=O)c1cnc(N[C@H](C2CC2)C(F)(F)F)c2c1[nH]c1cc(-c3cn[nH]c3)ccc12,1
ZINC000072124688,C[C@H](Nc1ncc(C(N)=O)c2[nH]c3cc(-c4cnn(C)c4)ccc3c12)C1CC1,1
ZINC000072317687,O=C(NCc1cccc(O)c1)Nc1nc(-c2ccncc2)cs1,1
ZINC000073156583,C[C@H](O)CN1CCN(c2ccc(Nc3ncc4ccc(-c5ccccc5N(C)S(C)(=O)=O)n4n3)cc2F)CC1,1
ZINC000073164786,CN1CCN(c2ccc(Nc3ncc4ccc(-c5cccc(S(=O)(=O)NC(C)(C)C)c5)n4n3)cc2F)CC1,1
ZINC000073224615,CNC(=O)c1cnc(N)c2cc(-c3ccc(S(=O)(=O)NC(C)(C)C)cc3)sc12,1
ZINC000095579195,Cc1nc(-c2cccc(Cl)c2)c(NC(=O)c2cnn3ccc(N)nc23)s1,1
ZINC000095579915,Cn1cc(NC(=O)c2cnn3ccc(N)nc23)c(-c2cccc(Cl)c2)n1,1
ZINC000096285227,CCc1nc(N[C@@H]2CCC[C@@H]2C#N)c2cc[nH]c(=O)c2n1,1
ZINC000103239755,O=c1[nH]ccc2c(Nc3c(Cl)cc(C(F)(F)F)cc3Cl)nc3ccncc3c12,1
ZINC000103239767,O=c1[nH]ccc2c(Nc3c(Cl)cc(-c4ccn[nH]4)cc3Cl)nc3ccncc3c12,1
ZINC000143238930,CCc1ccc(Cl)cc1-n1cc(-c2ncnc3[nH]ccc23)cc1C(N)=O,1
ZINC000208314528,Cc1ccc(Cl)cc1-n1cc(-c2ncnc3[nH]ccc23)cc1C(N)=O,1
ZINC000208354910,NC(=O)c1cc(-c2ncnc3[nH]ccc23)cn1-c1cc(C(F)(F)F)ccc1Cl,1
ZINC000019862646,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,1
ZINC000066074437,Cc1cc(Nc2nc(N3CCN(C(=O)c4ccccc4S(C)(=O)=O)CC3)nn3cccc23)n[nH]1,1
ZINC000066074439,Cc1ccc(CC(=O)N2CCN(c3nc(Nc4cc(C)[nH]n4)c4cccn4n3)CC2)cc1,1
ZINC000073157589,CN1CCN(c2ccc(Nc3ncc4ccc(-c5ccccc5N(C)S(C)(=O)=O)n4n3)cc2Cl)CC1,1
ZINC000084709985,CS(=O)(=O)c1ccc(-c2cccn3nc(Nc4cccc(N5CCC(N6CCOCC6)CC5)c4)nc23)cc1,1
ZINC000096258685,Cn1nc(-c2cnc3[nH]cc(C(=O)N[C@@H](C(=O)N4CC(C#N)C4)C4CC4)c3n2)c2ccc(Cl)cc21,1
ZINC000096282529,CC(C)c1cc(-c2cccn3nc(Nc4ccc(C(=O)O)cc4)nc23)ccn1,1
ZINC000096282546,Cc1cc(Nc2nc3cccc(-c4cccc(C(C)C)c4)n3n2)ccn1,1
ZINC000073156334,C[C@H](O)CN1CCN(c2ccc(Nc3ncc4ccc(-c5ccccc5N(C)S(C)(=O)=O)n4n3)cc2)CC1,1
ZINC000066099176,COc1ccc(CC(=O)N2CCN(c3nc(Nc4cc(C)[nH]n4)c4cccn4n3)CC2)cc1,1
ZINC000072315838,N#CCC(=O)N1CCC[C@@H](n2cnc3cnc4[nH]ccc4c32)C1,1
ZINC000073195913,CN1CCN(c2ccc(Nc3ncc4ccc(-c5cccc(S(=O)(=O)NC(C)(C)C)c5)n4n3)cc2Cl)CC1,1
ZINC000084709142,CC(C)S(=O)(=O)c1ccc(-c2cccn3nc(Nc4cccc(N5CCN(C)CC5)c4)nc23)cc1,1
ZINC000084727457,CS(=O)(=O)c1ccc(Nc2nc3c(-c4ccc(S(C)(=O)=O)cc4)cccn3n2)cc1,1
ZINC000095576465,Nc1ccn2ncc(C(=O)Nc3c[nH]nc3-c3cccc(Cl)c3)c2n1,1
ZINC000096258683,Cn1nc(-c2cnc3[nH]cc(C(=O)N[C@@H](C(=O)N4CC(C#N)C4)C(C)(C)C)c3n2)c2ccc(Cl)cc21,1
ZINC000045255440,Nc1nn2cccnc2c1-c1cc(NCc2ccc(Cl)cc2)ncn1,1
ZINC000045261276,C[C@@H](Nc1cc(-c2c(N)nn3cccnc23)ncn1)c1ccccc1,1
ZINC000084710780,CN1CCN(C2CCN(c3cccc(Nc4nc5c(-c6ccc(S(C)(=O)=O)cc6)cccn5n4)c3)CC2)CC1,1
ZINC000084729231,COc1cccc(Nc2nc3c(-c4ccc(S(C)(=O)=O)cc4)cccn3n2)c1,1
