ID,SMILES,y
ZINC000013738523,O=c1c2cccnc2sn1-c1ccc(F)cc1,1
ZINC000001654015,O=c1c2cc([N+](=O)[O-])cnc2sn1-c1ccc(Br)cc1,1
ZINC000040424983,O=c1ccsn1-c1ccncc1,1
ZINC000028644947,Cc1ccc(NCCCN)c([N+](=O)[O-])c1,1
ZINC000001654021,COc1ccc(-n2sc3ncc([N+](=O)[O-])cc3c2=O)cc1,1
ZINC000040833987,COC(=O)CCn1sc(Cl)cc1=O,1
ZINC000040379518,CCOC(=O)CCn1sc(Cl)cc1=O,1
ZINC000039331630,CCn1sc(Cl)c(Cl)c1=O,1
ZINC000040950100,O=c1cc(Cl)sn1-c1ccc(F)c(Cl)c1,1
ZINC000045495991,COC(=O)CCCn1sc(Cl)cc1=O,1
ZINC000040950375,O=C(NCCn1sc(Cl)cc1=O)OCc1ccccc1,1
ZINC000045283755,COC(=O)CCn1sc(Cl)c(Cl)c1=O,1
ZINC000001860703,Cc1cnc2sn(-c3ccc([N+](=O)[O-])cc3)c(=O)c2c1,1
ZINC000040828060,COC(=O)CCCCn1sc(Cl)cc1=O,1
ZINC000044404798,COC(=O)Cn1sc(Cl)cc1=O,1
ZINC000045495989,CCCCCn1sc(Cl)cc1=O,1
ZINC000001654013,Cc1cnc2sn(-c3ccc(Br)cc3)c(=O)c2c1,1
ZINC000001654016,O=c1c2cccnc2sn1-c1ccc([N+](=O)[O-])cc1,1
ZINC000040901529,CCn1sc(Cl)cc1=O,1
ZINC000040422797,O=c1ccsn1-c1cc(F)c(F)c(F)c1,1
ZINC000040828683,COC(=O)CCCCCn1sc(Cl)cc1=O,1
ZINC000098209246,Cc1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)c(N)c(C)c1O,1
ZINC000103279573,Cc1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)c(N)c(Cl)c1O,1
ZINC000013738522,O=c1c2cccnc2sn1-c1ccc(Cl)cc1,1
ZINC000001443666,Cc1ccc(-n2sc3cc(F)ccc3c2=O)cc1,1
ZINC000012367067,O=c1ccsn1-c1ccc(F)c(Cl)c1,1
ZINC000001654014,O=c1c2cccnc2sn1-c1ccc(Br)cc1,1
ZINC000072170779,O=c1c2cccnc2sn1-c1ccc(Cl)c(Cl)c1,1
ZINC000034088047,Cc1ccc(-n2sc3ncccc3c2=O)cc1,1
ZINC000072171758,O=c1ccsn1-c1ccc(Cl)c([N+](=O)[O-])c1,1
ZINC000042889297,COC(=O)CCn1sc(Cl)c(NC(=O)OCc2ccccc2)c1=O,1
ZINC000004098424,C=C(C)[C@@H](CC=C(C)C)C[C@@]12C[C@@H](CC=C(C)C)C(C)(C)[C@@](CC=C(C)C)(C(=O)C(C(=O)c3ccc(O)c(O)c3)=C1O)C2=O,1
ZINC000008234355,CCCCCCCCCCCCCCCc1cccc(O)c1C(=O)O,1
ZINC000013738526,COc1cccc(-n2sc3ncccc3c2=O)c1,1
ZINC000004045568,NCCCNc1ccccc1[N+](=O)[O-],1
ZINC000012367068,O=c1ccsn1-c1cccc(Cl)c1F,1
ZINC000034428369,CN(C)c1ccc(-n2sccc2=O)cc1,1
ZINC000097758762,Cc1cc(/N=N/c2ccc(S(=O)(=O)/N=c3/cccc[nH]3)cc2)c(N)cc1O,1
ZINC000261164835,COC(=O)CCN1C(=O)C=C(Cl)[S@@]1=O,1
ZINC000261164837,COC(=O)CCN1C(=O)C=C(Cl)[S@]1=O,1
ZINC000001654020,COc1ccc(-n2sc3ncccc3c2=O)cc1,1
ZINC000033817836,Cc1cccc(NCCCN)c1[N+](=O)[O-],1
ZINC000072175510,O=c1c2cccnc2sn1-c1ccc(F)c(F)c1,1
ZINC000002507626,O=c1c2cccnc2sn1-c1ccccc1,1
ZINC000001860705,COc1ccc(-n2sc3ncc(C)cc3c2=O)cc1,1
ZINC000040952060,O=c1ccsn1-c1cccnc1,1
ZINC000072175149,O=c1c2cccnc2sn1Cc1ccc(Cl)c(Cl)c1,1
ZINC000033817835,CCc1ccc(NCCCN)c([N+](=O)[O-])c1,1
ZINC000000085670,O=c1c2ccc([N+](=O)[O-])cc2sn1Cc1ccccc1,1
ZINC000040952389,O=c1ccsn1-c1ccc(N2CCOCC2)cc1,1
ZINC000017198574,C=CC/C=C\C/C=C\CCCCCCCc1cccc(O)c1C(=O)O,1
ZINC000299826285,Cn1cc(NC(=O)c2coc(-c3ccnc(NCC(F)(F)F)c3)n2)c(C(N)=O)n1,0
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0
ZINC000163060375,C/C=C/C=C/C=C/C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H]1COC(=O)[C@@H]2C[C@@H](C)CN2C(=O)[C@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H]2CCCN2C1=O,0
ZINC000022453986,Cc1ncnc(C)c1C(=O)N1CCC(C)(N2CCN([C@@H](C)c3ccc(C(F)(F)F)cc3)[C@@H](C)C2)CC1,0
ZINC000040848255,COc1cc2c(cc1Nc1nc(Nc3ccsc3C(N)=O)c3cc[nH]c3n1)N(C(=O)CN(C)C)CC2,0
ZINC000013520815,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,0
ZINC000170110498,CCCCB(O)c1ccccc1,0
ZINC000021288966,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,0
ZINC000034150374,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1N1Cc2cnc(N)nc2N(C)C1=O,0
ZINC000016052569,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12,0
ZINC000013682441,O=C(C#CCCN1CCOCC1)Nc1cc2c(Nc3ccc(F)c(Br)c3)ncnc2cn1,0
ZINC000029046860,CC1CCN(c2cc(C3CCNCC3)ccc2NC(=O)c2ccc(C#N)o2)CC1,0
ZINC000045317629,CNCCN1CCC(c2cc(C)c3[nH]c(-c4c(OC)cccc4OC)nc3c2)CC1,0
ZINC000023247639,CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1,0
ZINC000040401732,CC(C)c1n[nH]c2c(=O)[nH]c(Cc3cccc(Cl)c3)nc12,0
ZINC000084620159,N#CC1=C(SCc2ccccc2)S[C@@H](c2cc(O)ccc2O)NC1=O,0
