ID,SMILES,y
ZINC000000391915,O=C(O)c1ccnc(C(=O)O)c1,1
ZINC000058564013,CN(C)CCCCCCCCC(=O)N(O)CCC(=O)O,1
ZINC000001710266,O=C(O)c1ccnc2c(O)cccc12,1
ZINC000005933707,O=C(O)c1ccc(O)c2ncccc12,1
ZINC000058568987,CN(CCCCCCCCC(=O)N(O)CCC(=O)O)Cc1ccccc1,1
ZINC000096271919,NCc1ccc(CNCCCCN(O)C(=O)/C=C/C(=O)O)cc1,1
ZINC000058576232,CCCCN(C)CCCCCCCCC(=O)N(O)CCC(=O)O,1
ZINC000032136784,S=C(SSC(=S)N1CCCC1)N1CCCC1,1
ZINC000073240815,O=C(O)/C=C/C(=O)N(O)CCCCNCc1ccc(COC(=O)Nc2cccc3ccccc23)cc1,1
ZINC000058568989,CNCCCCCCCCC(=O)N(O)CCC(=O)O,1
ZINC000001624915,O=[N+]([O-])c1cc([N+](=O)[O-])c(/C=C/c2ccc(Cl)c(Cl)c2)cc1/C=C/c1ccc(Cl)c(Cl)c1,1
ZINC000058568899,CN(C)CCCCCCCCCC(=O)N(O)CCC(=O)O,1
ZINC000058547814,CN(C)CCCCCCCC(=O)N(O)CCC(=O)O,1
ZINC000058568337,CN(C)CCCCCCCCN(O)C(=O)CCC(=O)O,1
ZINC000058568512,CN(C)CCCCCCC(=O)N(O)CCC(=O)O,1
ZINC000045338286,O=C(O)C(=O)N[C@H](Cc1ccc(OCc2ccccc2F)cc1)C(=O)O,1
ZINC000045347483,O=C1NC[C@H]2c3c(cccc31)CCN2C(=O)Cc1cccnc1,0
ZINC000095504909,CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2[C@H](Nc2ccc(Cl)cc2)C[C@@H]1C,0
ZINC000049047821,O=C(Nc1cc2cc[nH]c(=O)c2cc1Cl)[C@@H]1CNC[C@H]1c1ccc(Cl)cc1,0
ZINC000006745792,COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1OC,0
ZINC000096270778,c1cc(N2CCOCC2)ccc1-c1cnc2c(-c3cn[nH]c3)cnn2c1,0
ZINC000013492652,COc1cccc(C(=O)NCCN2CCN(c3cccc(Cl)c3Cl)CC2)c1,0
ZINC000016052569,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12,0
ZINC000036701290,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,0
ZINC000095504909,CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2[C@H](Nc2ccc(Cl)cc2)C[C@@H]1C,0
ZINC000254075224,N[C@H]1CC[C@H](Cn2nc(-c3ccc(N4CCNCC4)cc3)c3cnc(NCCCc4ccccc4)nc32)CC1,0
ZINC000072107800,CCO[C@@H](Cc1ccc(OCCc2nc(-c3ccc(C)s3)oc2C)cc1)C(=O)O,0
ZINC000073221967,COc1cc2ncnc(Nc3cnn(CC(=O)Nc4cccc(F)c4)c3)c2cc1OC,0
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0
ZINC000003986735,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,0
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0
ZINC000034150374,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1N1Cc2cnc(N)nc2N(C)C1=O,0
