ID,SMILES,y
ZINC000062232986,COC(=O)c1ccnc(-c2cc(C(=O)O)ccn2)c1,1
ZINC000103252453,N[C@@H]1C[C@H]1c1ccc(NC(=O)c2ccnc(-c3cc(C(=O)O)ccn3)c2)cc1,1
ZINC000001700248,NNC(=O)CCC(=O)O,1
ZINC000095555065,CNNC(=O)CCC(=O)O,1
ZINC000004773048,O=C(O)CCC(=O)NO,1
ZINC000100036983,CC(=O)CC(=O)CCC(=O)O,1
ZINC000103252455,COC(=O)c1ccnc(-c2cc(C(=O)Nc3ccc([C@@H]4C[C@H]4N)cc3)ccn2)c1,1
ZINC000299865909,CN1CCN(c2ccc(-c3nc4c(N5CCN(CC(=O)Nc6nccs6)CC5)c(Cl)cnc4[nH]3)cc2)CC1,0
ZINC000058563970,NC(=O)c1cc(-c2ccnc(Nc3ccccc3)c2)nc(N2CCNCC2)c1,0
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0
ZINC000013803822,CC(C)[C@H](NS(=O)(=O)c1ccc(-c2ccccc2)cc1)C(=O)O,0
ZINC000169715525,C=C1C(=O)N[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(=O)O)[C@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](/C=C/C(C)=C/[C@H](C)[C@H](Cc2ccccc2)OC)[C@H](C)C(=O)N[C@@H](C(=O)O)CCC(=O)N1C,0
ZINC000205646018,Cn1ncc(NC(=O)c2nc(-c3c(F)cccc3F)sc2N)c1[C@@H]1C[C@@H](F)[C@H](N)CCO1,0
ZINC000003979930,CCCCCCN(C)CC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](CC)n1cc(C(C)(C)C)nc(NCc2nonc2C)c1=O,0
