ID,SMILES,y
ZINC000005933707,O=C(O)c1ccc(O)c2ncccc12,1
ZINC000004773048,O=C(O)CCC(=O)NO,1
ZINC000103252453,N[C@@H]1C[C@H]1c1ccc(NC(=O)c2ccnc(-c3cc(C(=O)O)ccn3)c2)cc1,1
ZINC000073240815,O=C(O)/C=C/C(=O)N(O)CCCCNCc1ccc(COC(=O)Nc2cccc3ccccc23)cc1,1
ZINC000096271919,NCc1ccc(CNCCCCN(O)C(=O)/C=C/C(=O)O)cc1,1
ZINC000096271920,NCc1ccc(CN(CCCCN(O)C(=O)/C=C/C(=O)O)C(=S)Nc2ccc(-c3c4ccc(=O)cc-4oc4cc(O)ccc34)c(C(=O)O)c2)cc1,1
ZINC000028951019,CC(C)(C)Nc1nc2cc(Cl)c(Cl)cc2nc1S(C)(=O)=O,0
ZINC000169341667,CC(C)CCN(C(=O)COc1ccccc1)c1ncc(C(=O)NCCCn2ccnc2)s1,0
ZINC000024714117,Clc1ccc2c(c1Cl)CNCC2,0
ZINC000170110498,CCCCB(O)c1ccccc1,0
ZINC000101595683,CC(C)(C)Nc1c(Nc2ccnc(Nc3ccc(-c4ccncc4)cc3)n2)c(=O)c1=O,0
ZINC000085537053,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C,0
