ID,SMILES,y
ZINC000169312912,COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,1
ZINC000035851479,O=C(O)[C@H]1CCCC[C@H]1C(=O)N1CCc2ccccc2[C@H]1CN1C(=O)c2ccccc2C1=O,1
ZINC000000781579,COc1ccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,1
ZINC000004295300,O=C(O)[C@@H]1CCCC[C@@H]1C(=O)N1CCc2ccccc2[C@H]1CN1C(=O)c2ccccc2C1=O,1
ZINC000004295302,O=C(O)[C@@H]1CCCC[C@@H]1C(=O)N1CCc2ccccc2[C@@H]1CN1C(=O)c2ccccc2C1=O,1
ZINC000019871556,O=C(N/N=C/c1ccc(-c2ccc(C(=O)O)cc2)o1)N/N=C/c1ccc(-c2ccc(C(=O)O)cc2)o1,1
ZINC000006718987,CCOC[C@H](CC(C)C)NS(=O)(=O)c1ccc(Cn2c(C)nc3cnccc32)cc1,0
ZINC000002005990,CCCCCOc1c(OC)ccc2cc(C(=O)NCCc3ccncc3)c(=O)[nH]c12,0
ZINC000103248886,Cc1nnc2c3ccccc3c(-c3ccc(N4CCOCC4)c(NS(C)(=O)=O)c3)nn12,0
ZINC000034150374,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1N1Cc2cnc(N)nc2N(C)C1=O,0
ZINC000003781738,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,0
ZINC000003871640,O=C(N[C@@H]1CNCCC[C@H]1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1,0
