ID,SMILES,y
ZINC000071546918,O=C(O)c1cc(-c2ccc(F)c(F)c2)ncn1,1
ZINC000117588254,O=C(O)c1cc(-c2cccc(Cl)c2F)ncn1,1
ZINC000117586460,O=C(O)c1cc(-c2cccc(F)c2)ncn1,1
ZINC000206197187,O=C(O)c1cc(-c2ccc(Cl)c(F)c2)ncn1,1
ZINC000068198188,O=C(O)c1cc(-c2cccc(Cl)c2)ncn1,1
ZINC000206195902,O=C(O)c1cc(-c2ccc(OC3CC3)c(Cl)c2)ncn1,1
ZINC000068198189,O=C(O)c1cc(-c2ccc(Cl)c(Cl)c2)ncn1,1
ZINC000117589688,Cc1ccc(-c2cc(C(=O)O)ncn2)cc1Cl,1
ZINC000082327090,O=C(O)c1cc(-c2ccc(F)c(Cl)c2)ncn1,1
ZINC000206201407,Cc1ccc(-c2cc(C(=O)O)ncn2)cc1F,1
ZINC000071597348,COc1ccc(-c2cc(C(=O)O)ncn2)cc1Cl,1
ZINC000212470452,O=C(O)c1cc(-c2ccc3occc3c2)ncn1,1
ZINC000072315914,Clc1ccc(-c2cc(-c3nnn[nH]3)ncn2)cc1Cl,1
ZINC000206194431,O=C(O)c1cc(-c2ccc(OC3COC3)c(Cl)c2)ncn1,1
ZINC000206194651,O=C(O)c1cc(-c2ccc(OC(F)(F)F)c(Cl)c2)ncn1,1
ZINC000065348611,O=C(O)c1cc(-c2ccc(Cl)c(Cl)c2)ccn1,1
ZINC000001546077,COc1ccc(S(=O)(=O)Nc2nc(-c3cccc([N+](=O)[O-])c3)cs2)cc1OC,1
ZINC000117586869,O=C(O)c1cc(-c2ccc(C(F)(F)F)c(Cl)c2)ncn1,1
ZINC000071649298,CC(C)Oc1ccc(-c2cc(C(=O)O)ncn2)cc1Cl,1
ZINC000117587494,O=C(O)c1ncnc(-c2ccc(Cl)c(Cl)c2)c1F,1
ZINC000299854826,Cc1c(C(=O)O)ncnc1-c1ccc(Cl)c(Cl)c1,1
ZINC000071545197,O=C(O)c1cc(-c2ccc(Cl)cc2)ncn1,1
ZINC000011729784,Cc1nc(C(=O)O)cc(-c2ccc(Cl)c(Cl)c2)n1,1
