ID,SMILES,y
ZINC000100002044,O=C1C(Cl)=C(NCCN2CCOCC2)C(=O)c2ncccc21,1
ZINC000200022660,Cc1ccc(/N=C2\CC(=O)c3sc(C)nc3C2=O)cc1,1
ZINC000034121896,CC1(C)C(=O)N=C2C1=C(O)C(=O)c1ccccc12,1
ZINC000299835898,CC1=C[C@@]2(C)[C@H]([C@@H](C)[C@H](O)C[C@H]2O)[C@@H](/C=C(\C)C(=O)O)[C@@H]1/C(C)=C/C[C@H](O)C[C@@H](O)[C@H](C)[C@@H](O)C(C)C,1
ZINC000098214604,COc1cc2nc(N3CCCC3)nc(NCCCCCN3CCCC3)c2cc1OC,1
ZINC000299833505,COc1cc2nc(N3CCCC3)nc(NCCCCCN(C)C)c2cc1OC,1
ZINC000299835829,COc1cc2nc(N3CCCC3)nc(NCCCCCN3CCCCC3)c2cc1OC,1
ZINC000299827441,COc1cc2nc(N(C)C)nc(NCCCCCN3CCCC3)c2cc1OC,1
ZINC000013492652,COc1cccc(C(=O)NCCN2CCN(c3cccc(Cl)c3Cl)CC2)c1,0
ZINC000008581934,Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2C1CCCC1,0
ZINC000002005848,CC(C)(Cc1ccc(Oc2ccc(C(N)=O)cn2)cc1)NC[C@H](O)COc1cccc2[nH]c3ccccc3c12,0
ZINC000044360798,COC(C)(C)CCn1nc(Nc2c(C)cccc2C)c2cnc(Nc3ccc(OCCN4CCCC4)cc3)nc21,0
ZINC000263621080,COc1ccc(NC(=O)[C@@H](C)Nc2nc(O)c3cnn(C4CCCC4)c3n2)cc1,0
ZINC000012358651,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,0
ZINC000003986735,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,0
ZINC000013682441,O=C(C#CCCN1CCOCC1)Nc1cc2c(Nc3ccc(F)c(Br)c3)ncnc2cn1,0
