ID,SMILES,y
ZINC000013546515,Nc1ccccc1S(=O)(=O)C[C@H](N)C(=O)O,1
ZINC000013546517,Nc1ccccc1S(=O)(=O)C[C@@H](N)C(=O)O,1
ZINC000013586906,N[C@@H](C[C@H](O)c1cccc(O)c1)C(=O)O,1
ZINC000027110193,N[C@@H](C[C@@H](O)c1cccc(O)c1)C(=O)O,1
ZINC000027110195,N[C@H](C[C@@H](O)c1cccc(O)c1)C(=O)O,1
ZINC000027110197,N[C@H](C[C@H](O)c1cccc(O)c1)C(=O)O,1
ZINC000000895186,Nc1ccccc1C(=O)C[C@H](N)C(=O)O,1
ZINC000026578050,COC(=O)[C@H](C[P@@](=O)(OC)c1ccccc1)NC(=O)OCc1ccccc1,1
ZINC000026578051,COC(=O)[C@H](C[P@](=O)(OC)c1ccccc1)NC(=O)OCc1ccccc1,1
ZINC000002047743,CSc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1,0
ZINC000043077644,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5ccc(CO)cc5)cc4)nc32)CC1,0
ZINC000169357943,CC(=O)N[C@@H](CCCCNC(=O)CSCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO[P@@](=O)(O)O[P@@](=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)C(N)=O,0
ZINC000299826285,Cn1cc(NC(=O)c2coc(-c3ccnc(NCC(F)(F)F)c3)n2)c(C(N)=O)n1,0
ZINC000095576260,CC(C)CNC(=O)[C@@H](NC[C@H](Cc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1)[C@H](C)O,0
ZINC000071331175,Cc1cccc(CNC(=O)[C@@H]2CN(Cc3nc(-c4ccccc4)oc3C)Cc3ccccc32)n1,0
ZINC000013738523,O=c1c2cccnc2sn1-c1ccc(F)cc1,0
ZINC000043207851,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,0
ZINC000003986735,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,0
