ID,SMILES,y
ZINC000045261490,Cc1c[nH]c2ncnc(N3CCN(/C(=N\c4cccc(C(=O)NCCO)c4)NC#N)[C@@H](C)C3)c12,1
ZINC000045254830,Cc1c[nH]c2ncnc(N3CCN(/C(=N\c4cccc(Br)c4)NC#N)[C@@H](C)C3)c12,1
ZINC000148223173,Cc1c[nH]c2ncnc(N3CCC(Cc4c[nH]cn4)(C(=O)Nc4cccc(OC(=O)N(C)C)c4)CC3)c12,1
ZINC000045254822,Cc1c[nH]c2ncnc(N3CCN(/C(=N\c4cccc(C(C)(C)C)c4)NC#N)[C@@H](C)C3)c12,1
ZINC000045254824,Cc1c[nH]c2ncnc(N3CCN(C(=O)Nc4cccc(OC(=O)N(C)C)c4)[C@@H](C)C3)c12,1
ZINC000045255591,Cc1c[nH]c2ncnc(N3CCN(/C(=N\c4cccc(C#N)c4)NC#N)[C@@H](C)C3)c12,1
ZINC000045289752,C[C@H]1CN(c2ncnc3[nH]cc(Cl)c23)CCN1/C(=N\c1cccc(Br)c1)NC#N,1
ZINC000299818632,Cc1c[nH]c2ncnc(N3CCN(C(=O)Nc4ccccc4)[C@@H](C)C3)c12,1
ZINC000045245527,Cc1c[nH]c2ncnc(N3CCN(/C(=N\c4ccc(F)c(Br)c4)NC#N)[C@@H](C)C3)c12,1
ZINC000045259763,Cc1c[nH]c2ncnc(N3CCN(/C(=N\c4cccc(Cl)c4)NC#N)[C@@H](C)C3)c12,1
ZINC000045245847,Cc1c[nH]c2ncnc(N3CCN(/C(=N\c4cccc(S(=O)(=O)NC(C)C)c4)NC#N)[C@@H](C)C3)c12,1
ZINC000045320847,Cc1c[nH]c2ncnc(N3CCN(/C(=N\c4cccc(F)c4)NC#N)[C@@H](C)C3)c12,1
ZINC000045285422,Cc1c[nH]c2ncnc(N3CCN(/C(=N\c4cccc(C(F)(F)F)c4)NC#N)[C@@H](C)C3)c12,1
ZINC000140969181,C=CCC1(C(=O)Nc2cccc(Cl)c2)CCN(c2ncnc3[nH]cc(C)c23)CC1,1
ZINC000299821239,C=CCC1(C(=O)Nc2cccc(OC(=O)N(C)C)c2)CCN(c2ncnc3[nH]cc(C)c23)CC1,1
ZINC000045317488,Cc1c[nH]c2ncnc(N3CCN(C(=O)Nc4cccc(Cl)c4)[C@@H](C)C3)c12,1
ZINC000140912482,COCCOCC1(C(=O)Nc2cccc(OC(=O)N(C)C)c2)CCN(c2ncnc3[nH]cc(C)c23)CC1,1
ZINC000197728384,COc1cccc(NC(=O)N2CCN(c3ncnc4[nH]cc(C)c34)C[C@@H]2C)c1,1
ZINC000045245528,Cc1c[nH]c2ncnc(N3CCN(/C(=N\c4cccc(S(=O)(=O)NCCO)c4)NC#N)[C@@H](C)C3)c12,1
ZINC000030011846,CCN(Cc1ccccc1)C(=O)c1ccc(S(=O)(=O)Nc2ccccc2)cc1,1
ZINC000045259332,Cc1c[nH]c2ncnc(N3CCN(C(=O)Nc4cccc(C(=O)NCCO)c4)[C@@H](C)C3)c12,1
ZINC000045302532,Cc1c[nH]c2ncnc(N3CCN(C(=O)Nc4cccc(C(=O)NC(CO)CO)c4)[C@@H](C)C3)c12,1
ZINC000064549006,CC(C)Nc1ncc(-c2cc(-c3ccccc3Cl)nc(NCCN(C)C)n2)s1,1
ZINC000045259330,Cc1c[nH]c2ncnc(N3CCN(C(=O)Nc4ccc(F)c(Br)c4)[C@@H](C)C3)c12,1
ZINC000149379870,Cc1c[nH]c2ncnc(N3CCC(C)(C(=O)Nc4cccc(C(C)(C)C)c4)CC3)c12,1
ZINC000045284623,Cc1c[nH]c2ncnc(N3CCN(/C(=N\c4cccc(C(=O)NCCN(C)C)c4)NC#N)[C@@H](C)C3)c12,1
ZINC000045321898,Cc1c[nH]c2ncnc(N3CCN(/C(=N\c4cccc(C(=O)NC(C)C)c4)NC#N)[C@@H](C)C3)c12,1
ZINC000045260594,Cc1c[nH]c2ncnc(N3C[C@H](C)N(/C(=N\c4cccc(Br)c4)NC#N)C[C@H]3C)c12,1
ZINC000045284956,Cc1c[nH]c2ncnc(N3CCN(C(=O)Nc4cccc(Br)c4)[C@@H](C)C3)c12,1
ZINC000045259760,Cc1c[nH]c2ncnc(N3CCN(/C(=N\c4cccc(Br)c4)NC#N)[C@@H](C(C)C)C3)c12,1
ZINC000045260194,Cc1cc2c(N3CCN(/C(=N\c4cccc(Br)c4)NC#N)[C@@H](C)C3)ncnc2[nH]1,1
ZINC000142095785,Cc1c[nH]c2ncnc(N3CCC(CN)(C(=O)Nc4cccc(OC(=O)N(C)C)c4)CC3)c12,1
ZINC000147985412,Cc1c[nH]c2ncnc(N3CCC(C)(C(=O)Nc4cccc(OC(=O)N(C)C)c4)CC3)c12,1
ZINC000148322010,Cc1c[nH]c2ncnc(N3CCC(C(=O)Nc4cccc(OC(=O)N(C)C)c4)(N(C)C)CC3)c12,1
ZINC000045285438,Cc1c[nH]c2ncnc(N3CCN(C(=O)Nc4cccc(C(=O)NC(C)C)c4)[C@@H](C)C3)c12,1
ZINC000045283937,Cc1c[nH]c2ncnc(N3CCN(/C(=N/S(C)(=O)=O)Nc4cccc(Br)c4)[C@@H](C)C3)c12,1
ZINC000149837607,Cc1c[nH]c2ncnc(N3CCC(CCN(C)C)(C(=O)Nc4cccc(OC(=O)N(C)C)c4)CC3)c12,1
ZINC000084690846,COc1cc(Cl)c(-c2cc(-c3cnc(NC(C)=O)s3)nc(-c3cnccn3)n2)c(Cl)c1,1
ZINC000045284009,C[C@@H]1CN(c2ncnc3[nH]ccc23)CCN1/C(=N\c1cccc(Br)c1)NC#N,1
ZINC000045284011,C[C@H]1CN(c2ncnc3[nH]ccc23)CCN1/C(=N\c1cccc(Br)c1)NC#N,1
ZINC000299837064,Cc1c[nH]c2ncnc(N3CCN(C(=O)N[C@@H](C)c4ccccc4)[C@@H](C)C3)c12,1
ZINC000045254391,Cc1c[nH]c2ncnc(N3CCN(/C(=N/C#N)Nc4cccc(Br)c4)CC3)c12,1
ZINC000084690845,CNC(=O)Nc1ncc(-c2cc(-c3c(Cl)cc(OC)cc3Cl)nc(-c3cnccn3)n2)s1,1
ZINC000045319178,Cc1c[nH]c2ncnc(N3C[C@@H]4CC[C@H](C3)N4C(=O)Nc3cccc(Br)c3)c12,1
ZINC000084690516,CCCNc1ncc(-c2cc(-c3c(Cl)cc(OC)cc3Cl)nc(-c3cnccn3)n2)s1,1
ZINC000084707540,CNC(=O)Nc1ncc(-c2cc(-c3c(C)cc(OC)cc3C)nc(-c3cnccn3)n2)s1,1
ZINC000060618804,O=C(c1ccc(S(=O)(=O)Nc2ccccc2)cc1)N(CCO)Cc1ccccc1,1
ZINC000299831297,CN(Cc1ccc(CCC(=O)O)cc1)C(=O)c1ccc(S(=O)(=O)Nc2ccccc2)cc1,1
ZINC000242849403,Cc1cccc(NS(=O)(=O)c2ccc(C(=O)N(C)Cc3ccccc3)cc2)c1,1
ZINC000242909544,CN(Cc1ccccc1)C(=O)c1ccc(S(=O)(=O)Nc2cccc(F)c2)cc1,1
ZINC000299825121,O=S(=O)(Nc1ccccc1)c1ccc(-c2nccn2Cc2ccccc2)cc1,1
