ID,SMILES,y
ZINC000008860530,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)O,1
ZINC000095578038,C[C@@H](OC(=O)Nc1c(-c2ccc(-c3ccc(C4(C(=O)O)CC4)cc3)cc2)nnn1C)c1cccc(C(F)(F)F)c1,1
ZINC000036178877,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](COP(=O)(O)O)Cc1ccc(OCc2ccccn2)cc1,1
ZINC000095574469,C[C@@H](OC(=O)Nc1c(-c2ccc(-c3ccc(C4(C(=O)O)CC4)cc3)cc2)nnn1C)c1ccccc1,1
ZINC000095574509,C[C@@H](OC(=O)Nc1c(-c2ccc(-c3ccc(C4(C(=O)O)CC4)cc3)cc2F)nnn1C)c1ccccc1,1
ZINC000049933052,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](COP(=O)(O)O)Cc1ccc(OCc2cc(OCC(F)(F)F)ccn2)cc1,1
ZINC000095580363,C[C@@H](OC(=O)Nc1c(-c2ccc(-c3ccc(C4(C(=O)NS(C)(=O)=O)CC4)cc3)cc2)nnn1C)c1ccccc1,1
ZINC000095575705,C[C@@H](OC(=O)Nc1c(-c2ccc(-c3ccc(C4(C(=O)O)CC4)cc3)cc2)cnn1C)c1ccccc1,1
ZINC000095579052,Cc1nnn(-c2ccc(-c3ccc(C4(c5nnn[nH]5)CC4)cc3)cc2)c1NC(=O)O[C@H](C)c1ccccc1,1
ZINC000095573834,C[C@@H](OC(=O)Nc1c(-c2ccc(-c3ccc(C4(C(=O)O)CC4)cc3)cc2)cnn1C)c1ccccc1F,1
ZINC000095575251,C[C@@H](OC(=O)Nc1c(-c2ccc(-c3ccc(C4(/C(O)=N/S(C)(=O)=O)CC4)cc3)cc2)nnn1C)c1cccc(C(F)(F)F)c1,1
ZINC000095579219,Cc1nnn(-c2ccc(-c3ccc(C4(C(=O)O)CC4)cc3)cc2)c1NC(=O)O[C@H](C)c1ccccc1,1
ZINC000036178945,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](COP(=O)(O)O)Cc1ccc(OCc2cc(OCC)ccn2)cc1,1
ZINC000049769888,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](COP(=O)(O)O)Cc1ccc(OCc2ncc(C)c(OC)c2C)cc1,1
ZINC000006745733,C[C@@H](OC(=O)Nc1conc1-c1ccc(CSCCC(=O)O)cc1)C1=C(Cl)CCC1,1
ZINC000013979339,C[C@H](OC(=O)Nc1conc1-c1ccc(CSCCC(=O)O)cc1)C1=C(Cl)CCC1,1
ZINC000095572689,Cc1nnn(-c2ccc(-c3ccc(C4(C(=O)NS(C)(=O)=O)CC4)cc3)cc2)c1NC(=O)O[C@H](C)c1ccccc1,1
ZINC000036178883,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](COP(=O)(O)O)Cc1ccc(OCc2cccc(OC)c2)cc1,1
ZINC000049933042,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](COP(=O)(O)O)Cc1ccc(OCc2cc(OCCOC)ccn2)cc1,1
ZINC000095577507,Cc1nnn(-c2ccc(-c3ccc(C4(C(=O)O)CC4)cc3)cc2)c1NC(=O)O[C@H](C)c1ccccc1F,1
ZINC000095577941,C[C@@H](OC(=O)Nc1c(-c2ccc(-c3ccc(CC(=O)O)cc3)cc2)cnn1C)c1ccccc1,1
ZINC000095577465,C[C@@H](OC(=O)Nc1cnnn1-c1ccc(-c2ccc(C3(C(=O)O)CC3)cc2)cc1)c1ccccc1,1
ZINC000095573429,CC[C@@H](C)OC(=O)Nc1c(-c2ccc(-c3ccc(C4(C(=O)O)CC4)cc3)cc2)cnn1C,1
ZINC000095579618,C[C@@H](OC(=O)Nc1c(-c2ccc(-c3ccc(C4(C(=O)O)CC4)cc3)cc2)cnn1C)c1cccc(C(F)(F)F)c1,1
ZINC000095572703,CCc1nnn(-c2ccc(-c3ccc(C4(C(=O)O)CC4)cc3)cc2)c1NC(=O)O[C@H](C)c1ccccc1,1
ZINC000003819448,Cc1noc(-c2ccc(CSCCC(=O)O)cc2)c1NC(=O)O[C@H](C)c1ccccc1Cl,1
ZINC000013648514,Cc1noc(-c2ccc(CSCCC(=O)O)cc2)c1NC(=O)O[C@@H](C)c1ccccc1Cl,1
ZINC000001210352,O=C(O)c1ccc2c(c1)C(=O)N(c1cccc(Oc3ccc([N+](=O)[O-])cc3)c1)C2=O,1
ZINC000006745731,C[C@@H](OC(=O)Nc1conc1-c1ccc(CSCCC(=O)O)cc1)c1ccccc1Cl,1
ZINC000028903529,C[C@H](OC(=O)Nc1conc1-c1ccc(CSCCC(=O)O)cc1)c1ccccc1Cl,1
ZINC000095578045,C[C@@H](OC(=O)Nc1c(-c2ccc(-c3ccc(CC(=O)O)cc3)cc2)nnn1C)c1ccccc1,1
ZINC000000096882,O=C(O)/C=C/C(=O)Nc1cccc(NC(=O)/C=C/C(=O)O)c1,1
ZINC000029127358,Cc1noc(-c2ccccc2)c1NC(=O)O[C@H](C)c1ccccc1,1
ZINC000029127359,Cc1noc(-c2ccccc2)c1NC(=O)O[C@@H](C)c1ccccc1,1
ZINC000028903677,C[C@@H](OC(=O)Nc1conc1-c1ccc(CSCCC(=O)O)cc1)C1=C(Cl)CCCC1,1
ZINC000028903681,C[C@H](OC(=O)Nc1conc1-c1ccc(CSCCC(=O)O)cc1)C1=C(Cl)CCCC1,1
ZINC000095572752,C[C@H](OC(=O)Nc1c(-c2ccc(-c3ccc(C4(C(=O)O)CC4)cc3)cc2)cnn1C)c1ccc(F)cc1,1
ZINC000095572753,C[C@@H](OC(=O)Nc1c(-c2ccc(-c3ccc(C4(C(=O)O)CC4)cc3)cc2)cnn1C)c1ccc(F)cc1,1
ZINC000095577403,C[C@@H](OC(=O)Nc1c(-c2ccc(C3CCC(CC(=O)O)CC3)cc2)nnn1C)c1ccccc1,1
ZINC000038147697,CCCCCCCCCCCCCCCCCC(=O)OC[C@@H]1C[C@H](F)[P@](=O)(O)O1,1
ZINC000038147698,CCCCCCCCCCCCCCCCCC(=O)OC[C@@H]1C[C@@H](F)[P@](=O)(O)O1,1
ZINC000049637545,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](COP(=O)(O)O)Cc1ccc(OCc2cc(OCCC)ccn2)cc1,1
ZINC000008219000,CCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)O,1
ZINC000095575698,CC(C)[C@@H](C)OC(=O)Nc1c(-c2ccc(-c3ccc(C4(C(=O)O)CC4)cc3)cc2)nnn1C,1
ZINC000028903613,C[C@@H](OC(=O)Nc1conc1-c1ccc(CCCCC(=O)O)cc1)c1ccccc1Cl,1
ZINC000028903618,C[C@H](OC(=O)Nc1conc1-c1ccc(CCCCC(=O)O)cc1)c1ccccc1Cl,1
ZINC000028903651,C[C@@H](OC(=O)Nc1conc1-c1ccc(NC(=O)CCC(=O)O)cc1)c1ccccc1Cl,1
ZINC000028903656,C[C@H](OC(=O)Nc1conc1-c1ccc(NC(=O)CCC(=O)O)cc1)c1ccccc1Cl,1
ZINC000036178924,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](COP(=O)(O)O)Cc1ccc(Oc2cc3ccccc3[nH]2)cc1,1
ZINC000028903580,C[C@@H](OC(=O)Nc1conc1-c1ccc(CSCCS(=O)(=O)O)cc1)c1ccccc1Cl,1
ZINC000028903585,C[C@H](OC(=O)Nc1conc1-c1ccc(CSCCS(=O)(=O)O)cc1)c1ccccc1Cl,1
ZINC000299836419,COc1ccc(C(=O)/C(=N\C2CCCC2)n2ncc(C#N)c2N)c(F)c1,1
ZINC000299836023,COc1ccc(C(=O)/C(=N\C2CCCC2)n2ncc(C#N)c2N)c(OC)c1,1
ZINC000028903510,C[C@@H](OC(=O)Nc1cnoc1-c1ccc(CSCCC(=O)O)cc1)c1ccccc1Cl,1
ZINC000028903515,C[C@H](OC(=O)Nc1cnoc1-c1ccc(CSCCC(=O)O)cc1)c1ccccc1Cl,1
ZINC000169329161,CCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(=O)(O)O)Cc1ccc(OCc2cc(OCC(F)(F)F)ccn2)cc1,1
ZINC000006745729,C[C@@H](OC(=O)Nc1conc1-c1ccc(CCSCC(=O)O)cc1)c1ccccc1Cl,1
ZINC000028903672,C[C@H](OC(=O)Nc1conc1-c1ccc(CCSCC(=O)O)cc1)c1ccccc1Cl,1
ZINC000095576317,CC(C)[C@@H](C)OC(=O)Nc1c(-c2ccc(-c3ccc(C4(C(=O)O)CC4)cc3)cc2)cnn1C,1
ZINC000028903595,C[C@@H](OC(=O)Nc1conc1-c1ccc(CS(=O)(=O)CCC(=O)O)cc1)c1ccccc1Cl,1
ZINC000028903599,C[C@H](OC(=O)Nc1conc1-c1ccc(CS(=O)(=O)CCC(=O)O)cc1)c1ccccc1Cl,1
ZINC000095571670,Cc1nnn(-c2ccc(-c3ccc(C4(C(=O)O)CC4)cc3)cc2)c1NC(=O)O[C@H](C)c1ccccc1C(F)(F)F,1
ZINC000299828968,COc1ccc(C(=O)/C(=N\C(C)C)n2ncc(C#N)c2N)c(OC)c1,1
ZINC000028903637,C[C@@H](OC(=O)Nc1conc1-c1ccc(CCC(C)(C)CC(=O)O)cc1)c1ccccc1Cl,1
ZINC000028903641,C[C@H](OC(=O)Nc1conc1-c1ccc(CCC(C)(C)CC(=O)O)cc1)c1ccccc1Cl,1
ZINC000036178914,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](COP(=O)(O)O)Cc1ccc(OC2Cc3ccccc3C2)cc1,1
ZINC000014140479,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@H](COP(=O)(O)O)Cc1ccc(OCc2ccccc2)cc1,1
ZINC000036178889,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](COP(=O)(O)O)Cc1ccc(OCc2ccccc2)cc1,1
ZINC000163520386,CCCCCCCCCCCCCCCC(=O)N[C@@H](/C=C/P(=O)(O)O)Cc1ccc(OCc2cc(OCC(F)(F)F)ccn2)cc1,1
ZINC000068247723,Cc1noc(-c2ccc(-c3ccc(CC(=O)O)cc3)cc2)c1NC(=O)O[C@H](C)c1ccccc1,1
ZINC000036178926,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@H](COP(=O)(O)O)Cc1ccc(OCc2ccccn2)cc1,1
ZINC000095579897,Cc1nnn(-c2ccc(-c3ccc(C4(C(=O)O)CC4)cc3)cc2)c1NC(=O)O[C@@H](C)C1CCC1,1
ZINC000095579898,Cc1nnn(-c2ccc(-c3ccc(C4(C(=O)O)CC4)cc3)cc2)c1NC(=O)O[C@H](C)C1CCC1,1
ZINC000095573297,Cc1nnn(-c2ccc(-c3ccc(C4(C(=O)O)CC4)cc3)cc2)c1NC(=O)O[C@H](C)c1cccc(C(F)(F)F)c1,1
ZINC000095578644,Cn1ncc(-c2ccc(-c3ccc(C4(C(=O)O)CC4)cc3)cc2)c1NC(=O)OC1CCC1,1
ZINC000038153251,CCCCCCCC/C=C\CCCCCCCC(=O)NCCOP(=O)(O)O,1
ZINC000036178999,CCCCCCCC(=O)OC[C@@H](COP(=O)(O)O)OC(=O)CCCCCCC,1
ZINC000038153243,CCCCCCCC/C=C\CCCCCCCC(=O)NCCC(=O)P(=O)(O)O,1
ZINC000095572789,Cc1nnn(-c2ccc(-c3ccc(C4(C(=O)O)CC4)cc3)cc2)c1NC(=O)O[C@H](C)C(C)C,1
ZINC000000205636,Cc1ccc(Oc2ccc3c(c2)C(=O)N(CC(=O)O)C3=O)cc1,1
ZINC000038153235,CCCCCCCC/C=C\CCCCCCCC(=O)NCCC(=S)P(=O)(O)O,1
ZINC000036178880,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@H](COP(=O)(O)O)Cc1ccc(OCc2cccc(OC)c2)cc1,1
ZINC000095577042,CC[C@@H](C)OC(=O)Nc1c(C)nnn1-c1ccc(-c2ccc(C3(C(=O)O)CC3)cc2)cc1,1
ZINC000036179002,CCCCCCCC(=O)OC[C@H](COP(=O)(O)O)OC(=O)CCCCCCC,1
ZINC000013648502,CC/C=C/CCCCCCCCCCOP(=O)(O)O,1
ZINC000036179006,CCCCCCCCOC[C@@H](COP(=O)(O)O)OCCCCCCCC,1
ZINC000036184624,CCCCCCC/C=C/CCCCCCCC[C@@H]1OC[C@H](COP(=O)(O)O)O1,1
ZINC000036184625,CCCCCCC/C=C/CCCCCCCC[C@H]1OC[C@H](COP(=O)(O)O)O1,1
ZINC000036184626,CCCCCCC/C=C/CCCCCCCC[C@@H]1OC[C@@H](COP(=O)(O)O)O1,1
ZINC000036184627,CCCCCCC/C=C/CCCCCCCC[C@H]1OC[C@@H](COP(=O)(O)O)O1,1
ZINC000299831923,COc1ccc(C(=O)/C(=N\C2CCCCC2)n2ncc(C#N)c2N)c(OC)c1,1
ZINC000299832742,CCc1ccc(C(=O)/C(=N\C2CCCC2)n2ncc(C#N)c2N)cc1,1
ZINC000036179250,CCCCCCCCCCCC[C@@H]1OC[C@H](COP(=O)(O)O)O1,1
ZINC000036179254,CCCCCCCCCCCC[C@H]1OC[C@H](COP(=O)(O)O)O1,1
ZINC000036179257,CCCCCCCCCCCC[C@@H]1OC[C@@H](COP(=O)(O)O)O1,1
ZINC000036179260,CCCCCCCCCCCC[C@H]1OC[C@@H](COP(=O)(O)O)O1,1
ZINC000095571595,C[C@@H](OC(=O)Nc1c(-c2ccccc2F)cnn1C)c1ccccc1Cl,1
ZINC000036178959,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](COP(=O)(O)O)Cc1ccc(OCc2ccncc2)cc1,1
ZINC000036178965,CCCCCCCCCCCCCCC(F)(F)P(=O)(O)O,1
ZINC000299836416,COc1cc2ccccc2cc1C(=O)/C(=N\C1CCCC1)n1ncc(C#N)c1N,1
ZINC000299828787,COc1cc2c(cc1C(=O)/C(=N\C1CCCC1)n1ncc(C#N)c1N)CCC2,1
ZINC000049765498,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](COP(=O)(O)O)Cc1ccc(OCc2cc(OC)c3ccccc3n2)cc1,1
ZINC000095575691,Cc1nnn(-c2ccc(-c3ccc(C4(C(=O)O)CC4)cc3)cc2)c1NC(=O)OC(C)(C)C,1
ZINC000036178953,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](COP(=O)(O)O)Cc1ccc(OCc2cccnc2)cc1,1
ZINC000036178978,CCCCCCCCCCCCCCOP(=O)(O)O,1
ZINC000013648500,CCCC/C=C/CCCCCCCCOP(=O)(O)O,1
ZINC000038153226,CCCCCCCC/C=C\CCCCCCCC(=O)NCC[C@@H](O)P(=O)(O)O,1
ZINC000038153230,CCCCCCCC/C=C\CCCCCCCC(=O)NCC[C@H](O)P(=O)(O)O,1
ZINC000001673633,CCCCCCCCCCCCOP(=O)(O)O,1
ZINC000049765529,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](COP(=O)(O)O)Cc1ccc(OCc2ccc3ccccc3n2)cc1,1
ZINC000008860531,CCCCCCCCCCCCCCCC(=O)N[C@@H](COP(=O)(O)O)C(=O)O,1
ZINC000036184628,CCCCCCCCc1ccc(CCCCCC[C@@H]2OC[C@H](COP(=O)(O)O)O2)cc1,1
ZINC000036184629,CCCCCCCCc1ccc(CCCCCC[C@H]2OC[C@H](COP(=O)(O)O)O2)cc1,1
ZINC000036184630,CCCCCCCCc1ccc(CCCCCC[C@@H]2OC[C@@H](COP(=O)(O)O)O2)cc1,1
ZINC000036184631,CCCCCCCCc1ccc(CCCCCC[C@H]2OC[C@@H](COP(=O)(O)O)O2)cc1,1
ZINC000038153239,CCCCCCCC/C=C\CCCCCCCC(=O)NCCCP(=O)(O)O,1
ZINC000095578562,C[C@H](OC(=O)Nc1c(-c2ccc(-c3ccc(C4(C(=O)O)CC4)cc3)cc2)nnn1C)c1cccc(C(F)(F)F)c1,1
ZINC000036178956,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](COP(=O)(O)O)Cc1ccc(OCc2cccc(OC)n2)cc1,1
