ID,SMILES,y
ZINC000040430336,O/N=C1\CCc2cc(-c3cn([C@@H]4CCC[C@H](O)C4)nc3-c3ccncc3)ccc21,1
ZINC000039110119,O/N=C1\CCc2cc(-c3cn(C4CCNCC4)nc3-c3ccncc3)ccc21,1
ZINC000035983365,CN1CCC(n2cc(-c3ccc4c(c3)CC/C4=N\O)c(-c3ccncc3)n2)CC1,1
ZINC000040974273,O/N=C1\CCc2cc(-c3cn([C@@H]4CCC[C@@H](O)C4)nc3-c3ccncc3)ccc21,1
ZINC000040425447,CCn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2ccncc2)n1,1
ZINC000040973956,CN[C@@H]1CCC[C@H](n2cc(-c3ccc4c(c3)CC/C4=N\O)c(-c3ccncc3)n2)C1,1
ZINC000040973958,CN[C@H]1CCC[C@H](n2cc(-c3ccc4c(c3)CC/C4=N\O)c(-c3ccncc3)n2)C1,1
ZINC000040973960,CN[C@@H]1CCC[C@@H](n2cc(-c3ccc4c(c3)CC/C4=N\O)c(-c3ccncc3)n2)C1,1
ZINC000040973962,CN[C@H]1CCC[C@@H](n2cc(-c3ccc4c(c3)CC/C4=N\O)c(-c3ccncc3)n2)C1,1
ZINC000038208516,NCCCn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2ccncc2)n1,1
ZINC000035825798,OC[C@@H](O)Cn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2ccncc2)n1,1
ZINC000035825799,OC[C@H](O)Cn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2ccncc2)n1,1
ZINC000040975515,OCCCn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2ccncc2)n1,1
ZINC000035941254,Cn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2ccncc2)n1,1
ZINC000034660146,O/N=C1\CCc2cc(-c3cn([C@H]4CCC[C@@H]4O)nc3-c3ccncc3)ccc21,1
ZINC000035950597,O/N=C1\CCc2cc(-c3cn(C4CCOCC4)nc3-c3ccncc3)ccc21,1
ZINC000040979960,O/N=C1\CCc2cc(-c3c[nH]nc3-c3ccncc3)ccc21,1
ZINC000040974450,Cn1cc(-c2ccc3c(c2)CN/C3=N\O)c(-c2ccncc2)n1,1
ZINC000040425164,O/N=C1\CCc2cc(-c3cn(C4CCCC4)nc3-c3ccncc3)ccc21,1
ZINC000100015335,OCCn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2ccncc2)n1,1
ZINC000038214267,NCCn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2ccncc2)n1,1
ZINC000040429730,CN(C)CCCn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2ccncc2)n1,1
ZINC000040425226,O/N=C1\CCc2cc(-c3cn(C[C@@H]4CCCNC4)nc3-c3ccncc3)ccc21,1
ZINC000040425228,O/N=C1\CCc2cc(-c3cn(C[C@H]4CCCNC4)nc3-c3ccncc3)ccc21,1
ZINC000040424213,Cn1ncc(-c2ccc3c(c2)CC/C3=N\O)c1-c1ccncc1,1
ZINC000040975796,OCC(CO)n1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2ccncc2)n1,1
ZINC000040973128,O/N=C1\CCc2cc(-c3cn([C@H]4CCC[C@H]4O)nc3-c3ccncc3)ccc21,1
ZINC000028520782,N#CNc1ccc(Nc2ncc(C(F)(F)F)c(Nc3ccc4[nH]cnc4c3)n2)cc1NC#N,1
ZINC000028565323,Nc1[nH]nc2nnc(-c3c(-c4ccccc4)nn4ccccc34)cc12,1
ZINC000035931977,O/N=C1\CCc2cc(-c3cn(CC4CCNCC4)nc3-c3ccncc3)ccc21,1
ZINC000016052084,CNc1nccc(-c2ccc(C(=O)N[C@H](CN)Cc3ccc(Cl)cc3Cl)s2)n1,1
ZINC000055760827,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,1
ZINC000102930548,O[C@H]1CC[C@@H](Nc2ncc3nc(Nc4c(F)cc(F)cc4F)n([C@H]4CCOC4)c3n2)CC1,1
ZINC000040424153,COCCn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2ccncc2)n1,1
ZINC000040425407,CN(C)CCn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2ccncc2)n1,1
ZINC000028523951,FC(F)(F)c1cnc(Nc2ccc(Br)cc2)nc1Nc1ccc2[nH]cnc2c1,1
ZINC000040976817,Cn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2cc[nH]c(=O)c2)n1,1
ZINC000049067241,FC(F)(F)c1ccc(Nc2ccnc3nc(-c4ncccc4C(F)(F)F)ccc23)nc1,1
ZINC000040425242,Cn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2ccnc(N)c2)n1,1
ZINC000012369272,O=C1Nc2ccccc2/C1=C/c1c[nH]nc1-c1ccccc1[N+](=O)[O-],1
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,1
ZINC000096177040,COc1cc(O)c2c(c1)/C=C/C[C@@H](O)[C@H](O)C(=O)/C=C\C[C@H](C)OC2=O,1
ZINC000001529266,CCN(CC)C(=S)SSC(=S)N(CC)CC,1
ZINC000040429142,Cn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2ccncn2)n1,1
ZINC000261146269,CS(=O)(=O)CCCOc1cccc2c1ccn2-c1ccnc(N[C@@H]2CC[C@@H](C(=O)N3CCC(O)CC3)CC2)n1,1
ZINC000040973541,Cn1cc(-c2ccc3c(c2)Cc2c[nH]nc2-3)c(-c2ccncc2)n1,1
ZINC000040974801,Cn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2cnco2)n1,1
ZINC000001530968,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,1
ZINC000005434436,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,1
ZINC000000582590,CC(C)[C@H](CO)Nc1nc(Nc2ccc(C(=O)O)c(Cl)c2)c2ncn(C(C)C)c2n1,1
ZINC000058655676,CC(C)c1cnn2c(NCc3ccccc3)cc(N[C@@H](CO)[C@H](O)CO)nc12,1
ZINC000000896717,COc1cc(/C(O)=N/S(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,1
ZINC000095551772,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CN1CCN(c3cc(N4CCCC4)nc(N4CCCC4)n3)CC1)O2,1
ZINC000095551773,Cc1c(C)c2c(c(C)c1O)CC[C@](C)(CN1CCN(c3cc(N4CCCC4)nc(N4CCCC4)n3)CC1)O2,1
ZINC000003830942,Oc1c(I)cc(I)c2cccnc12,1
ZINC000000057645,O=c1cc(-c2ccccc2)oc2ccc3ccccc3c12,1
ZINC000006382803,Nc1nc2nc[nH]c2c(=S)[nH]1,1
ZINC000001542916,CCCCCCNC(=O)n1cc(F)c(O)nc1=O,1
ZINC000000582575,CC(C)[C@H](CO)Nc1nc(Nc2cccc(Cl)c2)c2ncn(C(C)C)c2n1,1
ZINC000003781738,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,1
ZINC000040974452,Cn1cc(-c2ccc3c(c2)CCN/C3=N\O)c(-c2ccncc2)n1,1
ZINC000103257486,Nc1cccc(-c2cnc3[nH]cc(-c4cccc(NC(=O)Nc5cc(C(F)(F)F)ccc5F)c4)c3c2)c1,0
ZINC000103264450,COc1ncc(-c2ccc3nc(N)n(-c4ccccc4)c(=O)c3c2)cc1NS(=O)(=O)c1cccnc1,0
