ID,SMILES,y
ZINC000299862535,CCS(=O)(=O)N1CCN(c2ccc(OCc3c(-c4cccc5c(CCCOc6cccc7ccccc67)c(C(=O)O)n(CCN6CCOCC6)c45)c(C)nn3C)cc2)CC1,1
ZINC000299862244,CC(=O)N1CCN(c2ccc(OCc3c(-c4cccc5c(CCCOc6cccc7ccccc67)c(C(=O)O)n(CCN6CCOCC6)c45)c(C)nn3C)cc2)CC1,1
ZINC000299866753,CCCS(=O)(=O)N1CCN(c2ccc(OCc3c(-c4cccc5c(CCCOc6cccc7ccccc67)c(C(=O)O)n(CCN6CCOCC6)c45)c(C)nn3C)cc2)CC1,1
ZINC000299855472,Cc1nn(C)c(COc2ccc(N3CCN(S(C)(=O)=O)CC3)cc2)c1-c1cccc2c(CCCOc3cccc4ccccc34)c(C(=O)O)n(CCN3CCOCC3)c12,1
ZINC000203551910,Cc1nn(C)c(COc2ccc(N3CCN(S(=O)(=O)N(C)C)CC3)cc2)c1-c1cccc2c(CCCOc3cccc4ccccc34)c(C(=O)O)n(CCN3CCOCC3)c12,1
ZINC000299852137,COCCCc1c(C(=O)O)n(CCN2CCOCC2)c2c(-c3c(C)nn(C)c3COc3ccc(N4CCN(S(=O)(=O)N(C)C)CC4)cc3)cccc12,1
ZINC000299866047,Cc1nn(C)c(COc2ccc(N3CCN(S(=O)(=O)N4CCOCC4)CC3)cc2)c1-c1cccc2c(CCCOc3cccc4ccccc34)c(C(=O)O)n(CCN3CCOCC3)c12,1
ZINC000143587742,Cc1nn(C)c(C)c1-c1cccc2c(CCCOc3cccc4ccccc34)c(C(=O)O)n(CCN3CCOCC3)c12,1
ZINC000164088109,CC(=O)N1CCN(c2ccc(OCc3nn(C)c(C)c3-c3cccc4c(CCCOc5cccc6ccccc56)c(C(=O)O)n(Cc5cccnc5)c34)cc2)CC1,1
ZINC000299864509,CCOC(=O)c1c(CCCOc2cccc3ccccc23)c2cccc(-c3c(C)nn(C)c3COc3ccc(N4CCNCC4)cc3)c2n1CCN1CCOCC1,1
ZINC000299855547,Cc1nn(C)c(COc2ccccc2)c1-c1cccc2c(CCCOc3cccc4ccccc34)c(C(=O)O)n(CCN3CCOCC3)c12,1
ZINC000299852262,Cc1cc(OCCCc2c(C(=O)O)n3c4c(c(Cl)ccc24)CCC3)cc(C)c1Cl,1
ZINC000066075056,N#Cc1c2c3ccc(Sc4ccc(N)cc4)c4cccc(c-2nc1=O)c43,1
ZINC000143977927,Cc1ccccc1-c1cccc2c(CCCOc3cccc4ccccc34)c(C(=O)O)n(CCN3CCOCC3)c12,1
ZINC000299851670,Cc1cc(OCCCc2c(C(=O)O)n3c4c(c(Cl)ccc24)OCC3)cc(C)c1Cl,1
ZINC000095594435,Nc1ccc(Sc2ccc3c4c(NCCCc5ccccc5)c(=O)nc-4c4cccc2c43)cc1,1
ZINC000095579637,CC(C)c1ccc(Sc2ccc3c(c2)C(=O)c2cc(O)c(O)cc2C3=O)cc1,1
ZINC000095596887,O=c1nc2c3cccc4c(N5CCSCC5)ccc(c-2c1NCCCc1ccccc1)c43,1
ZINC000028656069,Cc1oc2c(CC(C)C)c(O)c(O)c(O)c2c(=O)c1-c1ccc(-c2c(C)oc3c(CC(C)C)c(O)c(O)c(O)c3c2=O)cc1,1
ZINC000072181524,CC[C@@H](C)c1ccc(Oc2ccc3c4c(C#N)c(=O)nc-4c4cccc2c43)cc1,1
ZINC000072181525,CC[C@H](C)c1ccc(Oc2ccc3c4c(C#N)c(=O)nc-4c4cccc2c43)cc1,1
ZINC000095596716,CCCCCCNc1c2c3ccc(Sc4ccc(N)cc4)c4cccc(c-2nc1=O)c43,1
ZINC000103239675,Cc1ccc(-c2ccc(C(=O)O)c(NS(=O)(=O)c3ccc(OCCn4cccn4)cc3)c2)c2ccccc12,1
ZINC000045339985,N#Cc1c2c3ccc(N4CCSCC4)c4cccc(c-2nc1=O)c43,1
ZINC000095933259,Cc1ccccc1-c1cccc2c(CCCOc3cccc4ccccc34)c(C(=O)O)[nH]c12,1
ZINC000029136330,O=C(c1ccc(Oc2ccccc2)cc1)c1cc(C(=O)c2nc3ccccc3s2)c(O)c(O)c1O,1
ZINC000095596613,CCCCCCNc1c2c3ccc(N4CCSCC4)c4cccc(c-2nc1=O)c43,1
ZINC000095596816,CCCCCNc1c2c3ccc(N4CCSCC4)c4cccc(c-2nc1=O)c43,1
ZINC000095575900,Cc1ccc(Sc2ccc3c(c2)C(=O)c2cc(O)c(O)cc2C3=O)cc1,1
ZINC000049776339,CN(CCCc1ccccc1)S(=O)(=O)c1cc(C(=O)N2CCc3ccc(S(=O)(=O)NCCc4ccccc4)cc3C2)c(O)c(O)c1O,1
ZINC000095597380,CC(C)c1ccc(Oc2ccc3c4c(NCCCc5ccccc5)c(=O)nc-4c4cccc2c43)cc1,1
ZINC000299852651,Cc1cc(OCCCc2c(C(=O)O)n3c4c(cccc24)SCCC3)cc(C)c1Cl,1
ZINC000095594309,O=c1nc2c3cccc4c(Sc5ccc(OO)cc5)ccc(c-2c1NCCCc1ccccc1)c43,1
ZINC000066075054,N#Cc1c2c3ccc(Sc4ccc(Br)cc4)c4cccc(c-2nc1=O)c43,1
ZINC000095598224,CCCCNc1c2c3ccc(Sc4ccc(N)cc4)c4cccc(c-2nc1=O)c43,1
ZINC000095580214,O=C1c2ccc(Sc3ccccc3)cc2C(=O)c2cc(O)c(O)cc21,1
ZINC000095598245,CC(C)c1ccc(Sc2c[nH]c(=O)c(C(=O)NCc3ccccc3)c2)cc1,1
ZINC000095596013,Cc1cc(OCCCc2c(C(=O)O)[nH]c3cc(Cl)ccc23)cc(C)c1Cl,1
ZINC000095576981,O=C1c2ccc(Sc3ccc(Br)cc3)cc2C(=O)c2cc(O)c(O)cc21,1
ZINC000103239672,Cc1ccc(-c2ccc(C(=O)O)c(NS(=O)(=O)c3ccc(OCCCN4CCOCC4)cc3)c2)c2ccccc12,1
ZINC000299850589,O=C(O)c1c(CCCOc2cccc3ccccc23)c2cccc3c2n1CCCS3(=O)=O,1
ZINC000299871179,O=C(NS(=O)(=O)c1ccc([N+](=O)[O-])cc1)[C@H](Cc1ccc(Br)cc1)N1C(=O)/C(=C/c2ccc(-c3ccc(Cl)cc3)cc2)SC1=S,1
ZINC000299850114,Cc1cc(OCCCc2c(C(=O)O)n3c4c(cccc24)OCC3)cc(C)c1Cl,1
ZINC000095595870,O=C(O)c1[nH]c2cc(Cl)ccc2c1CCCOc1cccc2c1CCCC2,1
ZINC000299868632,O=C(NS(=O)(=O)c1ccccc1)[C@H](Cc1ccc(Br)cc1)N1C(=O)/C(=C/c2ccc(-c3ccc(Cl)cc3)cc2)SC1=S,1
ZINC000299852140,Cc1cc(OCCCc2c(C(=O)O)n3c4c(cccc24)SCC3)cc(C)c1Cl,1
