ID,SMILES,y
ZINC000254075224,N[C@H]1CC[C@H](Cn2nc(-c3ccc(N4CCNCC4)cc3)c3cnc(NCCCc4ccccc4)nc32)CC1,1
ZINC000261129176,CCCCNc1ncc2c(-c3ccc(N4CCNCC4)cc3)nn(C[C@@H]3CC[C@@H](N)CC3)c2n1,1
ZINC000043204048,COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1,1
ZINC000144675579,CCCCNc1ncc2c(-c3ccc(S(=O)(=O)N4CCOCC4)cc3)nn([C@@H]3CC[C@H](O)CC3)c2n1,1
ZINC000299826447,CCCCNc1ncc2c(-c3ccc(S(=O)(=O)N4CCN(C)CC4)c(F)c3)cn([C@@H]3CC[C@@H](O)CC3)c2n1,1
ZINC000261181447,CCCCNc1ncc(-c2ccc(CNC3CCCCC3)cn2)c(N[C@@H]2CC[C@@H](O)CC2)n1,1
ZINC000261184546,CCCCNc1ncc(-c2ccc(C(=O)NC3CCN(C)CC3)cn2)c(N[C@@H]2CC[C@@H](O)CC2)n1,1
ZINC000261185113,CCCCNc1ncc(-c2ccc(S(=O)(=O)N3CCOCC3)cn2)c(N[C@@H]2CC[C@@H](O)CC2)n1,1
ZINC000249857461,CCCCNc1ncc2c(-c3ccc(CN4CCN(C)CC4)cc3)cn([C@@H]3CC[C@@H](O)CC3)c2n1,1
ZINC000261091168,N[C@H]1CC[C@H](Cn2nc(-c3ccc(N4CCNCC4)nc3)c3cnc(NCCCc4ccccc4)nc32)CC1,1
ZINC000261143430,CCCCNc1ncc(-c2ccc(CNCCO)cn2)c(N[C@@H]2CC[C@@H](O)CC2)n1,1
ZINC000038995988,O=C(Nc1c[nH]nc1-c1nc2cc(CN3CCOCC3)ccc2[nH]1)NC1CC1,1
ZINC000261141663,CCCCNc1ncc(-c2ccc(CN3CCC(F)(F)CC3)cn2)c(N[C@@H]2CC[C@@H](O)CC2)n1,1
ZINC000261155790,CCCCNc1ncc(-c2ccc(CNC3CC3)cn2)c(N[C@@H]2CC[C@@H](O)CC2)n1,1
ZINC000299829706,CN1CCN(Cc2ccc(-c3cn([C@@H]4CC[C@@H](O)CC4)c4nc(NCCC5CC5)ncc34)cc2)CC1,1
ZINC000299829792,CN1CCN(S(=O)(=O)c2ccc(-c3cn([C@@H]4CC[C@@H](O)CC4)c4nc(NCCC5CC5)ncc34)c(F)c2)CC1,1
ZINC000253387880,CCCCNc1ncc(-c2ccc(CN3CCOCC3)cn2)c(N[C@@H]2CC[C@@H](O)CC2)n1,1
ZINC000261183492,CCCCNc1ncc(-c2ccc(CN(C)C)cn2)c(N[C@@H]2CC[C@@H](O)CC2)n1,1
ZINC000261121394,CCCCNc1ncc(-c2ccccn2)c(N[C@@H]2CC[C@@H](N)CC2)n1,1
ZINC000261189066,CCCCNc1ncc2c(-c3ccc(N4CCNCC4)nc3)nn(C[C@@H]3CC[C@@H](N)CC3)c2n1,1
ZINC000254080532,N[C@H]1CC[C@H](Cn2nc(-c3ccc(F)cc3)c3cnc(NCCCc4ccccc4)nc32)CC1,1
ZINC000261113448,CCCCNc1ncc(C(=O)Nc2ccc(S(=O)(=O)N3CCOCC3)cc2)c(N[C@@H]2CC[C@@H](N)CC2)n1,1
ZINC000261190147,CCCCNc1ncc(-c2ccc(N3CCN(C)CC3)cn2)c(N[C@@H]2CC[C@@H](O)CC2)n1,1
ZINC000254077925,CCCCNc1ncc2c(-c3ccc(F)cc3)nn(C[C@@H]3CC[C@@H](N)CC3)c2n1,1
ZINC000261080381,CCCCNc1ncc(-c2ccc(NC(=O)C3CCN(C)CC3)cn2)c(N[C@@H]2CC[C@@H](O)CC2)n1,1
ZINC000035902489,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,1
ZINC000261187596,CCCCNc1ncc(-c2ccc(CN3CCN(C)CC3)cn2)c(N[C@@H]2CC[C@@H](O)CC2)n1,1
ZINC000261090482,CCCCNc1ncc(C(=O)NC2CCN(c3ncccn3)CC2)c(N[C@@H]2CC[C@@H](O)CC2)n1,1
ZINC000252586120,CCCCNc1ncc(C(=O)NCc2ccc(-n3ccnc3)cc2)c(N[C@@H]2CC[C@@H](O)CC2)n1,1
ZINC000261072144,CCCCNc1ncc(-c2ccccn2)c(N[C@@H]2CC[C@@H](CN)CC2)n1,1
ZINC000261086449,CCCCNc1ncc(C(=O)NCc2ccc(S(N)(=O)=O)cc2)c(N[C@@H]2CC[C@@H](O)CC2)n1,1
ZINC000084653113,CCCCNc1ncc2c(-c3ccccc3)nn(CC3CCC(N)CC3)c2n1,1
ZINC000261090447,CCCCNc1ncc(C(=O)Nc2ccc(S(=O)(=O)N3CCOCC3)cc2)c(N[C@@H]2CC[C@@H](O)CC2)n1,1
ZINC000261109229,CCCCNc1ncc(-c2ccc(F)cn2)c(N[C@@H]2CC[C@@H](O)CC2)n1,1
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,1
ZINC000261095947,CCCCNc1ncc(C(=O)Nc2ccc(CN3CCOCC3)cc2)c(N[C@@H]2CC[C@@H](O)CC2)n1,1
ZINC000261121332,O=C(Nc1ccc(S(=O)(=O)N2CCOCC2)cc1)c1cnc(NCCC2CC2)nc1N[C@@H]1CC[C@@H](O)CC1,1
ZINC000261171183,CCCCNc1ncc(C(=O)NC2CCCCC2)c(N[C@@H]2CC[C@@H](O)CC2)n1,1
ZINC000084653545,NC1CCC(Cn2nc(-c3ccccc3)c3cnc(NCc4ccccc4)nc32)CC1,1
ZINC000261087807,CCCCNc1ncc(C(=O)NC2CCN(C(C)C)CC2)c(N[C@@H]2CC[C@@H](O)CC2)n1,1
ZINC000100014909,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,1
ZINC000261192712,CCCCNc1ncc(C(=O)NC2CCNCC2)c(N[C@@H]2CC[C@@H](O)CC2)n1,1
ZINC000084709285,COc1ccc(CNc2ncc3c(-c4ccccc4)nn(CC4CCC(N)CC4)c3n2)cc1,1
ZINC000084711122,NC1CCC(Cn2nc(-c3ccccc3)c3cnc(NCCCc4ccccc4)nc32)CC1,1
ZINC000261098806,CCCNc1ncc(C(=O)Nc2ccc(S(=O)(=O)N3CCOCC3)cc2)c(N[C@@H]2CC[C@@H](O)CC2)n1,1
ZINC000261156434,CCCCNc1ncc(-c2cc(CN3CCOCC3)ccn2)c(N[C@@H]2CC[C@@H](O)CC2)n1,1
ZINC000084669644,CCCNc1ncc2c(-c3ccccc3)nn(CC3CCC(N)CC3)c2n1,1
ZINC000084710148,NC1CCC(Cn2nc(-c3ccccc3)c3cnc(NCCc4ccccc4)nc32)CC1,1
ZINC000261087646,CCCCNc1ncc(C(=O)NC2CCOCC2)c(N[C@@H]2CC[C@@H](O)CC2)n1,1
ZINC000039716080,CCOc1ccn(-c2ccc(F)cc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc(N)c2Cl)c(F)c1,1
ZINC000084653518,CCCCCNc1ncc2c(-c3ccccc3)nn(CC3CCC(N)CC3)c2n1,1
ZINC000261089298,CCCCNc1ncc(C(=O)NCc2ccc(F)cc2)c(N[C@@H]2CC[C@@H](O)CC2)n1,1
ZINC000261138200,CCCCNc1ncc(C(=O)Nc2ccc(N3CCOCC3)cc2)c(N[C@@H]2CC[C@@H](O)CC2)n1,1
ZINC000261139955,O[C@@H]1CC[C@@H](Nc2nc(NCCc3ccccc3)ncc2-c2ccccn2)CC1,1
ZINC000261177077,CCCCNc1ncc(C(=O)Nc2ccc(OC)cc2)c(N[C@@H]2CC[C@@H](O)CC2)n1,1
ZINC000261091003,CCCCNc1ncc(-c2ccccn2)c(N[C@@H]2CC[C@@H](O)CC2)n1,1
ZINC000084709112,CNc1ncc2c(-c3ccc(N4CCNCC4)cc3)nn(CC3CCC(N)CC3)c2n1,1
ZINC000103242264,CCCCNc1ncc(-c2ccccn2)c(Nc2ccc(N)cc2)n1,1
ZINC000254094473,CC(C)NC(=O)[C@H]1CC[C@@H](n2c(NC(=O)c3ccc(F)cc3)nc3ccc(CN4CCC(C(C)(C)O)CC4)cc32)CC1,1
ZINC000261183204,CCCCNc1ncc(-c2ccccn2)c(NC[C@@H]2CC[C@@H](N)CC2)n1,1
ZINC000261192737,CCCCNc1ncc(-c2cccc(CN3CCOCC3)n2)c(N[C@@H]2CC[C@@H](O)CC2)n1,1
ZINC000055760827,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,1
ZINC000261088740,CCCCCNc1ncc(-c2ccccn2)c(N[C@@H]2CC[C@@H](O)CC2)n1,1
ZINC000261090647,CCCCNc1ncc(C(=O)Nc2ccc(F)cc2)c(N[C@@H]2CC[C@@H](O)CC2)n1,1
