ID,SMILES,y
ZINC000013803822,CC(C)[C@H](NS(=O)(=O)c1ccc(-c2ccccc2)cc1)C(=O)O,1
ZINC000026639823,CC(C)[C@@H](NS(=O)(=O)c1ccc(-c2ccccc2)cc1)C(=O)O,1
ZINC000003780014,CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](CC(=O)NO)CC(C)C,1
ZINC000034047836,C#CCN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc(OC)cc3)cc2)CC1,1
ZINC000000580328,CC1(C)SCCN(S(=O)(=O)c2ccc(Oc3ccncc3)cc2)[C@H]1C(=O)NO,1
ZINC000001488366,O=C(NO)C1(CS(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CCOCC1,1
ZINC000028970164,CNCCOc1cccc(-c2ccc(C3CCN(S(=O)(=O)C(C)(C)C(=O)NO)CC3)cc2C)c1,1
ZINC000003941984,O=C(NO)[C@H]1[C@@H](O)[C@H](O)[C@H](O)CN1S(=O)(=O)c1ccc(Oc2ccccc2)cc1,1
ZINC000003915752,CCCc1ccc(CC[C@H](C[C@H](CCCCN2Cc3ccccc3C2=O)C(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)Nc2ccccc2)cc1,1
ZINC000028970157,Cc1cc(C2CCN(S(=O)(=O)C(C)(C)C(=O)NO)CC2)ccc1-c1cccc(OCCN)c1,1
ZINC000029340192,CC#CCOc1ccc(S(=O)(=O)N2C[C@@H](O)[C@@H](O)[C@H](OC)[C@@H]2C(=O)NO)cc1,1
ZINC000013472496,CCO[P@@](=O)(c1ccc(Oc2ccc(N)cc2)cc1)N1Cc2ccccc2C[C@@H]1C(=O)NO,1
ZINC000027650226,CNC(=O)[C@@H](NC(=O)[C@H](CCCc1ccc(-c2ccccc2)c(C)c1)CC(=O)NO)C(C)(C)C,1
ZINC000028009001,CCO[P@](=O)(c1ccc(Oc2ccc(N)cc2)cc1)N1Cc2ccccc2C[C@@H]1C(=O)NO,1
ZINC000299809985,CCO[P@](=O)(c1ccc(Oc2ccc(N)cc2)cc1)N1Cc2ccccc2C[C@H]1C(=O)NO,1
ZINC000299809986,CCO[P@@](=O)(c1ccc(Oc2ccc(N)cc2)cc1)N1Cc2ccccc2C[C@H]1C(=O)NO,1
ZINC000013537266,O=C(NO)[C@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1S(=O)(=O)c1ccc(Oc2ccccc2)cc1,1
ZINC000013472494,CCO[P@@](=O)(c1ccc(Oc2ccccc2)cc1)N1Cc2ccccc2C[C@@H]1C(=O)NO,1
ZINC000028012042,CCO[P@](=O)(c1ccc(Oc2ccccc2)cc1)N1Cc2ccccc2C[C@@H]1C(=O)NO,1
