ID,SMILES,y
ZINC000028473534,N[C@@H]1N=CNc2c(CN3C[C@@H](O)[C@@H](CSc4ccc(Cl)cc4)C3)c[nH]c21,1
ZINC000140939883,N[C@@H]1N=CNc2c(CN3C[C@H](CSc4ccc(Cl)cc4)[C@@H](O)C3)c[nH]c21,1
ZINC000261186330,N[C@@H]1NC=Nc2c(CN3C[C@@H](O)[C@H](CSc4ccc(Cl)cc4)C3)c[nH]c21,1
ZINC000261186331,N[C@@H]1NC=Nc2c(CN3C[C@H](O)[C@H](CSc4ccc(Cl)cc4)C3)c[nH]c21,1
ZINC000028465443,CCSC[C@@H]1CN(Cc2c[nH]c3c2N=CN[C@@H]3N)C[C@@H]1O,1
ZINC000058547120,CCSC[C@@H]1CN(Cc2c[nH]c3c2N=CN[C@@H]3N)C[C@H]1O,1
ZINC000253637823,CCSC[C@@H]1CN(Cc2c[nH]c3c2NC=N[C@H]3N)C[C@@H]1O,1
ZINC000253637826,CCSC[C@@H]1CN(Cc2c[nH]c3c2NC=N[C@H]3N)C[C@H]1O,1
ZINC000011686540,CSC[C@H]1CN(Cc2c[nH]c3c(N)ncnc23)C[C@@H]1O,1
ZINC000028463012,CSC[C@@H]1CN(Cc2c[nH]c3c(N)ncnc23)C[C@@H]1O,1
ZINC000058546763,CSC[C@@H]1CN(Cc2c[nH]c3c(N)ncnc23)C[C@H]1O,1
ZINC000167390577,CSC[C@H]1CN(Cc2c[nH]c3c(N)ncnc23)C[C@H]1O,1
ZINC000028472754,CCCCSC[C@@H]1CN(Cc2c[nH]c3c2N=CN[C@@H]3N)C[C@@H]1O,1
ZINC000058648836,CCCCSC[C@@H]1CN(Cc2c[nH]c3c2N=CN[C@@H]3N)C[C@H]1O,1
ZINC000261133474,CCCCSC[C@@H]1CN(Cc2c[nH]c3c2N=CN[C@H]3N)C[C@@H]1O,1
ZINC000261133475,CCCCSC[C@@H]1CN(Cc2c[nH]c3c2N=CN[C@H]3N)C[C@H]1O,1
ZINC000028465719,CCCSC[C@@H]1CN(Cc2c[nH]c3c2N=CN[C@@H]3N)C[C@@H]1O,1
ZINC000261105033,CCCSC[C@@H]1CN(Cc2c[nH]c3c2N=CN[C@H]3N)C[C@@H]1O,1
ZINC000261105034,CCCSC[C@@H]1CN(Cc2c[nH]c3c2N=CN[C@H]3N)C[C@H]1O,1
ZINC000261105035,CCCSC[C@@H]1CN(Cc2c[nH]c3c2N=CN[C@@H]3N)C[C@H]1O,1
ZINC000028467097,N[C@@H]1N=CNc2c(CN3C[C@@H](O)[C@@H](CSc4ccc(F)cc4)C3)c[nH]c21,1
ZINC000028473231,N[C@@H]1N=CNc2c(CN3C[C@@H](O)[C@@H](CSc4ccncc4)C3)c[nH]c21,1
ZINC000261076017,N[C@@H]1NC=Nc2c(CN3C[C@H](CSc4ccc(F)cc4)[C@@H](O)C3)c[nH]c21,1
ZINC000261076018,N[C@@H]1NC=Nc2c(CN3C[C@@H](O)[C@H](CSc4ccc(F)cc4)C3)c[nH]c21,1
ZINC000261076019,N[C@@H]1NC=Nc2c(CN3C[C@H](O)[C@H](CSc4ccc(F)cc4)C3)c[nH]c21,1
ZINC000261151510,N[C@@H]1NC=Nc2c(CN3C[C@@H](O)[C@H](CSc4ccncc4)C3)c[nH]c21,1
ZINC000261151512,N[C@@H]1NC=Nc2c(CN3C[C@H](CSc4ccncc4)[C@@H](O)C3)c[nH]c21,1
ZINC000261151516,N[C@@H]1NC=Nc2c(CN3C[C@H](O)[C@H](CSc4ccncc4)C3)c[nH]c21,1
ZINC000101008142,Nc1[nH]cnc2c([C@@H]3N[C@H](CSc4ccc(Cl)cc4)[C@H](O)[C@@H]3O)cnc1-2,1
ZINC000101008149,Nc1[nH]cnc2c([C@@H]3N[C@H](CSc4ccc(Cl)cc4)[C@@H](O)[C@@H]3O)cnc1-2,1
ZINC000261126359,Nc1[nH]cnc2c([C@@H]3N[C@H](CSc4ccc(Cl)cc4)[C@@H](O)[C@H]3O)cnc1-2,1
ZINC000261126360,Nc1[nH]cnc2c([C@@H]3N[C@H](CSc4ccc(Cl)cc4)[C@H](O)[C@H]3O)cnc1-2,1
ZINC000028465219,N[C@@H]1N=CNc2c(CN3C[C@@H](O)[C@@H](CSc4ccccc4)C3)c[nH]c21,1
