ID,SMILES,y
ZINC000043077644,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5ccc(CO)cc5)cc4)nc32)CC1,1
ZINC000045245811,CCn1ncc2c(N3C[C@@H]4CC[C@H](C3)O4)nc(-c3ccc(NC(=O)Nc4cccnc4)cc3)nc21,1
ZINC000045245938,CCn1ncc2c(N3C[C@@H]4CC[C@H](C3)O4)nc(-c3ccc(NC(=O)Nc4ccc(CO)cc4)cc3)nc21,1
ZINC000045324652,CCn1ncc2c(N3C[C@@H]4CC[C@H](C3)O4)nc(-c3ccc(NC(=O)Nc4ccc(CCO)cc4)cc3)nc21,1
ZINC000049784582,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5ccc(CCO)cc5)cc4)nc32)CC1,1
ZINC000169289388,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,1
ZINC000253776905,C[C@@H]1COCCN1c1nc(-c2ccc(NC(=O)Nc3ccc(C(=O)NCCN(C)C)cc3)cc2)nc(N2[C@H]3CC[C@H]2COC3)n1,1
ZINC000049695178,COC(=O)N1CCC(n2ncc3c(N4C[C@@H]5CC[C@H](C4)O5)nc(-c4ccc(NC(=O)Nc5cccnc5)cc4)nc32)CC1,1
ZINC000045388599,CNC(=O)Nc1ccc(-c2nc(N3C[C@@H]4CC[C@H](C3)O4)c3cnn(C(C)C)c3n2)cc1,1
ZINC000049762798,O=C(Nc1ccncc1)Nc1ccc(-c2nc(N3C[C@@H]4CC[C@H](C3)O4)c3cnn(C4CCC5(CC4)OCCO5)c3n2)cc1,1
ZINC000049762847,O=C(Nc1ccc(-c2nc(N3C[C@@H]4CC[C@H](C3)O4)c3cnn(C4CCC5(CC4)OCCO5)c3n2)cc1)Nc1cccnc1,1
ZINC000052509466,COc1ccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)cc1CO,1
ZINC000101336023,CN(C)CCNC(=O)c1ccc(NC(=O)Nc2ccc(-c3nc(C4CCOCC4)nc(N4[C@H]5CC[C@H]4COC5)n3)cc2)cc1,1
ZINC000049762642,O=C(Nc1ccccc1)Nc1ccc(-c2nc(N3C[C@@H]4CC[C@H](C3)O4)c3cnn(C4CCC5(CC4)OCCO5)c3n2)cc1,1
ZINC000100093688,COC(=O)N1CCC(n2ncc3c(N4[C@H]5CC[C@H]4COC5)nc(-c4ccc(NC(=O)Nc5cccnc5)cc4)nc32)CC1,1
ZINC000045301701,CCNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)OCC)CC4)c3n2)cc1,1
ZINC000261086077,O=C(Nc1ccc(CO)cc1)Nc1ccc(-c2nc(N3[C@H]4CC[C@H]3COC4)nc(N3[C@H]4CC[C@H]3COC4)n2)cc1,1
ZINC000049709338,O=C(Nc1ccc(-c2nc(N3C[C@@H]4CC[C@H](C3)O4)c3cnn(CC(F)(F)F)c3n2)cc1)Nc1cccnc1,1
ZINC000049771197,CNC(=O)Nc1ccc(-c2nc(N3C[C@@H]4CC[C@H](C3)O4)c3cnn(C4CCN(C(=O)OC(C)C)CC4)c3n2)cc1,1
ZINC000042965168,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5cccnc5)cc4)nc32)CC1,1
