ID,SMILES,y
ZINC000169341667,CC(C)CCN(C(=O)COc1ccccc1)c1ncc(C(=O)NCCCn2ccnc2)s1,1
ZINC000103247757,N#C/N=C(\NCCCCCCC(=O)N(OCCN1CCOCC1)C1CCCCC1)Nc1ccncc1,1
ZINC000096283430,C#CCN(Cc1cc2c(=O)n(C)c(CN3CCN(C)CC3)nc2cc1Br)c1ccc(C(=O)NCc2cccnc2)cc1,1
ZINC000003828115,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,1
ZINC000072110192,C#CCN(Cc1cc2c(=O)n(C)c(CN3CCN(CCCN)CC3)nc2cc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,1
ZINC000103247769,N#C/N=C(\NCCCCCCS(=O)(=O)N(OCCN1CCOCC1)C1CCCCC1)Nc1ccncc1,1
ZINC000022036130,C#CCN(Cc1cc2c(=O)n(C)c(CN3CCN(C)CC3)nc2cc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,1
ZINC000169341668,COCC(=O)N(CCC(C)C)c1ncc(C(=O)NCCCn2ccnc2)s1,1
ZINC000072108862,CC(C)=CCN(Cc1cc2c(=O)n(C)nnc2cc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,1
ZINC000169341663,O=C(NCCCn1ccnc1)c1cnc(N(Cc2ccc(F)cc2)C(=O)CC2CCCCC2)s1,1
ZINC000072107192,C#CCN(Cc1cc2c(=O)n(C)c(C)nc2cc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,1
ZINC000103230472,N#C/N=C(\NCc1ccc(S(=O)(=O)c2cc(F)cc(F)c2)cc1)Nc1ccncc1,1
ZINC000169341665,O=C(NCCCn1ccnc1)c1cnc(N(Cc2ccc(F)cc2)C(=O)CN2CC=CCC2)s1,1
ZINC000072107303,C#CCN(Cc1cc2c(=O)n(C)c(CO)nc2cc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,1
ZINC000096282757,O=C(NCc1ccc(S(=O)(=O)c2ccc(N3CCOCC3)nc2)cc1)c1cnc2nccn2c1,1
ZINC000096282758,O=C(NCc1ccc(S(=O)(=O)c2cccc(C(F)(F)F)c2)cc1)c1cnc2nccn2c1,1
ZINC000095920765,O=C(NCc1ccc(S(=O)(=O)c2cc(F)cc(F)c2)cc1)c1ccc2nccn2c1,1
ZINC000103247755,N#C/N=C(\NCCCCCCC(=O)NOC1CCCCC1)Nc1ccncc1,1
ZINC000072108610,CC(C)=CCN(Cc1ccc2ncn(C)c(=O)c2c1)c1ccc(C(=O)NCc2cccnc2)cc1,1
ZINC000096283429,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)c2ccccc2OC(F)(F)F)cc1,1
ZINC000113253160,O=C(NCc1ccc(S(=O)(=O)c2cccc(C(F)(F)F)c2)cc1)c1cnc2[nH]ncc2c1,1
ZINC000072107830,O=C(NCc1cccnc1)c1ccc(N(Cc2ccccc2Cl)CC2CC2)cc1,1
ZINC000072139900,CC(C)=CCN(Cc1ccc2nc(C)n(C)c(=O)c2c1)c1ccc(C(=O)NCc2cccnc2)cc1,1
ZINC000072107609,C/C=C/CN(Cc1ccccc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,1
ZINC000103230469,N#C/N=C(\NCc1ccc(S(=O)(=O)c2ccc(N3CCOCC3)nc2)cc1)Nc1ccncc1,1
ZINC000072107831,CC(C)=CCN(Cc1ccccc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,1
ZINC000103231975,COc1cccc(S(=O)(=O)c2ccc(CN/C(=N\C#N)Nc3ccncc3)cc2)c1,1
ZINC000013282570,N#CN/C(=N\CCCCCCOc1ccc(Cl)cc1)Nc1ccncc1,1
ZINC000096282759,O=C(NCc1ccc(S(=O)(=O)c2cc(F)cc(F)c2)cc1)c1cnc2nccn2c1,1
ZINC000096282786,O=C(NCc1ccc(S(=O)(=O)c2ccccc2)cc1)c1cnc2nccn2c1,1
ZINC000096283101,O=C(NCc1ccc(S(=O)(=O)C2CCCCC2)cc1)N1Cc2ccncc2C1,1
ZINC000103230467,N#C/N=C(\NCc1ccc(S(=O)(=O)c2cccnc2)cc1)Nc1ccncc1,1
ZINC000103241081,CC(C)(O)Cn1cc(S(=O)(=O)c2ccc(NC(=O)[C@@H]3C[C@H]3c3cccnc3)cc2)cn1,1
ZINC000103230458,N#C/N=C(\NCc1ccc(S(=O)(=O)c2ccccc2)cc1)Nc1cccnc1,1
ZINC000103230452,N#C/N=C(\NCc1ccc(S(=O)(=O)N2C[C@@H]3CC[C@H](C2)O3)cc1)Nc1ccncc1,1
ZINC000103231969,N#C/N=C(\NCc1ccc(S(=O)(=O)c2cccc(C(F)(F)F)c2)cc1)Nc1ccncc1,1
ZINC000103247768,N#C/N=C(\NCCCCCCS(=O)(=O)NOCC1CCCCC1)Nc1ccncc1,1
ZINC000103247778,N#C/N=C(\NCCCCCCS(=O)(=O)N(CCCN1CCOCC1)C1CCCCC1)Nc1ccncc1,1
ZINC000103230447,N#C/N=C(\NCc1ccc(S(=O)(=O)c2ccccc2)cc1)Nc1ccncc1,1
ZINC000072140982,CC(C)=CCN(Cc1cc2c(=O)n(C)cnc2cc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,1
ZINC000096283432,N#CN/C(=N\c1ccncc1)NCc1ccc(S(=O)(=O)c2cccc(Cl)c2)cc1,1
ZINC000072107188,C/C=C/CN(Cc1ccc2nc(C)n(C)c(=O)c2c1)c1ccc(C(=O)NCc2cccnc2)cc1,1
ZINC000045260367,O=C(CCCCCCCn1cc(-c2cccnc2)nn1)Nc1ccccc1-c1ccccc1,1
ZINC000095920883,Nc1ccc(CNC(=O)Nc2ccc(S(=O)(=O)c3ccccc3)cc2)cn1,1
ZINC000096271353,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)c2ccccc2)cc1,1
ZINC000096271354,O=C(NCc1ccc2nccn2c1)Nc1ccc(S(=O)(=O)c2ccccc2)cc1,1
ZINC000096271677,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N2CCN[C@@H](C(F)(F)F)CC2)cc1,1
ZINC000096271678,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N2CCN[C@H](C(F)(F)F)CC2)cc1,1
ZINC000096282762,O=C(NCc1ccc(S(=O)(=O)c2ccc(N3CCOCC3)nc2)cc1)c1cc2ccncc2s1,1
