ID,SMILES,y
ZINC000003922139,Ic1ccc(CCN2CCC(CCCn3c(COc4ccccc4)nc4c(OCCCN5CCCCC5)cccc43)CC2)cc1,1
ZINC000042835343,CCOC(=O)CNC(=O)/N=C(/N)NCCC[C@@H](NC(=O)C(c1ccccc1)c1ccccc1)C(=O)NCc1ccc(O)cc1,1
ZINC000042851755,CCNC(=O)/N=C(/N)NCCC[C@@H](NC(=O)C(c1ccccc1)c1ccccc1)C(=O)NCc1ccc(O)cc1,1
ZINC000027711336,c1ccc(OCc2nc3c(OCCCN4CCCCC4)cccc3n2CCCC2CCN(CCCN3CCCCC3)CC2)cc1,1
ZINC000027713498,O=C(CCN1CCC(CCCn2c(COc3ccccc3)nc3c(OCCCN4CCCCC4)cccc32)CC1)c1ccccc1,1
ZINC000045253132,CCc1sc(SCc2cc(N3CCOCC3)cc(NCc3cccc(C)n3)n2)nc1CF,1
ZINC000027713493,O=C(CCCN1CCC(CCCn2c(COc3ccccc3)nc3c(OCCCN4CCCCC4)cccc32)CC1)c1ccccc1,1
ZINC000045325018,Cc1cccc(CNc2cc(N3CCSCC3)cc(CSc3nc(C)c(C)o3)n2)n1,1
ZINC000027717684,C(=C\c1ccccc1)\CN1CCC(CCCn2c(COc3ccccc3)nc3c(OCCCN4CCCCC4)cccc32)CC1,1
ZINC000027718420,c1ccc(CCN2CCC(CCCn3c(COc4ccccc4)nc4c(OCCCN5CCCCC5)cccc43)CC2)cc1,1
ZINC000045324687,Cc1cccc(CNc2cc(N3CCOCC3)cc(CSc3nc(CF)c(C)s3)n2)n1,1
ZINC000003952359,N=C(N)NCCC[C@@H](NC(=O)C(c1ccccc1)c1ccccc1)C(=O)NCc1ccc(CNC(N)=O)cc1,1
ZINC000045245330,Cc1cccc(CNc2cc(N3CCOCC3)cc(CSc3nc(C)c(C)s3)n2)n1,1
ZINC000045253487,Cc1nc(SCc2cc(N3CCSCC3)cc(NCc3cccc(F)n3)n2)oc1C,1
ZINC000003950915,c1ccc(OCc2nc3c(OCCCN4CCCCC4)cccc3n2CCCC2CCN(CCC3CCCCC3)CC2)cc1,1
ZINC000027730097,CC(C)CCN1CCC(CCCn2c(COc3ccccc3)nc3c(OCCCN4CCCCC4)cccc32)CC1,1
ZINC000014951187,N=C(N)NCCC[C@H](NC(=O)C(c1ccccc1)c1ccccc1)C(=O)NCc1ccc(CNC(N)=O)cc1,1
ZINC000027710836,Oc1ccc(CCN2CCC(CCCn3c(COc4ccccc4)nc4c(OCCCN5CCCCC5)cccc43)CC2)cc1,1
ZINC000027717679,c1ccc(CCCN2CCC(CCCn3c(COc4ccccc4)nc4c(OCCCN5CCCCC5)cccc43)CC2)cc1,1
ZINC000027731967,c1ccc(OCc2nc3c(OCCCN4CCCCC4)cccc3n2CCCC2CCN(CC3CCCCC3)CC2)cc1,1
ZINC000045245735,CCc1oc(SCc2cc(N3CCOCC3)cc(NCc3cccc(C)n3)n2)nc1C,1
ZINC000045245204,Cc1cccc(CNc2cc(N3CCOCC3)cc(CSc3nc4c(o3)CCCC4)n2)n1,1
ZINC000045245565,Cc1cccc(CNc2cc(N3CCOCC3)cc(CSc3nc(C)c(CF)s3)n2)n1,1
ZINC000045261093,Cc1cccc(CNc2cc(N3CCOCC3)cc(CSc3nc(C)c(C)o3)n2)n1,1
ZINC000027727958,C=CCCN1CCC(CCCn2c(COc3ccccc3)nc3c(OCCCN4CCCCC4)cccc32)CC1,1
ZINC000026649493,O=C(CN1CCC(N2CCCCC2)CC1)c1c(COc2ccc(Cl)cc2)n(CCC[C@@H]2CCCNC2)c2ccccc12,1
ZINC000027193871,O=C(CN1CCC(N2CCCCC2)CC1)c1c(COc2ccc(Cl)cc2)n(CCC[C@H]2CCCNC2)c2ccccc12,1
ZINC000027731036,CC(C)CN1CCC(CCCn2c(COc3ccccc3)nc3c(OCCCN4CCCCC4)cccc32)CC1,1
ZINC000058582923,COC(=O)CCCCCCC(=O)NC(=N)NCCC[C@@H](NC(=O)C(c1ccccc1)c1ccccc1)C(=O)NCc1ccc(O)cc1,1
ZINC000001907802,COc1cc(Cl)c(-c2c(C)nn3c(NCCNC4CCOCC4)cc(C)nc23)c(Cl)c1,1
ZINC000027087013,COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)[C@@H]1c1cccc(N/C(=N/CCCN2CCC(C(C)(C)C)CC2)NC#N)c1,1
ZINC000040892577,CCC(=O)/N=C(/N)NCCC[C@@H](NC(=O)C(c1ccccc1)c1ccccc1)C(=O)NCc1ccc(O)cc1,1
ZINC000100040245,COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)[C@H]1c1cccc(N/C(=N/CCCN2CCC(C(C)(C)C)CC2)NC#N)c1,1
ZINC000003811314,N=C(N)NCCC[C@@H](NC(=O)C(c1ccccc1)c1ccccc1)C(=O)NCc1ccc(O)cc1,1
ZINC000014139887,CCc1sc(CCc2cc(N3CCOCC3)cc(N[C@@H](C)c3cc(Cl)cc(NC(=O)OC(C)C)c3)n2)nc1C,1
ZINC000029479029,CCc1sc(CCc2cc(N3CCOCC3)cc(NCc3cc(Cl)cc(NC(=O)OC(C)C)c3)n2)nc1C,1
ZINC000042797762,CCc1sc(CCc2cc(N3CCOCC3)cc(N[C@H](C)c3cc(Cl)cc(NC(=O)OC(C)C)c3)n2)nc1C,1
ZINC000045260308,Cc1nc(SCc2cc(N3CCOCC3)cc(NCc3cccc(F)n3)n2)oc1C,1
ZINC000027710953,CN1CCC(CCCn2c(COc3ccccc3)nc3c(OCCCN4CCCCC4)cccc32)CC1,1
ZINC000027711386,C=CCN1CCC(CCCn2c(COc3ccccc3)nc3c(OCCCN4CCCCC4)cccc32)CC1,1
ZINC000027724571,CC(C)N1CCC(CCCn2c(COc3ccccc3)nc3c(OCCCN4CCCCC4)cccc32)CC1,1
ZINC000013780300,Clc1ccc(OCc2nc3c(OCCCN4CCCCC4)cccc3n2CCC[C@@H]2CCCNC2)cc1,1
ZINC000013780301,Clc1ccc(OCc2nc3c(OCCCN4CCCCC4)cccc3n2CCC[C@H]2CCCNC2)cc1,1
ZINC000045245714,Cc1cccc(CNc2cc(N3CCS(=O)(=O)CC3)cc(CSc3nc(C)c(C)o3)n2)n1,1
ZINC000045254340,Cc1nc(SCc2cc(N3CCOCC3)cc(NCc3cccc(CF)n3)n2)oc1C,1
ZINC000027207677,O=C(CN1CCC(N2CCCCC2)CC1)c1c(COc2ccc(Cl)cc2)n(CCC2CCNCC2)c2ccccc12,1
ZINC000028462388,COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)[C@H]1c1cccc(NC(=O)NCCNC2CCN(c3ccccc3OC)CC2)c1,1
ZINC000100058529,COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)[C@@H]1c1cccc(NC(=O)NCCNC2CCN(c3ccccc3OC)CC2)c1,1
ZINC000028460913,COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)[C@H]1c1cccc(NC(=O)NCCNC2CCN(c3ccccc3[N+](=O)[O-])CC2)c1,1
ZINC000028461571,COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)[C@@H]1c1cccc(NC(=O)NCCNC2CCN(c3ccccc3)CC2)c1,1
ZINC000100058468,COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)[C@H]1c1cccc(NC(=O)NCCNC2CCN(c3ccccc3)CC2)c1,1
ZINC000100058474,COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)[C@@H]1c1cccc(NC(=O)NCCNC2CCN(c3ccccc3[N+](=O)[O-])CC2)c1,1
ZINC000027298337,COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)[C@H]1c1cccc(NC(=O)NCCCN2CCC(c3cccc(O)c3)CC2)c1,1
ZINC000100043165,COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)[C@@H]1c1cccc(NC(=O)NCCCN2CCC(c3cccc(O)c3)CC2)c1,1
ZINC000003829014,CC(C)NC(=O)Nc1cccc(CN2C(=O)[C@H](NC(=N)Nc3ccc(O)cc3)CCc3ccccc32)c1,1
ZINC000013912829,CC(C)NC(=O)Nc1cccc(CN2C(=O)[C@@H](/N=C(\N)Nc3ccc(O)cc3)CCc3ccccc32)c1,1
ZINC000028458324,COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)[C@H]1c1cccc(N/C(=N/CCNC2CCN(c3ccccc3C#N)CC2)NC#N)c1,1
ZINC000028462384,COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)[C@H]1c1cccc(NC(=O)NCCNC2CCN(c3ccccc3C#N)CC2)c1,1
