ID,SMILES,y
ZINC000095582885,O=C1NC[C@H]2c3c(cccc31)CCN2C(=O)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F,1
ZINC000095582886,O=C1NC[C@@H]2c3c(cccc31)CCN2C(=O)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F,1
ZINC000084687898,O=C(c1cc(Cc2nnc(O)c3c2NCCC3)ccc1F)N1CCN(c2cnccn2)CC1,1
ZINC000084687900,O=C(c1cc(Cc2nnc(O)c3c2NCCC3)ccc1F)N1CCN(c2ncccn2)CC1,1
ZINC000043178847,O=C1NC[C@H]2c3c(cccc31)CCN2C(=O)CN1CCC(c2ccccc2)CC1,1
ZINC000043178848,O=C1NC[C@@H]2c3c(cccc31)CCN2C(=O)CN1CCC(c2ccccc2)CC1,1
ZINC000072318110,Cn1ncnc1[C@H]1c2n[nH]c(=O)c3cc(F)cc(c23)N[C@@H]1c1ccc(F)cc1,1
ZINC000049757198,N#Cc1cccnc1N1CCN(C(=O)c2cc(Cc3c[nH]c(=O)c4cc(Cl)c(Cl)n34)ccc2F)CC1,1
ZINC000084689727,CS(=O)(=O)N1CCN(C(=O)c2cc(Cc3nnc(O)c4c3NCCC4)ccc2F)CC1,1
ZINC000084689760,O=C1CCCC(=O)N1c1cc(Cc2nnc(O)c3c2NCCC3)ccc1F,1
ZINC000045245433,NC(=O)c1cccc2[nH]c(-c3ccc(-c4cnco4)cc3)nc12,1
ZINC000040933175,CC(C)(c1nc2c(C(N)=O)cccc2[nH]1)N1CCCC1,1
ZINC000084687546,O=C1CN(C(=O)c2cc(Cc3nnc(O)c4c3NCCC4)ccc2F)CCN1,1
ZINC000084688572,O=C(c1cc(Cc2nnc(O)c3c2NCCC3)ccc1F)N1CCN(c2cccnc2)CC1,1
ZINC000084688573,O=C(c1cc(Cc2nnc(O)c3c2NCCC3)ccc1F)N1CCN(c2ccccn2)CC1,1
ZINC000084689724,O=C(c1cc(Cc2nnc(O)c3c2NCCC3)ccc1F)N1CCN(C(=O)C(F)(F)F)CC1,1
ZINC000084689725,O=C(c1ccccc1)N1CCN(C(=O)c2cc(Cc3nnc(O)c4c3NCCC4)ccc2F)CC1,1
ZINC000045260213,NC(=O)c1cccc2[nH]c(-c3ccc(-c4cccnc4)cc3)nc12,1
ZINC000028467935,O=c1[nH]c2c(c3ccccc13)Cc1cc(S(=O)(=O)NCCCN3CCOCC3)ccc1-2,1
ZINC000040864902,NC(=O)c1cccc2[nH]c([C@@H]3CCCN(C4CCCC4)CC3)nc12,1
ZINC000040864905,NC(=O)c1cccc2[nH]c([C@H]3CCCN(C4CCCC4)CC3)nc12,1
ZINC000040975482,CN1CC[C@](C)(c2nc3c(C(N)=O)cccc3[nH]2)C1,1
ZINC000040975484,CN1CC[C@@](C)(c2nc3c(C(N)=O)cccc3[nH]2)C1,1
ZINC000045258631,NC(=O)c1cccc2[nH]c(-c3ccc(-c4nnco4)cc3)nc12,1
ZINC000045338435,O=C(c1cc(Cc2c[nH]c(=O)c3cc(Cl)c(Cl)n23)ccc1F)N1CCC(N2CCC2)CC1,1
ZINC000045347483,O=C1NC[C@H]2c3c(cccc31)CCN2C(=O)Cc1cccnc1,1
ZINC000045347486,O=C1NC[C@@H]2c3c(cccc31)CCN2C(=O)Cc1cccnc1,1
ZINC000045353360,O=C1NC[C@H]2c3c(cccc31)CCN2C(=O)[C@@H]1CCNC1,1
ZINC000045353364,O=C1NC[C@@H]2c3c(cccc31)CCN2C(=O)[C@@H]1CCNC1,1
ZINC000045353368,O=C1NC[C@H]2c3c(cccc31)CCN2C(=O)[C@H]1CCNC1,1
ZINC000045353372,O=C1NC[C@@H]2c3c(cccc31)CCN2C(=O)[C@H]1CCNC1,1
ZINC000045353376,O=C1NC[C@H]2c3c(cccc31)CCN2C(=O)C1CNC1,1
ZINC000045353380,O=C1NC[C@@H]2c3c(cccc31)CCN2C(=O)C1CNC1,1
ZINC000045358324,CC(C)(C)C(=O)N1CCN(C(=O)c2cc(Cc3c[nH]c(=O)c4cc(Cl)c(Cl)n34)ccc2F)CC1,1
ZINC000045364220,O=C1NC[C@H]2c3c(cccc31)CCN2C(=O)CCn1cnc2ccccc21,1
ZINC000045364223,O=C1NC[C@@H]2c3c(cccc31)CCN2C(=O)CCn1cnc2ccccc21,1
