ID,SMILES,y
ZINC000049889521,Cc1noc(/C(=C/c2cccc(-n3cc(C(=O)Nc4c(Cl)cncc4Cl)c(=O)c4cccnc43)c2)c2ccc(S(C)(=O)=O)cc2)n1,1
ZINC000000006165,O=[N+]([O-])c1cccc(-c2cc(Cc3ccncc3)cc3cccnc23)c1,1
ZINC000036268818,CC(C)NC(=O)N(Cc1cccc(-c2cc(C(C)(C)S(C)(=O)=O)cc3cccnc23)c1)c1ccc(S(C)(=O)=O)cc1,1
ZINC000036268822,CC(C)(C#N)c1cc(-c2cccc(CN(C(=O)Nc3ccccc3)c3ccc(S(C)(=O)=O)cc3)c2)c2ncccc2c1,1
ZINC000036268854,CC(C)NC(=O)N(Cc1cccc(-c2cc(C(C)(C)C#N)cc3cccnc23)c1)c1ccc(S(C)(=O)=O)cc1,1
ZINC000096928549,CNc1nc(N[C@]2(C#N)CCCC[C@H]2C)nc(-n2cncn2)n1,1
ZINC000096928550,CNc1nc(N[C@]2(C#N)CCCC[C@@H]2C)nc(-n2cncn2)n1,1
ZINC000096928551,CNc1nc(N[C@@]2(C#N)CCCC[C@H]2C)nc(-n2cncn2)n1,1
ZINC000096928552,CNc1nc(N[C@@]2(C#N)CCCC[C@@H]2C)nc(-n2cncn2)n1,1
ZINC000028529666,Cc1noc(/C(=C/c2cccc(-c3cc(C(C)C)cc4cccnc34)c2)c2ccc(S(C)(=O)=O)cc2)n1,1
ZINC000042852626,CC(=O)c1cccc(-c2cccc(-n3cc(C(=O)Nc4nccc(Cl)c4Cl)c(=O)c4cccnc43)c2)c1,1
ZINC000013814057,[N-]=[N+]=Nc1cccc(-c2cc(Cc3ccncc3)cc3cccnc23)c1,1
ZINC000028529186,Cc1ccc(/C(=C/c2cccc(-c3cc(C(C)C)cc4cccnc34)c2)c2ccc(S(C)(=O)=O)cc2)nc1,1
ZINC000036268850,CC(C)(C#N)c1cc(-c2cccc(CN(C(=O)c3ccccc3)c3ccc(S(C)(=O)=O)cc3)c2)c2ncccc2c1,1
ZINC000096928553,CNc1nc(N[C@]2(C#N)CCC[C@@H](C)C2)nc(-n2cncn2)n1,1
ZINC000096928554,CNc1nc(N[C@]2(C#N)CCC[C@H](C)C2)nc(-n2cncn2)n1,1
ZINC000096928555,CNc1nc(N[C@@]2(C#N)CCC[C@@H](C)C2)nc(-n2cncn2)n1,1
ZINC000096928556,CNc1nc(N[C@@]2(C#N)CCC[C@H](C)C2)nc(-n2cncn2)n1,1
ZINC000013442029,CCNC(=O)Nc1cccc([C@@H](Cc2ccncc2)c2ccc(OC)c(OC3CCCC3)c2)c1,1
ZINC000027858988,C[C@H](c1ccccc1)N(C)c1ccc([C@@H](Cc2cc[n+]([O-])cc2)c2ccc(OC(F)F)c(OC(F)F)c2)cn1,1
ZINC000027858995,C[C@H](c1ccccc1)N(C)c1ccc([C@H](Cc2cc[n+]([O-])cc2)c2ccc(OC(F)F)c(OC(F)F)c2)cn1,1
ZINC000028529543,CC(C)NC(=O)/C(=C/c1cccc(-c2cc(C(C)C)cc3cccnc23)c1)c1ccc(S(C)(=O)=O)cc1,1
ZINC000028529829,CC(C)c1cc(-c2cccc(/C=C(/C(=O)O)c3ccc(S(C)(=O)=O)cc3)c2)c2ncccc2c1,1
ZINC000034986644,CC(C)Nc1nc2oc3c(NCCCN4CCCC4=O)ncnc3c2c2c1CCC(C)(C)C2,1
ZINC000036268795,Cc1cc(C(=O)N(Cc2cccc(-c3cc(C(C)(C)C#N)cc4cccnc34)c2)c2ccc(S(C)(=O)=O)cc2)no1,1
