ID,SMILES,y
ZINC000006717510,COc1cccc(Nc2c(C(N)=O)cnc3c(C)cc(S(=O)(=O)c4cccc(C(=O)N(C)C)c4)cc23)c1,1
ZINC000006717513,COc1cccc(Nc2c(C(N)=O)cnc3ccc(S(=O)(=O)c4cccc(C(=O)N(C)C)c4)cc23)c1,1
ZINC000167316878,Cc1cc(C(=O)N[C@@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3cccc(-c4ccc(O)cc4CN4CCCOCC4)c3)CC2)nn1C,1
ZINC000163679137,Cc1cc(C(=O)N[C@@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3cccc(-c4ccc(O)cc4CN4CCOCC4)c3)CC2)nn1C,1
ZINC000167446806,Cc1cccc2nc(C(=O)N[C@@H]3CC[C@@H](NC(=O)c4cc(F)cnc4Oc4cccc(-c5ccc(O)cc5CN5CCOCC5)c4)CC3)cn12,1
ZINC000167969363,Cc1csc(C(=O)N[C@@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3cccc(-c4ccc(O)cc4CN4CCOCC4)c3)CC2)n1,1
ZINC000006717509,COc1ccc(S(=O)(=O)c2cc(C)c3ncc(C(N)=O)c(Nc4cccc(OC)c4)c3c2)cc1,1
ZINC000072121306,CC1(C)CCc2c(Nc3c(Cl)cncc3Cl)nc3oc4c(NCc5cccnc5)ncnc4c3c2C1,1
ZINC000163639863,Cc1cc(C(=O)N[C@@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3cccc(-c4ccc(CCCN5C[C@H](C)N[C@H](C)C5)cc4)c3)CC2)nn1C,1
ZINC000167323904,Cc1nc(C(=O)N[C@@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3cccc(-c4ccc(O)cc4CN4CCCOCC4)c3)CC2)cs1,1
ZINC000167365264,Cc1csc(C(=O)N[C@@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3cccc(-c4ccc(CN5C[C@H](C)N[C@H](C)C5)cc4CN4CCOCC4)c3)CC2)n1,1
ZINC000167518033,Cc1ccc(O)c(C(=O)N[C@@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3cccc(-c4ccc(CN5C[C@H](C)N[C@H](C)C5)cc4CN4CCOCC4)c3)CC2)c1,1
ZINC000167987511,O=C(N[C@@H]1CC[C@@H](NC(=O)c2cc(F)cnc2Oc2cccc(-c3ccc(O)cc3CN3CCCOCC3)c2)CC1)c1cn2cc(F)ccc2n1,1
ZINC000168616708,Cc1cccc(C(=O)N[C@@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3cccc(-c4ccc(O)cc4CN4CCCOCC4)c3)CC2)n1,1
ZINC000168624746,Cc1cc(C(=O)N[C@@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3cccc(-c4ccc(O)c(CN5C[C@H](C)N[C@H](C)C5)c4)c3)CC2)nn1C,1
ZINC000163632848,Cc1cc(C(=O)N[C@@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3cccc(-c4ccc(CN5C[C@H](C)N[C@H](C)C5)cc4)c3)CC2)nn1C,1
ZINC000167363479,Cc1nc(C(=O)N[C@@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3cccc(-c4ccc(O)cc4CN4CCOCC4)c3)CC2)cs1,1
ZINC000167776537,C[C@H]1CN(Cc2ccc(-c3cccc(Oc4ncc(F)cc4C(=O)N[C@@H]4CC[C@@H](NC(=O)c5cc6ccccn6n5)CC4)c3)cc2)C[C@@H](C)N1,1
ZINC000261131631,Cc1cccc(O)c1C(=O)N[C@@H]1CC[C@H](NC(=O)c2cc(F)cnc2Oc2cccc(-c3ccc(O)cc3CN3CCOCC3)c2)CC1,1
ZINC000036268822,CC(C)(C#N)c1cc(-c2cccc(CN(C(=O)Nc3ccccc3)c3ccc(S(C)(=O)=O)cc3)c2)c2ncccc2c1,1
ZINC000084615116,COc1ccc(-c2nc(C(=O)NCc3c(F)cccc3Cl)c([C@H](C)N)o2)c2ccc(C(F)(F)F)nc12,1
ZINC000166567958,Cc1cccc2nc(C(=O)N[C@@H]3CC[C@@H](NC(=O)c4cc(F)cnc4Oc4cccc(-c5ccc(O)cc5CN5CCCOCC5)c4)CC3)cn12,1
ZINC000166577964,Cc1nc(C(=O)N[C@@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3cccc(-c4ccc(O)cc4CN(C)C)c3)CC2)cs1,1
ZINC000167458092,Cc1cc(C(=O)N[C@@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3cccc(-c4ccc(CN5C[C@H](C)N[C@H](C)C5)c(O)c4)c3)CC2)nn1C,1
ZINC000167571290,Cc1cccc(C(=O)N[C@@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3cccc(-c4ccc(O)cc4CN(C)C)c3)CC2)n1,1
ZINC000168129427,Cc1cc(C(=O)N[C@@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3cccc(-c4cc(O)cc(CN5C[C@H](C)N[C@H](C)C5)c4)c3)CC2)nn1C,1
ZINC000261159961,Cc1cccc(O)c1C(=O)N[C@@H]1CC[C@H](NC(=O)c2cc(F)cnc2Oc2cccc(-c3ccc(O)cc3CN3CCCOCC3)c2)CC1,1
ZINC000261167372,Cc1csc(C(=O)N[C@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3cccc(-c4ccc(CN5C[C@H](C)N[C@H](C)C5)cc4)c3)CC2)n1,1
ZINC000084604450,COc1ccc(-c2nc(C(=O)NCc3c(F)cc(F)cc3F)c([C@H](C)N)o2)c2ccc(C(F)(F)F)nc12,1
ZINC000167218761,Cc1cccc2nc(C(=O)N[C@@H]3CC[C@@H](NC(=O)c4cc(F)cnc4Oc4cccc(-c5ccc(CN6CCC(N7CCCC7)CC6)cc5)c4)CC3)cn12,1
ZINC000167928913,Cc1cc(C(=O)N[C@@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3cccc(-c4ccc(CCN5CCC(N6CCCC6)CC5)cc4)c3)CC2)nn1C,1
ZINC000000598965,COc1ccc(C(=O)Nc2c(Cl)cncc2Cl)cc1OC1CCCC1,1
ZINC000084603286,COc1ccc(-c2nc(C(=O)NCc3c(F)cccc3F)c([C@H](C)N)o2)c2ccc(C(F)(F)F)nc12,1
ZINC000139543034,CN(C)Cc1cc(O)ccc1-c1cccc(Oc2ncc(F)cc2C(=O)N[C@@H]2CC[C@@H](NC(=O)c3cccc4[nH]cnc34)CC2)c1,1
ZINC000167959125,CN(C)Cc1cc(O)ccc1-c1cccc(Oc2ncc(F)cc2C(=O)N[C@@H]2CC[C@@H](NC(=O)c3cn4cc(F)ccc4n3)CC2)c1,1
ZINC000168013613,Cc1cccc2nc(C(=O)N[C@@H]3CC[C@@H](NC(=O)c4cc(F)cnc4Oc4cccc(-c5ccc(O)cc5CN(C)C)c4)CC3)cn12,1
ZINC000261164497,Cc1cc(C)n2ncc(C(=O)N[C@@H]3CC[C@H](NC(=O)c4cc(F)cnc4Oc4cccc(-c5ccc(O)cc5CN5CCOCC5)c4)CC3)c2n1,1
ZINC000035903990,COc1ccc(-c2nc(C(=O)NCc3ccc(F)cc3F)c([C@H](C)N)o2)c2ccc(C(F)(F)F)nc12,1
ZINC000163657261,Cc1cc(C(=O)N[C@@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3cccc(-c4cccc(CN5C[C@H](C)N[C@H](C)C5)c4)c3)CC2)nn1C,1
ZINC000167522943,Cc1cccc2nc(C(=O)N[C@@H]3CC[C@@H](NC(=O)c4cc(F)cnc4Oc4cccc(-c5ccc(CN6C[C@H](C)N[C@H](C)C6)cc5)c4)CC3)cn12,1
ZINC000168294652,O=C(N[C@@H]1CC[C@@H](NC(=O)c2cc(F)cnc2Oc2cccc(-c3ccc(O)cc3CN3CCOCC3)c2)CC1)c1csc(CO)n1,1
ZINC000095592434,COc1ccc(C2=NN(CCCCOc3cccc(C4=NNC(=O)C4(C)C)c3)C(=O)C[C@H]2C)c2cc(C(F)(F)F)nn12,1
ZINC000095592435,COc1ccc(C2=NN(CCCCOc3cccc(C4=NNC(=O)C4(C)C)c3)C(=O)C[C@@H]2C)c2cc(C(F)(F)F)nn12,1
ZINC000028529666,Cc1noc(/C(=C/c2cccc(-c3cc(C(C)C)cc4cccnc34)c2)c2ccc(S(C)(=O)=O)cc2)n1,1
ZINC000045352535,Cc1cc(S(C)(=O)=O)cc2c1NNC(C(N)=O)=C2Nc1cncc(Cl)c1,1
ZINC000163635127,C[C@H]1CN(Cc2ccc(-c3cccc(Oc4ncc(F)cc4C(=O)N[C@@H]4CC[C@@H](NC(=O)c5csc(CO)n5)CC4)c3)cc2)C[C@@H](C)N1,1
ZINC000168596631,Cc1cc(C(=O)N[C@@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3cccc(-c4cccc(CN5C[C@H](C)N[C@H](C)C5)c4O)c3)CC2)nn1C,1
ZINC000034986644,CC(C)Nc1nc2oc3c(NCCCN4CCCC4=O)ncnc3c2c2c1CCC(C)(C)C2,1
ZINC000036268795,Cc1cc(C(=O)N(Cc2cccc(-c3cc(C(C)(C)C#N)cc4cccnc34)c2)c2ccc(S(C)(=O)=O)cc2)no1,1
ZINC000036268818,CC(C)NC(=O)N(Cc1cccc(-c2cc(C(C)(C)S(C)(=O)=O)cc3cccnc23)c1)c1ccc(S(C)(=O)=O)cc1,1
ZINC000036268846,CC(C)(C#N)c1cc(-c2cccc(CN(Cc3ccc(F)cc3)c3ccc(S(C)(=O)=O)cc3)c2)c2ncccc2c1,1
ZINC000036268850,CC(C)(C#N)c1cc(-c2cccc(CN(C(=O)c3ccccc3)c3ccc(S(C)(=O)=O)cc3)c2)c2ncccc2c1,1
ZINC000036268854,CC(C)NC(=O)N(Cc1cccc(-c2cc(C(C)(C)C#N)cc3cccnc23)c1)c1ccc(S(C)(=O)=O)cc1,1
ZINC000045316633,COc1cccc(Nc2c(C(N)=O)cnc3c(C)cc(S(=O)(=O)c4ccccc4)cc23)c1,1
ZINC000084602614,COc1ccc(-c2nc(C(=O)NCc3c(F)cccc3Cl)c(CN)o2)c2ccc(C(F)(F)F)nc12,1
ZINC000095587288,COc1ccc(C2=NN(CCCCOc3ccc(C4=NNC(=O)CC4)cc3)C(=O)C[C@H]2C)c2cc(C(F)(F)F)nn12,1
ZINC000095587289,COc1ccc(C2=NN(CCCCOc3ccc(C4=NNC(=O)CC4)cc3)C(=O)C[C@@H]2C)c2cc(C(F)(F)F)nn12,1
ZINC000168448871,Cc1nc(C(=O)N[C@@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3cccc(-c4ccc(CN5CCCOCC5)cc4)c3)CC2)cs1,1
ZINC000168615232,C[C@H]1CN(Cc2ccc(-c3cccc(Oc4ncc(F)cc4C(=O)N[C@@H]4CC[C@@H](NC(=O)c5cn6cc(F)ccc6n5)CC4)c3)cc2)C[C@@H](C)N1,1
ZINC000084615853,COc1ccc(-c2nc(C(=O)N[C@H](CO)c3ccccc3)c([C@H](C)N)o2)c2ccc(C(F)(F)F)nc12,1
ZINC000096933438,CSc1ccc(C(=O)Nc2c(Cl)cncc2Cl)c2cc(C(F)(F)F)nn12,1
ZINC000045254189,COc1ccc(S(=O)(=O)c2ccc3ncc(C(N)=O)c(Nc4cccc(OC)c4)c3c2)cc1,1
ZINC000167575712,Cc1cccc2nc(C(=O)N[C@@H]3CC[C@@H](NC(=O)c4cc(F)cnc4Oc4cccc(-c5ccc(CN6CCCOCC6)cc5)c4)CC3)cn12,1
ZINC000167669336,O=C(N[C@@H]1CC[C@@H](NC(=O)c2ncccc2O)CC1)c1cc(F)cnc1Oc1cccc(-c2ccc(O)cc2CN2CCOCC2)c1,1
ZINC000261151019,C[C@H]1CN(Cc2ccc(-c3cccc(Oc4ncc(F)cc4C(=O)N[C@H]4CC[C@@H](NC(=O)c5ncccc5O)CC4)c3)cc2)C[C@@H](C)N1,1
ZINC000096933199,CNc1ccc(C(=O)Nc2c(Cl)cncc2Cl)c2cc(C(F)(F)F)nn12,1
ZINC000028529186,Cc1ccc(/C(=C/c2cccc(-c3cc(C(C)C)cc4cccnc34)c2)c2ccc(S(C)(=O)=O)cc2)nc1,1
ZINC000034778276,CC(C)Nc1nc2oc3c(NCCN4CCOCC4)ncnc3c2c2c1CCC(C)(C)C2,1
ZINC000043152221,CC(C)Nc1nc2oc3c(NCc4cccnc4)ncnc3c2c2c1CCC(C)(C)C2,1
ZINC000043194309,COc1ccc(C2=NN(CCCCCOc3ccc(C4=NNC(=O)C[C@H]4C)cc3)C(=O)C[C@@H]2C)c2cc(C(F)(F)F)nn12,1
ZINC000043194310,COc1ccc(C2=NN(CCCCCOc3ccc(C4=NNC(=O)C[C@@H]4C)cc3)C(=O)C[C@@H]2C)c2cc(C(F)(F)F)nn12,1
ZINC000043194311,COc1ccc(C2=NN(CCCCCOc3ccc(C4=NNC(=O)C[C@H]4C)cc3)C(=O)C[C@H]2C)c2cc(C(F)(F)F)nn12,1
ZINC000043194312,COc1ccc(C2=NN(CCCCCOc3ccc(C4=NNC(=O)C[C@@H]4C)cc3)C(=O)C[C@H]2C)c2cc(C(F)(F)F)nn12,1
ZINC000096933205,COc1ccc(C(=O)Nc2c(Cl)cncc2Cl)c2cc(C(F)F)nn12,1
ZINC000096933402,COc1ccc(C(=O)Nc2c(Cl)cncc2Cl)c2cc(C(F)(F)F)nn12,1
ZINC000028529343,CC(C)c1cc(-c2cccc(/C=C(\c3ccc(S(C)(=O)=O)cc3)c3nccs3)c2)c2ncccc2c1,1
ZINC000028529519,Cc1noc(/C(=C/c2cccc(-c3cc(C(C)C)cc4cccnc34)c2)c2ccccn2)n1,1
ZINC000028529543,CC(C)NC(=O)/C(=C/c1cccc(-c2cc(C(C)C)cc3cccnc23)c1)c1ccc(S(C)(=O)=O)cc1,1
ZINC000028529556,CC(C)NC(=O)/C(=C/c1cccc(-c2cc(C(C)(C)C#N)cc3cccnc23)c1)c1ccc(S(C)(=O)=O)cc1,1
ZINC000028529822,CC(C)c1cc(-c2cccc(/C=C(/c3ccc(C(C)(C)O)cc3)c3ccc(S(C)(=O)=O)cc3)c2)c2ncccc2c1,1
ZINC000028529829,CC(C)c1cc(-c2cccc(/C=C(/C(=O)O)c3ccc(S(C)(=O)=O)cc3)c2)c2ncccc2c1,1
