ID,SMILES,y
ZINC000001700248,NNC(=O)CCC(=O)O,1
ZINC000001532111,CN(C)NC(=O)CCC(=O)O,1
ZINC000096284021,O=C(O)CCN(O)C(=O)CCCCCCCCC1CC1,1
ZINC000004773048,O=C(O)CCC(=O)NO,1
ZINC000100036983,CC(=O)CC(=O)CCC(=O)O,1
ZINC000095555065,CNNC(=O)CCC(=O)O,1
ZINC000095552018,CN(C)OC(=O)CCC(=O)O,1
ZINC000096284018,O=C(O)CCN(O)C(=O)CCCCCCCCC1CCCCCC1,1
ZINC000073240815,O=C(O)/C=C/C(=O)N(O)CCCCNCc1ccc(COC(=O)Nc2cccc3ccccc23)cc1,1
ZINC000008457049,O=C1OC(=O)c2cccc3cccc1c23,0
ZINC000072117166,CN(C)c1cccc2c(S(=O)(=O)N(C)CC(=O)N(Cc3ccc(C4CCCCC4)cc3)c3ccc(C(=O)O)c(O)c3)cccc12,0
ZINC000003922139,Ic1ccc(CCN2CCC(CCCn3c(COc4ccccc4)nc4c(OCCCN5CCCCC5)cccc43)CC2)cc1,0
ZINC000100014909,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,0
ZINC000038562120,CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2cc[n+]([O-])cc2)cc1,0
ZINC000049067631,Cn1cc(-c2cc3c(cn2)OC2(CCN(C(=O)c4ccc5[nH]c(-c6ccn(C)n6)nc5c4)CC2)CC3=O)cn1,0
ZINC000096270691,O=C(Nc1c[nH]c2ncc(-c3ccccc3F)cc12)c1cnn2ccc(NC[C@H]3CCNC[C@@H]3F)nc12,0
ZINC000103247698,Nc1ncc(-c2cnn(C3CCNCC3)c2)cc1-c1nc2ccc(N3CCCC3)cc2o1,0
ZINC000098050687,Cc1nc([C@](C)(O)CO)sc1-c1cnc(N)c(O[C@H](C)c2cc(F)ccc2-n2nccn2)c1,0
