ID,SMILES,y
ZINC000096917507,Cc1nc2c(NCc3cccc(S(C)(=O)=O)c3)nccn2c1-c1ccc(O)c(F)c1,1
ZINC000020148983,CC(C)n1nc(-c2ccc3ncccc3c2)c2c(N)ncnc21,1
ZINC000008581906,CC(C)n1nc(-c2ccc(Br)c(O)c2)c2c(N)ncnc21,1
ZINC000071318831,Nc1ccc(-c2ccc3ncc4ccc(=O)n(-c5cccc(C(F)(F)F)c5)c4c3c2)cn1,1
ZINC000261183160,CO[C@H]1CC[C@@H](C(=O)Nc2nc(C)c(-c3ccc(N)nc3)s2)CC1,1
ZINC000096272396,Cc1nc(NC(=O)[C@@H](C)CC(F)(F)F)sc1-c1ccc(N)nc1,1
ZINC000096272397,Cc1nc(NC(=O)[C@H](C)CC(F)(F)F)sc1-c1ccc(N)nc1,1
ZINC000043178415,Cc1cc(NC(=O)CCNC(=O)Nc2nc(C)c(-c3ccc(-n4cccn4)cc3)s2)no1,1
ZINC000096907380,Cc1nc(NC(=O)C2(C)CCCCC2)sc1-c1ccc(N)nc1,1
ZINC000096272395,Cc1nc(NC(=O)C(C)(C)CC(F)(F)F)sc1-c1ccc(N)nc1,1
ZINC000261086055,Cc1nc(NC(=O)[C@H]2CC[C@@H](C(F)(F)F)CC2)sc1-c1ccc(N)nc1,1
ZINC000020148984,Nc1ncnc2c1c(-c1cnc3[nH]ccc3c1)nn2C1CCCC1,1
ZINC000020546615,COc1ccc(-c2c(C)nn3c(NCCN4CCOCC4)cc(C)nc23)cc1OC,1
ZINC000096907381,Cc1nc(NC(=O)Cc2nc(-c3ccccc3)c(C)o2)sc1-c1ccc(N)nc1,1
ZINC000008581973,COc1ccc(-c2nn(C3CCC3)c3ncnc(N)c23)cc1OC,1
ZINC000096907376,Nc1ccc(-c2cnc(NC(=O)CN(Cc3ccccc3)C(=O)c3ccncc3)s2)cc1,1
ZINC000008581950,CC(C)n1nc(-c2ccc(O)c(F)c2)c2c(N)ncnc21,1
ZINC000043169747,CC(=O)c1ccc(-c2sc(NC(=O)NCCC(=O)NC(C)(C)C)nc2C)cc1,1
ZINC000006717113,COc1c(Cl)cc2c([nH]c3cnccc32)c1NC(=O)c1cccnc1C,1
ZINC000003781738,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,1
ZINC000095580529,Nc1nc2c(-c3cnc4ccccc4c3)nccc2[nH]1,1
ZINC000036056301,CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21,1
ZINC000006718666,Nc1nc(N)c2nc(-c3cccc(O)c3)c(-c3cccc(O)c3)nc2n1,1
ZINC000064617757,c1nc(NC[C@@H]2CCOC2)c2cc(-c3ccc4c(c3)OCO4)ccc2n1,1
ZINC000064617759,c1nc(NC[C@H]2CCOC2)c2cc(-c3ccc4c(c3)OCO4)ccc2n1,1
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,1
ZINC000008581952,CC(C)n1nc(-c2cc(F)c(O)cc2F)c2c(N)ncnc21,1
ZINC000008581993,COc1cc(-c2nn(C3CCCC3)c3ncnc(N)c23)ccc1N,1
ZINC000055760827,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,1
ZINC000008581954,COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1O,1
ZINC000084688250,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccc(-n2cccn2)cc1,1
ZINC000001550477,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,1
ZINC000006745792,COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1OC,1
ZINC000011617039,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,1
ZINC000039059267,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F,1
ZINC000084688109,CCn1nnc(CCNC(=O)Nc2nc(C)c(-c3ccc(S(C)(=O)=O)c(F)c3)s2)n1,1
ZINC000008581978,CCOc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1OC,1
ZINC000008581886,CC(C)n1nc(-c2ccc(O)cc2)c2c(N)ncnc21,1
