ID,SMILES,y
ZINC000096270691,O=C(Nc1c[nH]c2ncc(-c3ccccc3F)cc12)c1cnn2ccc(NC[C@H]3CCNC[C@@H]3F)nc12,1
ZINC000096270690,O=C(Nc1c[nH]c2ncc(-c3c(F)cccc3F)cc12)c1cnn2ccc(NC[C@H]3CCNC[C@@H]3F)nc12,1
ZINC000096270702,O=C(Nc1c[nH]c2ncc(-c3c(F)cccc3F)cc12)c1cnn2ccc(NCC3CCNCC3)nc12,1
ZINC000096270692,O=C(Nc1c[nH]c2ncc(-c3ccccc3F)cc12)c1cnn2ccc(NCC3CCNCC3)nc12,1
ZINC000084670255,N[C@@H]1CCCN(c2c(/C=C3\SC(=O)NC3=O)cccc2-c2ccccc2)C1,1
ZINC000096270699,O=C(Nc1c[nH]c2ncc(-c3c(F)cccc3F)cc12)c1cnn2ccc(CCC3CCNCC3)nc12,1
ZINC000299868799,Nc1ccc(-c2ccc3[nH]nc(-c4cncc(O[C@H]5CNCCC56CC6)n4)c3c2)c(F)c1,1
ZINC000096270700,O=C(Nc1c[nH]c2ccc(-c3c(F)cccc3F)nc12)c1cnn2ccc(NCC3CCNCC3)nc12,1
ZINC000299867218,NC(=O)c1ccc(-c2ccc3[nH]nc(-c4cncc(O[C@H]5CNCCC56CC6)n4)c3c2)c(F)c1,1
ZINC000299869561,CS(=O)(=O)Nc1ccc(-c2ccc3[nH]nc(-c4cncc(O[C@H]5CNCCC56CC6)n4)c3c2)c(F)c1,1
ZINC000096270698,O=C(Nc1c[nH]c2ncc(-c3c(F)cccc3F)cc12)c1cnn2ccc(OCC3CCNCC3)nc12,1
ZINC000299869202,Oc1ccc(-c2ccc3[nH]nc(-c4cncc(O[C@H]5CNCCC56CC6)n4)c3c2)c(F)c1,1
ZINC000045285546,O=c1[nH]c(CN2CC[C@H](O)C2)nc2c1sc1ccc(/C=C/C3CC3)cc12,1
ZINC000073142128,CNC(=O)c1cccc2c1nc(Nc1ccccc1Cl)c1ccncc12,1
ZINC000073157212,Fc1cccc(F)c1Nc1nc2c(-c3nc[nH]n3)cccc2c2cnccc12,1
ZINC000073160841,Oc1ccc(Nc2nc3c(-c4nc[nH]n4)cccc3c3cnccc23)c(Cl)c1,1
ZINC000073170181,COc1cccc(Nc2nc3c(-c4nc[nH]n4)cccc3c3cnccc23)c1Cl,1
ZINC000103236852,Nc1ccc(-c2ccccc2Cl)nc1C(=O)Nc1cnccc1N1CCC[C@H](N)C1,1
ZINC000103237630,Nc1ccc(-c2ccccc2F)nc1C(=O)Nc1cnccc1N1CCC[C@H](N)C1,1
ZINC000205518490,Nc1sc(-c2c(F)cccc2F)nc1C(=O)Nc1cnccc1O[C@H]1CCNC1,1
ZINC000150136037,Fc1cccc(F)c1-c1ccc2[nH]nc(-c3cncc(O[C@H]4CNCCC45CC5)n3)c2c1,1
ZINC000096270701,O=C(Nc1c[nH]c2ccc(-c3c(F)cccc3F)cc12)c1cnn2ccc(NCC3CCNCC3)nc12,1
ZINC000299855350,Fc1ccccc1-c1ccc2[nH]nc(-c3cncc(O[C@H]4CNCCC45CC5)n3)c2c1,1
ZINC000299857407,CS(=O)(=O)c1ccc(-c2ccc3[nH]nc(-c4cncc(O[C@H]5CNCCC56CC6)n4)c3c2)c(F)c1,1
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,1
ZINC000044715907,CN(C)Cc1nc2c(sc3ccc(/C=C/C4CC4)cc32)c(=O)[nH]1,1
ZINC000045284485,CN(C)Cc1nc2c(sc3ccc(-c4ccc(N)cc4)cc32)c(=O)[nH]1,1
ZINC000045289954,CN(C)Cc1nc2c(sc3ccc(-c4ccc(OC[C@H](O)CO)cc4)cc32)c(=O)[nH]1,1
ZINC000045289957,CN(C)Cc1nc2c(sc3ccc(-c4ccc(OC[C@@H](O)CO)cc4)cc32)c(=O)[nH]1,1
ZINC000045298492,CN(C)Cc1nc2c(sc3ccc(-c4ccsc4)cc32)c(=O)[nH]1,1
ZINC000045314712,Oc1ccc(-c2ccc3sc4c(O)nc(CN5CC[C@H](O)C5)nc4c3c2)cc1,1
ZINC000073142130,CCNC(=O)c1cccc2c1nc(Nc1ccccc1Cl)c1ccncc12,1
ZINC000073142257,CC(C)NC(=O)c1cccc2c1nc(Nc1ccccc1Cl)c1ccncc12,1
