ID,SMILES,y
ZINC000058563970,NC(=O)c1cc(-c2ccnc(Nc3ccccc3)c2)nc(N2CCNCC2)c1,1
ZINC000058583786,c1cc(-c2cc(-c3cn[nH]c3)cc(N3CCNCC3)n2)cc(NC2CCCCC2)n1,1
ZINC000058575883,CC(C)Nc1cc(-c2cc(-c3cn[nH]c3)cc(N3CCNCC3)n2)ccn1,1
ZINC000058582305,c1cc(-c2cc(-c3cn[nH]c3)cc(N3CCNCC3)n2)cc(NC2CCOCC2)n1,1
ZINC000058592623,c1cc2c(N3CCNCC3)nc(-c3ccnc(NC4CCCCC4)c3)cc2cn1,1
ZINC000058575790,Cn1ccc(Nc2cc(-c3cc(C(N)=O)cc(N4CCNCC4)n3)ccn2)n1,1
ZINC000058568784,NC(=O)c1cc(-c2ccnc(Nc3ccccc3Cl)c2)nc(N2CCNCC2)c1,1
ZINC000058569276,CC(C)Nc1cc(-c2cc(C(N)=O)cc(N3CCNCC3)n2)ccn1,1
ZINC000058563968,NC(=O)c1cc(-c2ccnc(NC3CCCCC3)c2)nc(N2CCNCC2)c1,1
ZINC000058568565,NC(=O)c1cc(-c2ccnc(NC3CCOCC3)c2)nc(N2CCNCC2)c1,1
ZINC000058569405,CC(C)NC(=O)C1CCN(c2nc(-c3ccnc(NC4CCOCC4)c3)cc3cnccc23)CC1,1
ZINC000058580905,NC(=O)c1cc(N[C@@H]2CCNC2)nc(-c2ccnc(NC3CCCCC3)c2)c1,1
ZINC000058569171,CCNc1cc(-c2cc(C(N)=O)cc(N3CCNCC3)n2)ccn1,1
ZINC000058547999,N#Cc1cc(-c2ccnc(Nc3ccccc3)c2)nc(N2CCNCC2)c1,1
ZINC000066066519,COc1ncc2sc3c(c2n1)SCCNC3=O,1
ZINC000058590965,NC(=O)c1cc(-c2ccnc(NC3CCCC3)c2)nc(N2CCNCC2)c1,1
ZINC000058576003,C[C@@H]1CN(c2cc(C(N)=O)cc(-c3ccnc(NC4CCCCC4)c3)n2)CCN1,1
ZINC000058655483,c1cc(-c2cc(-c3cc[nH]n3)cc(N3CCNCC3)n2)cc(NC2CCCCC2)n1,1
ZINC000058547804,Cn1ccc(Nc2cc(-c3cc(C#N)cc(N4CCNCC4)n3)ccn2)n1,1
ZINC000058574686,FC(F)c1cc(-c2ccnc(NC3CCCCC3)c2)nc(N2CCNCC2)c1,1
ZINC000058592779,C[C@H]1CN(c2cc(C(N)=O)cc(-c3ccnc(NC4CCCCC4)c3)n2)CCN1,1
ZINC000058574683,FC(F)(F)c1cc(-c2ccnc(NC3CCCCC3)c2)nc(N2CCNCC2)c1,1
ZINC000058582674,N#Cc1cc(-c2ccnc(NC3CCCCC3)c2)nc(N2CCNCC2)c1,1
ZINC000058582450,NC(=O)c1cc(-c2ccnc(NC3CCCCC3)c2)nc(N2CCC[C@H](N)C2)c1,1
ZINC000062224835,NC(=O)c1cc(-c2ccnc(NC3CCCCC3)c2)nc(N2CCC[C@@H](N)C2)c1,1
ZINC000101595683,CC(C)(C)Nc1c(Nc2ccnc(Nc3ccc(-c4ccncc4)cc3)n2)c(=O)c1=O,1
ZINC000058575595,NCC1CCN(c2cc(C(N)=O)cc(-c3ccnc(NC4CCCCC4)c3)n2)CC1,1
ZINC000058575592,CN1CCN(c2cc(C(N)=O)cc(-c3ccnc(NC4CCCCC4)c3)n2)CC1,1
ZINC000000210586,O=C1NCCCc2c1oc1ccc(O)cc21,1
ZINC000058575621,CC1(C)CN(c2cc(C(N)=O)cc(-c3ccnc(NC4CCCCC4)c3)n2)CCN1,1
ZINC000058603881,NC(=O)c1cc(N[C@H]2CCNC2)nc(-c2ccnc(NC3CCCCC3)c2)c1,1
ZINC000261098310,O[C@@H]1CC[C@@H](Nc2nc(Cl)cc(-c3c[nH]c4ncccc34)n2)CC1,0
ZINC000012369272,O=C1Nc2ccccc2/C1=C/c1c[nH]nc1-c1ccccc1[N+](=O)[O-],0
ZINC000029569996,COC(=O)[C@H](CCCCN)N(Cc1cccc(OCc2ccccc2)c1)Cc1cccc(OCc2ccccc2)c1,0
ZINC000004424547,N[C@@]1(C(=O)O)CC(=O)[C@@H]2[C@H]1[C@H]2C(=O)O,0
ZINC000169352672,COc1nn(C)c2c1-c1cnc(N)c(n1)O[C@H](C)c1cc(F)ccc1C(=O)N(C)C2,0
ZINC000003986735,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,0
ZINC000028520933,C[C@]1(C(=O)NC(=O)[C@]2(C)CCC[C@]3(C)c4cc(O)ccc4CC[C@H]32)CCC[C@]2(C)c3cc(O)ccc3CC[C@@H]12,0
ZINC000049678612,CC(C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCc1ccc(C(=N)N)cc1,0
ZINC000003781738,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,0
ZINC000023247639,CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1,0
ZINC000299822858,CCn1c(Nc2ccncc2F)nc2c([C@H]3CCCN(C(=O)C4(C#N)CC4)C3)csc2c1=O,0
ZINC000016052569,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12,0
ZINC000299847876,N#Cc1ccc(O[C@@H]2CC[C@@H](NC(=O)CCSc3nc(O)c4ccccc4n3)CC2)cc1Cl,0
ZINC000068201355,O=C(NCCO)c1cccc(-c2cccc3oc(Cc4cccc(C(F)(F)F)c4)cc23)c1,0
ZINC000084669690,CC(=O)Nc1ccc2[nH]cc(-c3cc(NC4CC4)n4ncc(C#N)c4n3)c2c1,0
ZINC000045254830,Cc1c[nH]c2ncnc(N3CCN(/C(=N\c4cccc(Br)c4)NC#N)[C@@H](C)C3)c12,0
ZINC000066066276,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C,0
ZINC000002047743,CSc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1,0
ZINC000008594565,COc1ccccc1C(=O)Nc1cc2c(cc1N1CCCCC1)n(C)c(=O)n2C,0
ZINC000263621080,COc1ccc(NC(=O)[C@@H](C)Nc2nc(O)c3cnn(C4CCCC4)c3n2)cc1,0
ZINC000084708180,CN(C)C[C@@H](OC(=O)N1Cc2c(n[nH]c2NC(=O)C(C)(C)C(F)(F)F)C1(C)C)c1ccccc1,0
ZINC000045339167,CCc1csc([C@H](Cc2ccc(NS(=O)(=O)O)cc2)NC(=O)[C@H](CC(C)C)C(=O)OC)n1,0
ZINC000006717510,COc1cccc(Nc2c(C(N)=O)cnc3c(C)cc(S(=O)(=O)c4cccc(C(=O)N(C)C)c4)cc23)c1,0
ZINC000103264450,COc1ncc(-c2ccc3nc(N)n(-c4ccccc4)c(=O)c3c2)cc1NS(=O)(=O)c1cccnc1,0
ZINC000003986735,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,0
ZINC000013983251,COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(S(C)(=O)=O)CC2)nc1N,0
ZINC000299850593,CNC(=O)[C@@H]1CC[C@@H](Nc2cc(O)nc3c(C)cc(-c4cncs4)cc23)CC1,0
ZINC000023247639,CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1,0
ZINC000043206278,CC(C)Cc1nc2c(C(F)(F)F)cccc2n1-c1cccc(Oc2cccc(S(C)(=O)=O)c2)c1,0
ZINC000006718987,CCOC[C@H](CC(C)C)NS(=O)(=O)c1ccc(Cn2c(C)nc3cnccc32)cc1,0
ZINC000231428538,C[C@@]12Cc3[nH]nc(C(=O)Nc4cnn([C@H](c5ccccc5)[C@H]5CCCCS5(=O)=O)c4)c3C[C@@H]1C2(F)F,0
