ID,SMILES,y
ZINC000024714117,Clc1ccc2c(c1Cl)CNCC2,1
ZINC000013801446,OC[C@H]1Cc2ccc(Br)cc2CN1,1
ZINC000029340872,c1cc2snnc2c2c1CCNC2,1
ZINC000002047666,Clc1ccc2c(c1Cl)CNCCC2,1
ZINC000013801449,OC[C@@H]1Cc2ccc(Br)cc2CN1,1
ZINC000013687084,C[C@H]1Cc2ccc([N+](=O)[O-])cc2CN1,1
ZINC000013686849,C[C@@H]1Cc2ccc(Br)cc2CN1,1
ZINC000013686854,C[C@H]1Cc2ccc(Br)cc2CN1,1
ZINC000013797970,O=[N+]([O-])c1ccc2c(c1)CN[C@H](CO)C2,1
ZINC000013797973,O=[N+]([O-])c1ccc2c(c1)CN[C@@H](CO)C2,1
ZINC000027559308,Clc1cc2c(c(Cl)c1Cl)CNCC2,1
ZINC000013607013,O=S(=O)(NCC(F)(F)F)c1ccc2c(c1)CN[C@H](CO)C2,1
ZINC000013607016,O=S(=O)(NCC(F)(F)F)c1ccc2c(c1)CN[C@@H](CO)C2,1
ZINC000013607018,O=S(=O)(NCCC(F)(F)F)c1ccc2c(c1)CN[C@H](CO)C2,1
ZINC000013607020,O=S(=O)(NCCC(F)(F)F)c1ccc2c(c1)CN[C@@H](CO)C2,1
ZINC000016082963,Clc1ccc2c(c1)CNCC2,1
ZINC000027556078,Clc1cccc2c1CNCC2,1
ZINC000013581896,O=S(=O)(NCCC(F)(F)F)c1ccc2c(c1)CN[C@H](CF)C2,1
ZINC000013581899,O=S(=O)(NCCC(F)(F)F)c1ccc2c(c1)CN[C@@H](CF)C2,1
ZINC000013607008,O=S(=O)(Nc1ccc(Cl)cc1)c1ccc2c(c1)CN[C@H](CO)C2,1
ZINC000013607010,O=S(=O)(Nc1ccc(Cl)cc1)c1ccc2c(c1)CN[C@@H](CO)C2,1
ZINC000012503940,Ic1ccc2c(c1)CNCC2,1
ZINC000040393130,S=C=Nc1ccc2c(c1)CNCC2,1
ZINC000013517577,O=S(=O)(Nc1ccc(Cl)cc1)c1ccc2c(c1)CN[C@H](CF)C2,1
ZINC000013517581,O=S(=O)(Nc1ccc(Cl)cc1)c1ccc2c(c1)CN[C@@H](CF)C2,1
ZINC000013606981,NS(=O)(=O)c1ccc2c(c1)CN[C@H](CO)C2,1
ZINC000013606983,NS(=O)(=O)c1ccc2c(c1)CN[C@@H](CO)C2,1
ZINC000027559819,Clc1c(Cl)c(Cl)c2c(c1Cl)CCNC2,1
ZINC000019795724,Brc1ccc2c(c1)CNCC2,1
ZINC000013542817,Clc1cc(Cl)c2c(c1Cl)CNCC2,1
ZINC000013581893,O=S(=O)(NCC(F)(F)F)c1ccc2c(c1)CN[C@@H](CF)C2,1
ZINC000013686866,FC(F)[C@@H]1Cc2ccc(C(F)(F)F)cc2CN1,1
ZINC000013686870,FC(F)[C@H]1Cc2ccc(C(F)(F)F)cc2CN1,1
ZINC000027549236,C[C@H]1Cc2sc3ccccc3c2CN1,1
ZINC000027549577,C[C@@H]1Cc2sc3ccccc3c2CN1,1
ZINC000013517616,FC[C@@H]1Cc2ccc(I)cc2CN1,1
ZINC000013517620,FC[C@H]1Cc2ccc(I)cc2CN1,1
ZINC000013517589,NS(=O)(=O)c1ccc2c(c1)CN[C@@H](CF)C2,1
ZINC000013687080,C[C@@H]1Cc2ccc([N+](=O)[O-])cc2CN1,1
ZINC000027876269,Clc1ccc2c(c1Cl)CN(CCN1CCc3ccc(Cl)c(Cl)c3C1)CC2,1
ZINC000002516060,C[C@@H](N)c1cccc(Cl)c1Cl,1
ZINC000003870307,C[C@H](N)c1cccc(Cl)c1Cl,1
ZINC000013686858,FC(F)[C@@H]1Cc2ccc(Br)cc2CN1,1
ZINC000013686862,FC(F)[C@H]1Cc2ccc(Br)cc2CN1,1
ZINC000027872587,Clc1ccc2c(c1Cl)CN(CCCCN1CCc3ccc(Cl)c(Cl)c3C1)CC2,1
ZINC000013686846,O=[N+]([O-])c1ccc2c(c1)CNCC2,1
ZINC000020397736,NS(=O)(=O)c1ccc2c(c1)CNCC2,1
ZINC000013581890,O=S(=O)(NCC(F)(F)F)c1ccc2c(c1)CN[C@H](CF)C2,1
ZINC000013517585,NS(=O)(=O)c1ccc2c(c1)CN[C@H](CF)C2,1
ZINC000013606986,CCNS(=O)(=O)c1ccc2c(c1)CN[C@H](CO)C2,1
ZINC000013606990,CCNS(=O)(=O)c1ccc2c(c1)CN[C@@H](CO)C2,1
ZINC000013686917,O=[N+]([O-])c1ccc2c(c1)CN[C@H](C(F)F)C2,1
ZINC000013686921,O=[N+]([O-])c1ccc2c(c1)CN[C@@H](C(F)F)C2,1
ZINC000013518462,FC(F)(F)c1ccc2c(c1)CNCC2,1
ZINC000013606994,CCCNS(=O)(=O)c1ccc2c(c1)CN[C@H](CO)C2,1
ZINC000013607000,CCCNS(=O)(=O)c1ccc2c(c1)CN[C@@H](CO)C2,1
ZINC000013686880,FC(F)[C@@H]1Cc2ccc(I)cc2CN1,1
ZINC000013686884,FC(F)[C@H]1Cc2ccc(I)cc2CN1,1
ZINC000013766750,O=S(=O)(Nc1ccc(Cl)cc1)c1ccc2c(c1)CNCC2,1
ZINC000028712989,Brc1cccc2c3c(ccc12)CCNC3,1
ZINC000013607003,O=S(=O)(c1ccc2c(c1)CN[C@H](CO)C2)N1CCSCC1,1
ZINC000013607006,O=S(=O)(c1ccc2c(c1)CN[C@@H](CO)C2)N1CCSCC1,1
ZINC000013686893,O=S(=O)(NCC(F)(F)F)c1ccc2c(c1)CN[C@H](C(F)F)C2,1
ZINC000013686898,O=S(=O)(NCC(F)(F)F)c1ccc2c(c1)CN[C@@H](C(F)F)C2,1
ZINC000027872606,Clc1ccc2c(c1Cl)CN(CCCN1CCc3ccc(Cl)c(Cl)c3C1)CC2,1
ZINC000013581947,O=S(=O)(c1ccc2c(c1)CN[C@H](CF)C2)N1CCSCC1,1
ZINC000013581950,O=S(=O)(c1ccc2c(c1)CN[C@@H](CF)C2)N1CCSCC1,1
ZINC000013517640,FC[C@@H]1Cc2ccc(C(F)(F)F)cc2CN1,1
ZINC000013517644,FC[C@H]1Cc2ccc(C(F)(F)F)cc2CN1,1
ZINC000028365305,OCC[C@@H]1Cc2ccc(Br)cc2CN1,1
ZINC000028365311,OCC[C@H]1Cc2ccc(Br)cc2CN1,1
ZINC000027526370,OC[C@H]1Cc2ccc(Cl)c(Cl)c2CN1,1
ZINC000027549240,OC[C@@H]1Cc2ccc(Cl)c(Cl)c2CN1,1
ZINC000013863736,F[C@@H]1CNCc2cc(Br)ccc2C1,1
ZINC000013863737,F[C@H]1CNCc2cc(Br)ccc2C1,1
ZINC000028529467,FC(F)(F)[C@H]1Cc2ccc(Cl)cc2CN1,1
ZINC000013517600,FC[C@@H]1Cc2ccc(Br)cc2CN1,1
ZINC000013801458,O=[N+]([O-])c1ccc2c(c1)CN[C@@H](CCl)C2,1
ZINC000013687065,CC[C@@H]1Cc2ccc(Br)cc2CN1,1
ZINC000013687069,CC[C@H]1Cc2ccc(Br)cc2CN1,1
ZINC000029039182,C[C@H]1Cc2sc([N+](=O)[O-])cc2CN1,1
ZINC000013687088,CC[C@@H]1Cc2ccc([N+](=O)[O-])cc2CN1,1
ZINC000013687092,CC[C@H]1Cc2ccc([N+](=O)[O-])cc2CN1,1
ZINC000013686877,FC(F)(F)c1ccc2c(c1)CN[C@@H](C(F)(F)F)C2,1
ZINC000013517604,FC[C@H]1Cc2ccc(Br)cc2CN1,1
ZINC000028360544,O=[N+]([O-])c1ccc2c(c1)CN[C@H](CCO)C2,1
ZINC000028360551,O=[N+]([O-])c1ccc2c(c1)CN[C@@H](CCO)C2,1
ZINC000013517759,FC(F)(F)[C@H]1Cc2ccc(Br)cc2CN1,1
ZINC000013686913,O=[N+]([O-])c1ccc2c(c1)CN[C@@H](CF)C2,1
ZINC000026985028,FC(F)(F)[C@@H]1Cc2ccc(Br)cc2CN1,1
ZINC000013686909,O=[N+]([O-])c1ccc2c(c1)CN[C@H](CF)C2,1
