ID,SMILES,y
ZINC000003950459,CCO[C@@H](Cc1ccc(OCc2nc(-c3cccs3)oc2C)cc1)C(=O)O,1
ZINC000139938049,Cc1ccc(-c2nc(CCOc3ccc(C[C@@H]4CO[C@@](C)(C(=O)O)OC4)cc3)c(C)o2)s1,1
ZINC000253723842,Cc1ccc(-c2nc(COc3ccc(C[C@H]4CO[C@@](C)(C(=O)O)OC4)cc3)c(C)o2)cc1,1
ZINC000169109485,Cc1ccc(-c2nc(CCOc3ccc(C[C@@H]4CO[C@@](C)(C(=O)O)OC4)cc3)c(C)o2)cc1,1
ZINC000003950456,CCO[C@@H](Cc1ccc(OCCc2nc(-c3cccs3)oc2C)cc1)C(=O)O,1
ZINC000013671700,O=C(O)[C@H](Cc1ccccc1)Oc1ccc(-c2cccs2)cc1,1
ZINC000002169967,Cc1c(C(=O)O)cccc1-c1ccc(/C=C2/SC(=O)N(CC(=O)Nc3ccc(F)cc3)C2=O)o1,1
ZINC000013671695,O=C(O)[C@H](Cc1ccccc1)Oc1ccc(-c2ccccc2)cc1,1
ZINC000013671689,O=C(O)[C@H](Cc1ccccc1)Oc1ccc(C(F)(F)F)cc1,1
ZINC000168861831,Cc1oc(-c2ccccc2)nc1CCOc1ccc(C[C@@H]2CO[C@@](C)(C(=O)O)OC2)cc1,1
ZINC000084730273,COc1ccc(NC(=O)N(CCCCC2CCCCC2)CCc2ccc(SC(C)(C)C(=O)O)cc2)cc1,1
ZINC000028978854,Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1C(=O)NCc1ccc(NS(=O)(=O)C(F)(F)F)cc1,1
ZINC000013671697,CCc1ccc(O[C@@H](Cc2ccccc2)C(=O)O)cc1,1
ZINC000003995991,CC(C)(Sc1ccc(CCN(CCCCC2CCCCC2)C(=O)NC2CCCCC2)cc1)C(=O)O,1
ZINC000043009979,CC[C@@H](Oc1cccc(Cn2c(C)c(C(=O)c3ccc(Cl)cc3)c3ccc(OC(F)(F)F)cc32)c1)C(=O)O,1
ZINC000084730277,COc1cccc(NC(=O)N(CCCCC2CCCCC2)CCc2ccc(SC(C)(C)C(=O)O)cc2)c1,1
ZINC000139798919,Cc1ccc(-c2nc(COc3ccc(C[C@@H]4CO[C@@](C)(C(=O)O)OC4)cc3)c(C)o2)s1,1
ZINC000000590170,CC[C@@H](Cc1ccc(OC)c(C(=O)NCc2ccc(Oc3ccc(F)cc3)cc2)c1)C(=O)O,1
ZINC000003938052,CCCc1cc(SC(F)(F)F)ccc1OCCCOc1ccc2c(c1)C[C@@](CC)(C(=O)O)O2,1
ZINC000012358528,Cc1oc(C2CCCCC2)nc1CCOc1ccc(C[C@](C)(Oc2ccccc2)C(=O)O)cc1,1
ZINC000013671830,CC(C)[C@@]1(C(=O)O)Cc2cc(OCCCOc3ccc(OC(F)(F)F)cc3Cl)ccc2O1,1
ZINC000013671837,CCCc1cc(SC(F)(F)F)ccc1OCCCOc1ccc2c(c1)C[C@](CC)(C(=O)O)O2,1
ZINC000013671848,CC[C@@]1(C(=O)O)Cc2cc(OCCCOc3ccc(SC(F)(F)F)cc3Cl)ccc2O1,1
ZINC000013671850,CC[C@]1(C(=O)O)Cc2cc(OCCCOc3ccc(SC(F)(F)F)cc3Cl)ccc2O1,1
ZINC000013671855,CC[C@@]1(C(=O)O)Cc2cc(OCCCOc3ccc(CC(F)(F)F)cc3Cl)ccc2O1,1
ZINC000013671859,CC[C@@]1(C(=O)O)Cc2ccc(OCCCOc3ccc(OC(F)(F)F)cc3Cl)cc2O1,1
ZINC000013671862,CC[C@]1(C(=O)O)Cc2ccc(OCCCOc3ccc(OC(F)(F)F)cc3Cl)cc2O1,1
ZINC000028238554,CC(C)(Sc1ccc(CCN(CCCCC2CCCCC2)C(=O)Nc2cc(Cl)cc(Cl)c2)cc1)C(=O)O,1
ZINC000028571188,CC[C@@](C)(Cc1ccc(OCCCOc2ccc(CC(F)(F)F)cc2Cl)cc1)C(=O)O,1
ZINC000028900759,CC[C@@H](Oc1cccc(CN(CCCOc2ccc(OC)cc2)c2nc3ccccc3o2)c1)C(=O)O,1
ZINC000028900764,CC[C@H](Oc1cccc(CN(CCCOc2ccc(OC)cc2)c2nc3ccccc3o2)c1)C(=O)O,1
ZINC000028900798,CC[C@@H](Oc1cccc(CN(CCCOc2ccc(C)cc2)c2nc3ccccc3o2)c1)C(=O)O,1
ZINC000028900803,CC[C@H](Oc1cccc(CN(CCCOc2ccc(C)cc2)c2nc3ccccc3o2)c1)C(=O)O,1
ZINC000028900807,CC[C@@H](Oc1cccc(CN(CCCOc2ccc(C)cc2C)c2nc3ccccc3o2)c1)C(=O)O,1
ZINC000028900811,CC[C@H](Oc1cccc(CN(CCCOc2ccc(C)cc2C)c2nc3ccccc3o2)c1)C(=O)O,1
ZINC000028900815,CC[C@@H](Oc1cccc(CN(CCCOc2ccc(C)c(C)c2)c2nc3ccccc3o2)c1)C(=O)O,1
ZINC000028900820,CC[C@H](Oc1cccc(CN(CCCOc2ccc(C)c(C)c2)c2nc3ccccc3o2)c1)C(=O)O,1
ZINC000034717658,CC[C@@](C)(Cc1ccc(OCCCOc2ccc(C3CCCCC3)cc2Cl)cc1)C(=O)O,1
ZINC000040846861,COC(=O)c1cc2ccc(OCCc3nc(-c4ccc(C)cc4)oc3C)cc2oc1=O,1
ZINC000040934174,Cc1ccc(-c2nc(CCCCCCO/N=C(/CCC(=O)O)c3ccccc3)c(C)o2)cc1,1
ZINC000103204555,Cc1oc(C2CCCCC2)nc1CCOc1ccc(C[C@H](Oc2ccccc2)C(=O)O)cc1,1
ZINC000137944166,Cc1oc(-c2ccccc2)nc1CCOc1ccc(C[C@@H]2CN(C(=O)Oc3ccccc3)C[C@@H]2C(=O)O)cc1,1
ZINC000006472206,CCCCCOC(=O)c1ccc(NC(=O)c2cccc(NC(=O)c3ccccc3C(=O)O)c2)cc1,1
ZINC000139837937,Cc1oc(-c2ccccc2)nc1COc1ccc(C[C@@H]2CO[C@@](C)(C(=O)O)OC2)cc1,1
ZINC000013671687,O=C(O)[C@H](Cc1ccccc1)Oc1ccc(Cl)cc1,1
ZINC000028702565,CCCCO/N=C(\C)[C@@H](Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)cc1)C(=O)O,1
ZINC000028702567,CCCCO/N=C(\C)[C@H](Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)cc1)C(=O)O,1
ZINC000095558181,Cc1cc(CN(Cc2ccco2)Cc2nc(-c3ccccc3)oc2C)cc(C)c1OC(C)(C)C(=O)O,1
