ID,SMILES,y
ZINC000006718987,CCOC[C@H](CC(C)C)NS(=O)(=O)c1ccc(Cn2c(C)nc3cnccc32)cc1,1
ZINC000001545003,CC(C)c1cc(C(C)C)c(-c2csc(N(CCN(C)C)Cc3cccnc3)n2)c(C(C)C)c1,1
ZINC000008860505,CCCCCCCCCCCCCCCCOC[C@H](CO[P@@](=O)(O)OCC[N+](C)(C)C)OC(C)=O,1
ZINC000028092021,COC(=O)c1cc(-c2ccc(F)cc2)cc2c1c(C(=O)c1ccc(Cn3c(C)nc4cnccc43)cc1)cn2C(=O)N(C)C,1
ZINC000028012774,COC(=O)c1cccc2c1c(C(=O)c1ccc(Cn3c(C)nc4cnccc43)cc1)cn2S(=O)(=O)C(C)C,1
ZINC000001550947,Cc1nnc2n1-c1sc(C#CCN3C(=O)CCc4ccccc43)cc1C(c1ccccc1Cl)=NC2,1
ZINC000013743156,Cc1cn2c(n1)CC(c1ccc(-n3c(C)nc4cnccc43)cc1)=Nc1cc(Cl)c(Cl)cc1-2,1
ZINC000013821135,Cc1nnc2n1-c1sc(C#CCn3c(=O)n(C)c4ccccc43)cc1C(c1ccccc1Cl)=NC2,1
ZINC000014243646,CCCCCCCCCCCCCCCCCCNC(=O)OC[C@@H](COC(=O)N(Cc1cccc[n+]1CC)C(C)=O)OC,1
ZINC000014243647,CCCCCCCCCCCCCCCCCCNC(=O)OC[C@H](COC(=O)N(Cc1cccc[n+]1CC)C(C)=O)OC,1
ZINC000014263360,CN(C)C(=O)n1cc(/C(=N/O)c2ccn3c2CS[C@@H]3c2cccnc2)c2ccc(-c3ccc(F)cc3)cc21,1
ZINC000001851122,CCOC(=O)[C@H](CC(C)C)N(C)S(=O)(=O)c1ccc(Cn2c(C)nc3cnccc32)cc1,1
ZINC000000604406,Cc1nc2cnccc2n1-c1ccc(C2=Nc3c(C4CCCCC4)nn4c3N(CCCC4)C(=O)C2)cc1,1
ZINC000013743144,Cc1nc2cnccc2n1-c1ccc(C2=Nc3cc(Cl)c(Cl)cc3NC(=S)C2)cc1,1
ZINC000013743147,Cc1nc2cnccc2n1-c1ccc([C@@H]2CC(=O)Nc3cc(Cl)c(Cl)cc3C2)cc1,1
ZINC000013743148,Cc1nc2cnccc2n1-c1ccc([C@H]2CC(=O)Nc3cc(Cl)c(Cl)cc3C2)cc1,1
ZINC000013743149,Cc1nc2cnccc2n1-c1ccc([C@@H]2CC(=O)N(C)c3cc(Cl)c(Cl)cc3C2)cc1,1
ZINC000013743150,Cc1nc2cnccc2n1-c1ccc([C@H]2CC(=O)N(C)c3cc(Cl)c(Cl)cc3C2)cc1,1
ZINC000026839455,CCOC(=O)C1=C(c2ccc(-n3c(C)nc4cnccc43)cc2)N=C(C)/C(=C(/O)OCCOC)[C@@H]1c1ccccc1Cl,1
ZINC000026839459,CCOC(=O)C1=C(c2ccc(-n3c(C)nc4cnccc43)cc2)N=C(C)/C(=C(/O)OCCOC)[C@H]1c1ccccc1Cl,1
ZINC000100041391,Cc1nc2cnccc2n1-c1ccc(C2=Nc3c(-c4ccccc4)nn(C)c3N(C)C(=O)C2)cc1,1
ZINC000013776696,COC(=O)c1[nH]c2cccc(OC)c2c1C(=O)c1ccc(Cn2c(C)nc3cnccc32)cc1,1
ZINC000000600747,C#Cc1cccc2c1c(C(=O)c1ccc(Cn3c(C)nc4cnccc43)c(F)c1)cn2C(=O)N(C)C,1
ZINC000013737540,CN(C)C(=O)n1cc(C(=O)[C@@H]2CS[C@@H](c3cccnc3)N2)c2ccc(Br)cc21,1
ZINC000013737541,CN(C)C(=O)n1cc(C(=O)[C@@H]2CS[C@H](c3cccnc3)N2)c2ccc(Br)cc21,1
ZINC000013743143,Cc1cc2c(cc1C)NC(=S)CC(c1ccc(-n3c(C)nc4cnccc43)cc1)=N2,1
ZINC000013743172,Cc1nc2cnccc2n1-c1ccc(C2=Nc3c(-c4ccccc4)nn(C)c3NC(=O)C2)cc1,1
ZINC000013743180,Cc1nc2cnccc2n1-c1ccc(C2=Nc3c(-c4ccc(Cl)cc4)nn(C)c3N(C)C(=O)C2)cc1,1
ZINC000028227750,Cc1nnc2n1-c1sc(C#CCn3c(=O)n(C)c(=O)c4ccccc43)cc1C(c1ccccc1Cl)=NC2,1
ZINC000013776677,COC(=O)c1cccc2c1c(C(=O)Cc1ccc(-n3c(C)nc4cnccc43)cc1)cn2C(=O)N(C)C,1
ZINC000013776716,C#Cc1cccc2c1c(C(=O)c1ccc(Cn3c(C)nc4cnccc43)c(F)c1)cn2C(=O)NC,1
ZINC000013776654,COC(=O)c1cccc2c1c(C(=O)c1ccc(Cn3c(C)nc4cnccc43)cc1)cn2CC(=O)C(C)(C)C,1
ZINC000000576799,Cc1nc2cnccc2n1-c1ccc(C2=Nc3c(C4CCCCC4)nn(C)c3N(C)C(=O)C2)cc1,1
ZINC000000596341,Cc1nnc2n1-c1sc(C#CCN3C(=O)COc4ccccc43)cc1C(c1ccccc1Cl)=NC2,1
ZINC000001483042,CN(C)C(=O)Cn1cc(C(=O)c2ccn3c2CS[C@@H]3c2cccnc2)c2ccc(-c3ccc(F)cc3)cc21,1
ZINC000003922976,CN(C)C(=O)Cn1cc(C(=O)c2ccn3c2CS[C@H]3c2cccnc2)c2ccc(-c3ccc(F)cc3)cc21,1
ZINC000013743140,Cc1cc2c(cc1C)NC(=O)CC(c1ccc(-n3c(C)nc4cnccc43)cc1)=N2,1
ZINC000028228997,Cc1nnc2n1-c1sc(C#CC[C@]34CCCc5cccc(c53)NC4=O)cc1C(c1ccccc1Cl)=NC2,1
ZINC000028229001,Cc1nnc2n1-c1sc(C#CC[C@@]34CCCc5cccc(c53)NC4=O)cc1C(c1ccccc1Cl)=NC2,1
ZINC000028091475,COC(=O)c1cc(-c2cc3ccccc3o2)cc2c1c(C(=O)c1ccc(Cn3c(C)nc4cnccc43)cc1)cn2C(=O)N(C)C,1
ZINC000013743177,Cc1nc2cnccc2n1-c1ccc(C2=Nc3c(COCC(C)C)nn(C)c3N(C)C(=O)C2)cc1,1
ZINC000036331869,CN(C)C(=O)n1cc(C(=O)[C@@H]2CS[C@H](c3cccnc3)N2)c2ccccc21,1
ZINC000036331872,CN(C)C(=O)n1cc(C(=O)[C@@H]2CS[C@@H](c3cccnc3)N2)c2ccccc21,1
ZINC000013776633,Cc1cccc2c1c(C(=O)c1ccc(Cn3c(C)nc4cnccc43)cc1)cn2C(=O)N(C)C,1
ZINC000000601356,COC(=O)c1cccc2c1c(C(=O)c1ccc(Cn3c(C)nc4cnccc43)cc1)cn2C(=O)N(C)C,1
