ID,SMILES,y
ZINC000028950516,Cc1ccc(O)cc1Nc1ccnc(Nc2cccc(C(N)=O)c2)n1,1
ZINC000040379369,Nc1ncnc2c1c(-c1cccc(O)c1)cn2C1CCNCC1,1
ZINC000072126148,CC1(C)CNCCN1C(=O)c1ccc(Nc2nc(C3CC3)cn3c(-c4cn[nH]c4)cnc23)cc1Cl,1
ZINC000072122729,O=C(c1ccc(Nc2nc(C3CC3)cn3c(-c4cn[nH]c4)cnc23)c(F)c1)N1CCNCC1,1
ZINC000072122736,CC1(C)CNCCN1C(=O)c1ccc(Nc2nc(C3CC3)cn3c(-c4cn[nH]c4)cnc23)c(F)c1,1
ZINC000072123198,CC1(C)CN(C(=O)c2ccc(Nc3nc(C4CC4)cn4c(-c5cn[nH]c5)cnc34)cc2Cl)CCN1,1
ZINC000072125898,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCNC(=O)C3)c(Cl)c2)n1,1
ZINC000103297550,Oc1cccc(Nc2ccnc3[nH]c4ccccc4c23)c1,1
ZINC000103297333,O=[N+]([O-])c1cccc(Nc2ccnc3[nH]c4ccc(Br)cc4c23)c1,1
ZINC000043204048,COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1,1
ZINC000169312525,COc1cc(Nc2ccnc3[nH]c4ccccc4c23)ccc1Br,1
ZINC000103297552,Clc1cccc(Nc2ccnc3[nH]c4ccccc4c23)c1,1
ZINC000103297566,COc1cccc(Nc2ccnc3[nH]c4ccc(S(=O)(=O)N5CCNCC5)cc4c23)c1,1
ZINC000072123024,O=C(c1ccc(Nc2nc(C3CC3)cn3c(-c4cn[nH]c4)cnc23)cc1Cl)N1C[C@H]2CC[C@@H]1CN2,1
ZINC000114366588,O=[N+]([O-])c1cccc(Nc2ccnc3[nH]c4ccccc4c23)c1,1
ZINC000103297559,COc1cccc(Nc2ccnc3[nH]c4ccc(S(=O)(=O)N5CCOCC5)cc4c23)c1,1
ZINC000072123469,O=C(c1ccc(Nc2nc(C3CC3)cn3c(-c4cn[nH]c4)cnc23)cc1Cl)N1CCNCC1,1
ZINC000072140862,CC1(C)CN(C(=O)c2ccc(Nc3nc(C4CC4)cn4c(-c5cn[nH]c5)cnc34)c(F)c2)CCN1,1
ZINC000072124307,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCNCC3)c(Cl)c2)n1,1
ZINC000072124559,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCNCC3)c(C(F)(F)F)c2)n1,1
ZINC000072124777,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3C[C@H]4CC[C@@H]3CN4)c(Cl)c2)n1,1
ZINC000103297341,CC(=O)c1ccc2[nH]c3nccc(Nc4cccc(N)c4)c3c2c1,1
ZINC000003986735,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,1
ZINC000072122829,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCN(C)CC3)c(Cl)c2)n1,1
ZINC000072124575,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCOCC3)c(Cl)c2)n1,1
ZINC000072123503,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCNCC3(C)C)cc2F)n1,1
ZINC000103297572,COc1cccc(Nc2ccnc3[nH]c4ccc(S(=O)(=O)N5CCN(CCO)CC5)cc4c23)c1,1
ZINC000072122654,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCNC(C)(C)C3)cc2F)n1,1
ZINC000072122784,O=C(c1ccc(Nc2nc(C3CC3)cn3c(-c4cn[nH]c4)cnc23)cc1Cl)N1C[C@@H]2CC[C@H](C1)N2,1
ZINC000072122987,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(CN3CCC(O)CC3)cs2)n1,1
ZINC000072123197,O=C(c1ccc(Nc2nc(C3CC3)cn3c(-c4cn[nH]c4)cnc23)cc1Cl)N1CCNCC12CC2,1
ZINC000072123288,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCNCC3)cc2F)n1,1
ZINC000072123547,CCc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCNCC3)c(Cl)c2)n1,1
ZINC000072123591,CCOc1cc(Nc2nc(C)cn3c(-c4cn[nH]c4)cnc23)sc1C(=O)N1CCC[C@H](C)C1,1
ZINC000072123592,CCOc1cc(Nc2nc(C)cn3c(-c4cn[nH]c4)cnc23)sc1C(=O)N1CCC[C@@H](C)C1,1
ZINC000072125852,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCNCC3(C)C)c(Cl)c2)n1,1
ZINC000072123589,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccnc(N3CCNCC3)c2)n1,1
ZINC000072124778,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3C[C@@H]4CC[C@H](C3)N4)c(Cl)c2)n1,1
ZINC000072124977,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(C(=O)N(C)C)ns2)n1,1
ZINC000066100059,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(CN3CCCCC3)ns2)n1,1
ZINC000072123023,O=C(c1ccc(Nc2nc(C3CC3)cn3c(-c4cn[nH]c4)cnc23)cc1Cl)N1CCNC2(CC2)C1,1
ZINC000103297331,Clc1cccc(Nc2ccnc3[nH]c4ccc(Br)cc4c23)c1,1
ZINC000103297344,CC(=O)c1ccc2[nH]c3nccc(Nc4cccc(Cl)c4)c3c2c1,1
ZINC000072124422,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCNCC3)cc2)n1,1
ZINC000072122927,CC(=O)N1CCN(C(=O)c2ccc(Nc3nc(C)cn4c(-c5cn[nH]c5)cnc34)cc2Cl)CC1,1
ZINC000072124915,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCNCC34CC4)c(Cl)c2)n1,1
ZINC000072124916,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCNC(C)(C)C3)c(Cl)c2)n1,1
ZINC000072124917,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCNC4(CC4)C3)c(Cl)c2)n1,1
ZINC000103297338,CC(=O)c1ccc2[nH]c3nccc(Nc4cccc([N+](=O)[O-])c4)c3c2c1,1
ZINC000072124659,COc1cc(Nc2nc(C)cn3c(-c4cn[nH]c4)cnc23)ccc1C(=O)N1CCNCC1,1
ZINC000103297568,CCOc1cccc(Nc2ccnc3[nH]c4ccc(S(=O)(=O)N5CCNCC5)cc4c23)c1,1
ZINC000072123502,O=C(c1ccc(Nc2nc(C3CC3)cn3c(-c4cn[nH]c4)cnc23)c(F)c1)N1CCOCC1,1
ZINC000072124423,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCNCC3)c(F)c2)n1,1
ZINC000053683345,COc1cc2/c(=N\c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1,1
ZINC000072125792,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCCNCC3)c(Cl)c2)n1,1
ZINC000055760827,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,1
ZINC000072124387,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCNCC3)c(C3CC3)c2)n1,1
ZINC000169312100,c1ccc(COc2cccc(Nc3ccnc4[nH]c5ccccc5c34)c2)cc1,1
ZINC000169312095,C1=CCc2cc(Nc3ccnc4[nH]c5ccccc5c34)ccc2C1,1
ZINC000002047743,CSc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1,1
ZINC000039059267,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F,1
ZINC000072125823,Cc1cn2c(-c3ccsc3)cnc2c(Nc2ccc(C(=O)N3CCNCC3)c(Cl)c2)n1,1
ZINC000169312105,Clc1cc(Cl)cc(Nc2ccnc3[nH]c4ccccc4c23)c1,1
ZINC000103297564,O=S(=O)(c1ccc2[nH]c3nccc(Nc4cccc(OCc5ccccc5)c4)c3c2c1)N1CCOCC1,1
ZINC000169312096,FC(F)(F)c1cccc(Nc2ccnc3[nH]c4ccccc4c23)c1,1
ZINC000072125923,COC1CCN(C(=O)c2ccc(Nc3nc(C)cn4c(-c5cn[nH]c5)cnc34)cc2Cl)CC1,1
ZINC000072125071,O=C(c1ccc(Nc2nc(C3CC3)cn3c(-c4cn[nH]c4)cnc23)c(Cl)c1)N1CCNCC1,1
ZINC000072125070,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCNCC3)cc2Cl)n1,1
ZINC000169312104,Clc1cc(Nc2ccnc3[nH]c4ccccc4c23)ccc1OCc1ccccc1,1
ZINC000072122675,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCN(CCO)CC3)c(Cl)c2)n1,1
ZINC000169312103,Fc1ccc(Nc2ccnc3[nH]c4ccccc4c23)cc1Cl,1
ZINC000003819294,COc1cc(Oc2ccnc3cc(OC)c(OC)cc23)ccc1NC(=O)N[C@H](C)c1nccs1,1
ZINC000013975055,COc1cc(Oc2ccnc3cc(OC)c(OC)cc23)ccc1NC(=O)N[C@@H](C)c1nccs1,1
ZINC000072123421,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCOCC3)cc2F)n1,1
ZINC000072124314,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCC(O)CC3)c(Cl)c2)n1,1
ZINC000084654307,COc1c(Nc2ncc(Cl)c(N[C@H]3[C@@H](C(N)=O)[C@@H]4C=C[C@H]3C4)n2)ccc2c1CC[C@@H](N1CCOCC1)CC2,1
ZINC000072122815,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cncc(N3CCNCC3)c2)n1,1
ZINC000169312102,Cc1ccc(Nc2ccnc3[nH]c4ccccc4c23)cc1Cl,1
ZINC000072122783,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCCCC3)c(Cl)c2)n1,1
ZINC000072123238,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)O)c(Cl)c2)n1,1
ZINC000072125122,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(Cl)cc(C(=O)N3CCNCC3)c2)n1,1
ZINC000003148634,COc1cc(Br)c(Br)c(/C=N/c2ccc3[nH]c(=O)[nH]c3c2)c1O,1
ZINC000072125069,O=C(c1ccc(Nc2nc(C3CC3)cn3c(-c4cn[nH]c4)cnc23)cc1Cl)N1CCOCC1,1
ZINC000299822325,CCOc1cc(Br)c(Br)c(/C=N/c2ccc3[nH]cnc3c2)c1O,1
ZINC000072124781,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCOCC3)cc2Cl)n1,1
ZINC000072124851,O=C(c1ccc(Nc2nc(C3CC3)cn3c(-c4cn[nH]c4)cnc23)c(Cl)c1)N1CCOCC1,1
ZINC000169312099,CCOc1cccc(Nc2ccnc3[nH]c4ccccc4c23)c1,1
ZINC000169312526,CCOc1cc(Nc2ccnc3[nH]c4ccccc4c23)ccc1Br,1
ZINC000072125757,Cc1cn2c(-c3cccs3)cnc2c(Nc2ccc(C(=O)N3CCNCC3)c(Cl)c2)n1,1
ZINC000103297580,COc1cccc(Nc2ccnc3[nH]c4ccc(Br)cc4c23)c1,1
ZINC000169312101,COc1ccc(Nc2ccnc3[nH]c4ccccc4c23)cc1,1
ZINC000299822557,COc1cc(Br)c(Br)c(/C=N/c2ccc3[nH]cnc3c2)c1O,1
ZINC000072125822,Cc1cn2c(-c3cnn(C)c3)cnc2c(Nc2ccc(C(=O)N3CCNCC3)c(Cl)c2)n1,1
ZINC000299822061,COc1cc(Br)c(Br)c(/C=N/c2ccc3[nH]ccc3c2)c1O,1
ZINC000043199714,CNc1nc2[nH]c(-c3cccc(CNC(=O)COC)n3)cc2c2c1ncn2C,1
ZINC000072124378,Cc1cn2c(-c3cccnc3)cnc2c(Nc2ccc(C(=O)N3CCNCC3)c(Cl)c2)n1,1
ZINC000072125758,Cc1cn2c(-c3ccncc3)cnc2c(Nc2ccc(C(=O)N3CCNCC3)c(Cl)c2)n1,1
ZINC000006745792,COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1OC,1
ZINC000299822576,CCOc1cc(Br)c(Br)c(/C=N/c2ccc3[nH]ccc3c2)c1O,1
ZINC000072124313,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCOCC3(C)C)c(Cl)c2)n1,1
ZINC000072123546,O=C(c1ccc(Nc2nccn3c(-c4cn[nH]c4)cnc23)cc1Cl)N1CCNCC1,1
ZINC000095550949,Cn1cc(-c2ccc3c(c2)CCN3C(=O)Cc2cccc(C(F)(F)F)c2)c2c(N)ncnc21,1
ZINC000103297562,CCOc1cccc(Nc2ccnc3[nH]c4ccc(S(=O)(=O)N5CCOCC5)cc4c23)c1,1
ZINC000299818773,O=c1[nH]c2ccc(/N=C/c3c(O)c(Br)cc(Br)c3Br)cc2[nH]1,1
ZINC000072123470,CC(C)c1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCNCC3)c(Cl)c2)n1,1
ZINC000103297574,CCOc1cccc(Nc2ccnc3[nH]c4ccc(S(=O)(=O)N5CCN(CCO)CC5)cc4c23)c1,1
ZINC000072122816,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(N3CCOCC3)nc2)n1,1
ZINC000072124388,Cc1cc(Nc2nc(Sc3ccccc3Cl)cn3c(-c4cn[nH]c4)cnc23)sn1,1
ZINC000000868331,CCOc1cc(Br)c(Br)c(/C=N/c2ccc3[nH]c(=O)[nH]c3c2)c1O,1
ZINC000003948085,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1,1
ZINC000253805147,Cc1cn2c(-c3cn[nH]c3)cnc2c(N[C@@H]2CC[C@@H](C(=O)N3CCNCC3)CC2)n1,1
ZINC000018710082,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21,1
ZINC000036056301,CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21,1
ZINC000027439698,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,1
ZINC000299819017,CCOc1cc(Br)c(Br)c(/C=N/c2ccc3scnc3c2)c1O,1
ZINC000019862646,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,1
ZINC000003814434,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,1
ZINC000299823185,COc1cc(Br)c(Br)c(/C=N/c2ccc3scnc3c2)c1O,1
ZINC000299823314,CCOc1cc(Cl)c(Cl)c(/C=N/c2ccc3[nH]c(=O)[nH]c3c2)c1O,1
ZINC000299821390,O=c1[nH]c2ccc(/N=C/c3c(O)cccc3Br)cc2[nH]1,1
ZINC000000274253,O=c1[nH]c2ccc(/N=C/c3cc(Cl)ccc3O)cc2[nH]1,1
