ID,SMILES,y
ZINC000045339167,CCc1csc([C@H](Cc2ccc(NS(=O)(=O)O)cc2)NC(=O)[C@H](CC(C)C)C(=O)OC)n1,1
ZINC000036179143,COC(=O)C(Cc1ccc(NS(=O)(=O)O)cc1)(Cc1ccc(NS(=O)(=O)O)cc1)C(=O)OC,1
ZINC000034886718,Cc1noc(C(CCCc2ccccc2)(Cc2ccc(NS(=O)(=O)O)cc2)c2nc(C)no2)n1,1
ZINC000036179198,COC(=O)C(CCCS(=O)(=O)c1nnnn1-c1ccccc1)(Cc1ccc(NS(=O)(=O)O)cc1)C(=O)OC,1
ZINC000036179211,Cc1noc(C(Cc2ccc(NS(=O)(=O)O)cc2)(Cc2ccc(NS(=O)(=O)O)cc2)c2nc(C)no2)n1,1
ZINC000036179156,CCOC(=O)[C@@](CCNC(=O)OC(C)(C)C)(Cc1ccc(NS(=O)(=O)O)cc1)C(=O)OC,1
ZINC000036179159,CCOC(=O)[C@](CCNC(=O)OC(C)(C)C)(Cc1ccc(NS(=O)(=O)O)cc1)C(=O)OC,1
ZINC000036179146,COC(=O)C(Cc1ccc(NS(=O)(=O)O)cc1)(Cc1cccc(NS(=O)(=O)O)c1)C(=O)OC,1
ZINC000150545429,O=P(O)(O)Cc1cc2sc3cc(CP(=O)(O)O)cc(sc4cc(CP(=O)(O)O)cc(sc5cc(CP(=O)(O)O)cc(sc(c1)c2O)c5O)c4O)c3O,1
ZINC000036179193,COC(=O)C(Cc1ccc(NS(=O)(=O)O)cc1)(Cc1ccc(C(=O)O)cc1)C(=O)OC,1
ZINC000036088951,COC(=O)C(CCCc1ccccc1)(Cc1ccc(NS(=O)(=O)O)cc1)C(=O)OC,1
ZINC000036179185,COC(=O)C(CCCS(=O)(=O)c1ccccc1)(Cc1ccc(NS(=O)(=O)O)cc1)C(=O)OC,1
ZINC000016052091,COC(=O)C(Cc1ccccc1)(Cc1ccc(NS(=O)(=O)O)cc1)C(=O)OC,1
ZINC000036179207,COC(=O)C(CCCSc1nnnn1-c1ccccc1)(Cc1ccc(NS(=O)(=O)O)cc1)C(=O)OC,1
ZINC000036179214,Cc1noc(C(Cc2ccc(NS(=O)(=O)O)cc2)(Cc2cccc(C#N)c2)c2nc(C)no2)n1,1
ZINC000040937920,O=C(O)c1cc(-c2ccc(-c3ccc(F)cc3C(F)(F)F)cc2C2CCCCC2)on1,1
ZINC000036179137,COc1cccc(CC(Cc2ccc(NS(=O)(=O)O)cc2)(c2nc(C)no2)c2nc(C)no2)c1,1
ZINC000036179174,CCOC(=O)CC(Cc1ccc(NS(=O)(=O)O)cc1)(C(=O)OC)C(=O)OC,1
ZINC000036179204,COC(=O)C(COCc1ccccc1)(Cc1ccc(NS(=O)(=O)O)cc1)C(=O)OC,1
ZINC000036179190,COC(=O)c1cccc(CC(Cc2ccc(NS(=O)(=O)O)cc2)(C(=O)OC)C(=O)OC)c1,1
ZINC000036179134,COC(=O)C(Cc1ccc(NS(=O)(=O)O)cc1)(Cc1cccc(S(N)(=O)=O)c1)C(=O)OC,1
ZINC000036179171,COC(=O)C(Cc1ccc(NS(=O)(=O)O)cc1)(Cc1cccc(OC)c1)C(=O)OC,1
ZINC000036179153,COc1ccc(CC(Cc2ccc(NS(=O)(=O)O)cc2)(c2nc(C)no2)c2nc(C)no2)cc1,1
ZINC000036179188,COC(=O)CCCC(Cc1ccc(NS(=O)(=O)O)cc1)(C(=O)OC)C(=O)OC,1
ZINC000036179168,COC(=O)C(Cc1ccc(NS(=O)(=O)O)cc1)(Cc1ccc(OC)cc1)C(=O)OC,1
ZINC000026920345,O=C(O)c1ccc(CN2C(=O)S/C(=C\c3ccc(OCc4ccccc4)cc3)C2=O)cc1,1
ZINC000036179162,CCOC(=O)[C@](Cc1ccc(NS(=O)(=O)O)cc1)(NC(=O)OCc1ccccc1)C(=O)OC,1
ZINC000036179165,CCOC(=O)[C@@](Cc1ccc(NS(=O)(=O)O)cc1)(NC(=O)OCc1ccccc1)C(=O)OC,1
ZINC000036179140,COC(=O)c1ccc(CC(Cc2ccc(NS(=O)(=O)O)cc2)(C(=O)OC)C(=O)OC)cc1,1
ZINC000036179201,COC(=O)C(CCCS(C)(=O)=O)(Cc1ccc(NS(=O)(=O)O)cc1)C(=O)OC,1
ZINC000036179217,COC(=O)C(Cc1ccc(NS(=O)(=O)O)cc1)(Cc1ccc(S(N)(=O)=O)cc1)C(=O)OC,1
ZINC000036179179,CCOC(=O)[C@](Cc1ccc(NS(=O)(=O)O)cc1)(NC(=O)OC(C)(C)C)C(=O)OC,1
ZINC000036179182,CCOC(=O)[C@@](Cc1ccc(NS(=O)(=O)O)cc1)(NC(=O)OC(C)(C)C)C(=O)OC,1
ZINC000096272268,CCCNC(=O)COc1ccc(-c2oc3cc(O)c(C(=O)O)cc3c2C#Cc2cccc(Cl)c2)cc1,1
ZINC000003941517,O=C(O)[C@@H](Cc1ccccc1)Oc1c(Br)cc(-c2c3ccccc3c(Br)c3oc4ccccc4c23)cc1Br,1
ZINC000036179150,COC(=O)C(Cc1ccncc1)(Cc1ccc(NS(=O)(=O)O)cc1)C(=O)OC,1
ZINC000026945850,O=C(O)COc1c(Br)cc(-c2c3ccccc3c(Br)c3sc4ccccc4c23)cc1Br,1
ZINC000036179177,COC(=O)C(Cc1ccc(NS(=O)(=O)O)cc1)C(=O)OC,1
ZINC000028825575,O=C(O)c1ccc(CN2C(=O)S/C(=C\c3ccc(Oc4ccccc4)cc3)C2=O)cc1,1
ZINC000013491451,O=C(O)C(=O)Nc1ccc2cc[nH]c2c1C(=O)O,1
ZINC000095537365,O=P(O)(O)Cc1cc2c(O)c(c1)Cc1cc(CP(=O)(O)O)cc(c1O)Cc1cc(CP(=O)(O)O)cc(c1O)Cc1cc(CP(=O)(O)O)cc(c1O)C2,1
ZINC000003954010,O=S(=O)(O)c1ccc2c(/N=N/c3c(O)ccc4ccccc34)cccc2c1,1
ZINC000064510772,O=C1C2=C(CC=CC2)C(=O)c2c(Nc3ccc(S(=O)(=O)O)cc3)ccc(Nc3ccccc3)c21,1
ZINC000002047295,O=C(O)C(=O)Nc1cc2[nH]ccc2cc1C(=O)O,1
ZINC000095920703,O=C([C@@H](Cc1cccc(C(F)(F)F)c1)NS(=O)(=O)c1cc(F)c2c(c1)CCNC2)N1CCCC1,0
ZINC000103256117,Nc1n[nH]c2nc(-c3ccc(NS(=O)(=O)c4cc(Cl)ccc4F)cc3)cnc12,0
ZINC000096270778,c1cc(N2CCOCC2)ccc1-c1cnc2c(-c3cn[nH]c3)cnn2c1,0
